,condition,outcome,persona,response
0,orchid orangutan; defiant dragonfly,gender,p0016,2
498,orchid orangutan; defiant dragonfly,gender,p2592,2
499,orchid orangutan; defiant dragonfly,gender,p2595,2
500,orchid orangutan; defiant dragonfly,year_birth,p0016,1970
501,orchid orangutan; defiant dragonfly,year_birth,p0022,1991
502,orchid orangutan; defiant dragonfly,year_birth,p0023,1958
503,orchid orangutan; defiant dragonfly,year_birth,p0026,1965
504,orchid orangutan; defiant dragonfly,year_birth,p0034,1950
505,orchid orangutan; defiant dragonfly,year_birth,p0036,1994
506,orchid orangutan; defiant dragonfly,year_birth,p0037,1969
507,orchid orangutan; defiant dragonfly,year_birth,p0042,1960
508,orchid orangutan; defiant dragonfly,year_birth,p0057,1981
509,orchid orangutan; defiant dragonfly,year_birth,p0066,1966
510,orchid orangutan; defiant dragonfly,year_birth,p0069,1986
511,orchid orangutan; defiant dragonfly,year_birth,p0072,1987
512,orchid orangutan; defiant dragonfly,year_birth,p0073,1982
513,orchid orangutan; defiant dragonfly,year_birth,p0082,1973
514,orchid orangutan; defiant dragonfly,year_birth,p0091,1995
515,orchid orangutan; defiant dragonfly,year_birth,p0092,1980
516,orchid orangutan; defiant dragonfly,year_birth,p0093,1947
517,orchid orangutan; defiant dragonfly,year_birth,p0095,1946
518,orchid orangutan; defiant dragonfly,year_birth,p0107,1964
519,orchid orangutan; defiant dragonfly,year_birth,p0114,1987
520,orchid orangutan; defiant dragonfly,year_birth,p0116,1986
521,orchid orangutan; defiant dragonfly,year_birth,p0118,1998
522,orchid orangutan; defiant dragonfly,year_birth,p0119,1989
523,orchid orangutan; defiant dragonfly,year_birth,p0126,1961
524,orchid orangutan; defiant dragonfly,year_birth,p0129,1951
525,orchid orangutan; defiant dragonfly,year_birth,p0136,1986
526,orchid orangutan; defiant dragonfly,year_birth,p0138,1947
527,orchid orangutan; defiant dragonfly,year_birth,p0144,1989
528,orchid orangutan; defiant dragonfly,year_birth,p0150,1975
529,orchid orangutan; defiant dragonfly,year_birth,p0152,1973
530,orchid orangutan; defiant dragonfly,year_birth,p0158,1948
531,orchid orangutan; defiant dragonfly,year_birth,p0161,1984
532,orchid orangutan; defiant dragonfly,year_birth,p0164,1955
533,orchid orangutan; defiant dragonfly,year_birth,p0175,1954
534,orchid orangutan; defiant dragonfly,year_birth,p0177,1972
535,orchid orangutan; defiant dragonfly,year_birth,p0178,1991
536,orchid orangutan; defiant dragonfly,year_birth,p0181,1970
537,orchid orangutan; defiant dragonfly,year_birth,p0186,1968
538,orchid orangutan; defiant dragonfly,year_birth,p0196,1993
539,orchid orangutan; defiant dragonfly,year_birth,p0198,1949
540,orchid orangutan; defiant dragonfly,year_birth,p0202,1950
541,orchid orangutan; defiant dragonfly,year_birth,p0205,1944
542,orchid orangutan; defiant dragonfly,year_birth,p0207,1932
543,orchid orangutan; defiant dragonfly,year_birth,p0211,1947
544,orchid orangutan; defiant dragonfly,year_birth,p0227,1978
545,orchid orangutan; defiant dragonfly,year_birth,p0229,1957
546,orchid orangutan; defiant dragonfly,year_birth,p0232,1939
547,orchid orangutan; defiant dragonfly,year_birth,p0233,1951
548,orchid orangutan; defiant dragonfly,year_birth,p0237,1984
549,orchid orangutan; defiant dragonfly,year_birth,p0258,1936
550,orchid orangutan; defiant dragonfly,year_birth,p0268,1927
551,orchid orangutan; defiant dragonfly,year_birth,p0274,1981
552,orchid orangutan; defiant dragonfly,year_birth,p0275,1970
553,orchid orangutan; defiant dragonfly,year_birth,p0277,1975
554,orchid orangutan; defiant dragonfly,year_birth,p0288,1970
555,orchid orangutan; defiant dragonfly,year_birth,p0291,1936
556,orchid orangutan; defiant dragonfly,year_birth,p0307,1996
557,orchid orangutan; defiant dragonfly,year_birth,p0308,1998
558,orchid orangutan; defiant dragonfly,year_birth,p0317,1960
559,orchid orangutan; defiant dragonfly,year_birth,p0325,1989
560,orchid orangutan; defiant dragonfly,year_birth,p0327,1958
561,orchid orangutan; defiant dragonfly,year_birth,p0334,1956
562,orchid orangutan; defiant dragonfly,year_birth,p0336,1987
563,orchid orangutan; defiant dragonfly,year_birth,p0338,1977
564,orchid orangutan; defiant dragonfly,year_birth,p0342,1981
565,orchid orangutan; defiant dragonfly,year_birth,p0349,1975
566,orchid orangutan; defiant dragonfly,year_birth,p0356,1991
567,orchid orangutan; defiant dragonfly,year_birth,p0358,1956
568,orchid orangutan; defiant dragonfly,year_birth,p0363,1956
569,orchid orangutan; defiant dragonfly,year_birth,p0364,1981
570,orchid orangutan; defiant dragonfly,year_birth,p0369,1989
571,orchid orangutan; defiant dragonfly,year_birth,p0370,1983
572,orchid orangutan; defiant dragonfly,year_birth,p0371,1959
573,orchid orangutan; defiant dragonfly,year_birth,p0379,1962
574,orchid orangutan; defiant dragonfly,year_birth,p0386,1986
575,orchid orangutan; defiant dragonfly,year_birth,p0396,1987
576,orchid orangutan; defiant dragonfly,year_birth,p0403,1988
577,orchid orangutan; defiant dragonfly,year_birth,p0405,1990
578,orchid orangutan; defiant dragonfly,year_birth,p0412,1963
579,orchid orangutan; defiant dragonfly,year_birth,p0415,1992
580,orchid orangutan; defiant dragonfly,year_birth,p0416,1982
581,orchid orangutan; defiant dragonfly,year_birth,p0417,1983
582,orchid orangutan; defiant dragonfly,year_birth,p0418,1952
583,orchid orangutan; defiant dragonfly,year_birth,p0430,1944
584,orchid orangutan; defiant dragonfly,year_birth,p0431,1998
585,orchid orangutan; defiant dragonfly,year_birth,p0434,1964
586,orchid orangutan; defiant dragonfly,year_birth,p0438,1977
587,orchid orangutan; defiant dragonfly,year_birth,p0441,1988
588,orchid orangutan; defiant dragonfly,year_birth,p0442,1994
589,orchid orangutan; defiant dragonfly,year_birth,p0449,1957
590,orchid orangutan; defiant dragonfly,year_birth,p0450,1951
591,orchid orangutan; defiant dragonfly,year_birth,p0465,1965
592,orchid orangutan; defiant dragonfly,year_birth,p0471,1987
593,orchid orangutan; defiant dragonfly,year_birth,p0477,1970
594,orchid orangutan; defiant dragonfly,year_birth,p0483,1993
595,orchid orangutan; defiant dragonfly,year_birth,p0486,1990
596,orchid orangutan; defiant dragonfly,year_birth,p0487,1983
597,orchid orangutan; defiant dragonfly,year_birth,p0489,1959
598,orchid orangutan; defiant dragonfly,year_birth,p0497,1946
599,orchid orangutan; defiant dragonfly,year_birth,p0502,1953
600,orchid orangutan; defiant dragonfly,year_birth,p0503,1991
601,orchid orangutan; defiant dragonfly,year_birth,p0506,1987
602,orchid orangutan; defiant dragonfly,year_birth,p0511,1989
603,orchid orangutan; defiant dragonfly,year_birth,p0523,1993
604,orchid orangutan; defiant dragonfly,year_birth,p0534,1954
605,orchid orangutan; defiant dragonfly,year_birth,p0536,1982
606,orchid orangutan; defiant dragonfly,year_birth,p0542,1948
607,orchid orangutan; defiant dragonfly,year_birth,p0547,1954
608,orchid orangutan; defiant dragonfly,year_birth,p0553,1966
609,orchid orangutan; defiant dragonfly,year_birth,p0559,1991
610,orchid orangutan; defiant dragonfly,year_birth,p0566,1984
611,orchid orangutan; defiant dragonfly,year_birth,p0568,1972
612,orchid orangutan; defiant dragonfly,year_birth,p0570,1977
613,orchid orangutan; defiant dragonfly,year_birth,p0573,1987
614,orchid orangutan; defiant dragonfly,year_birth,p0578,1967
615,orchid orangutan; defiant dragonfly,year_birth,p0594,1984
616,orchid orangutan; defiant dragonfly,year_birth,p0597,1958
617,orchid orangutan; defiant dragonfly,year_birth,p0601,1996
618,orchid orangutan; defiant dragonfly,year_birth,p0602,1952
619,orchid orangutan; defiant dragonfly,year_birth,p0605,1987
620,orchid orangutan; defiant dragonfly,year_birth,p0615,1966
621,orchid orangutan; defiant dragonfly,year_birth,p0620,1994
622,orchid orangutan; defiant dragonfly,year_birth,p0626,1980
623,orchid orangutan; defiant dragonfly,year_birth,p0629,1995
624,orchid orangutan; defiant dragonfly,year_birth,p0633,1996
625,orchid orangutan; defiant dragonfly,year_birth,p0638,1989
626,orchid orangutan; defiant dragonfly,year_birth,p0639,1976
627,orchid orangutan; defiant dragonfly,year_birth,p0640,1951
628,orchid orangutan; defiant dragonfly,year_birth,p0655,1998
629,orchid orangutan; defiant dragonfly,year_birth,p0656,1991
630,orchid orangutan; defiant dragonfly,year_birth,p0658,1968
631,orchid orangutan; defiant dragonfly,year_birth,p0661,1988
632,orchid orangutan; defiant dragonfly,year_birth,p0669,1960
633,orchid orangutan; defiant dragonfly,year_birth,p0670,1980
634,orchid orangutan; defiant dragonfly,year_birth,p0672,1973
635,orchid orangutan; defiant dragonfly,year_birth,p0674,1985
636,orchid orangutan; defiant dragonfly,year_birth,p0678,1978
637,orchid orangutan; defiant dragonfly,year_birth,p0683,1949
638,orchid orangutan; defiant dragonfly,year_birth,p0686,1977
639,orchid orangutan; defiant dragonfly,year_birth,p0687,1953
640,orchid orangutan; defiant dragonfly,year_birth,p0698,1963
641,orchid orangutan; defiant dragonfly,year_birth,p0700,1981
642,orchid orangutan; defiant dragonfly,year_birth,p0703,1970
643,orchid orangutan; defiant dragonfly,year_birth,p0718,1984
644,orchid orangutan; defiant dragonfly,year_birth,p0744,1987
645,orchid orangutan; defiant dragonfly,year_birth,p0745,1987
646,orchid orangutan; defiant dragonfly,year_birth,p0753,1992
647,orchid orangutan; defiant dragonfly,year_birth,p0770,1985
648,orchid orangutan; defiant dragonfly,year_birth,p0771,1964
649,orchid orangutan; defiant dragonfly,year_birth,p0777,1982
650,orchid orangutan; defiant dragonfly,year_birth,p0779,1964
651,orchid orangutan; defiant dragonfly,year_birth,p0780,1970
652,orchid orangutan; defiant dragonfly,year_birth,p0783,1947
653,orchid orangutan; defiant dragonfly,year_birth,p0785,1994
654,orchid orangutan; defiant dragonfly,year_birth,p0786,1970
655,orchid orangutan; defiant dragonfly,year_birth,p0794,1952
656,orchid orangutan; defiant dragonfly,year_birth,p0798,1947
657,orchid orangutan; defiant dragonfly,year_birth,p0800,1967
658,orchid orangutan; defiant dragonfly,year_birth,p0820,1982
659,orchid orangutan; defiant dragonfly,year_birth,p0841,1985
660,orchid orangutan; defiant dragonfly,year_birth,p0849,1970
661,orchid orangutan; defiant dragonfly,year_birth,p0862,1989
662,orchid orangutan; defiant dragonfly,year_birth,p0867,1969
663,orchid orangutan; defiant dragonfly,year_birth,p0869,1955
664,orchid orangutan; defiant dragonfly,year_birth,p0872,1972
665,orchid orangutan; defiant dragonfly,year_birth,p0880,1993
666,orchid orangutan; defiant dragonfly,year_birth,p0891,1984
667,orchid orangutan; defiant dragonfly,year_birth,p0916,1989
668,orchid orangutan; defiant dragonfly,year_birth,p0917,1987
669,orchid orangutan; defiant dragonfly,year_birth,p0919,1991
670,orchid orangutan; defiant dragonfly,year_birth,p0922,1957
671,orchid orangutan; defiant dragonfly,year_birth,p0925,1966
672,orchid orangutan; defiant dragonfly,year_birth,p0927,1990
673,orchid orangutan; defiant dragonfly,year_birth,p0929,1991
674,orchid orangutan; defiant dragonfly,year_birth,p0930,1984
675,orchid orangutan; defiant dragonfly,year_birth,p0931,1958
676,orchid orangutan; defiant dragonfly,year_birth,p0933,1986
677,orchid orangutan; defiant dragonfly,year_birth,p0934,1978
678,orchid orangutan; defiant dragonfly,year_birth,p0936,1976
679,orchid orangutan; defiant dragonfly,year_birth,p0938,1982
680,orchid orangutan; defiant dragonfly,year_birth,p0939,1984
681,orchid orangutan; defiant dragonfly,year_birth,p0946,1980
682,orchid orangutan; defiant dragonfly,year_birth,p0951,1963
683,orchid orangutan; defiant dragonfly,year_birth,p0956,1988
684,orchid orangutan; defiant dragonfly,year_birth,p0962,1942
685,orchid orangutan; defiant dragonfly,year_birth,p0963,1990
686,orchid orangutan; defiant dragonfly,year_birth,p0969,1960
687,orchid orangutan; defiant dragonfly,year_birth,p0972,1956
688,orchid orangutan; defiant dragonfly,year_birth,p0975,1952
689,orchid orangutan; defiant dragonfly,year_birth,p0985,1994
690,orchid orangutan; defiant dragonfly,year_birth,p0993,1983
691,orchid orangutan; defiant dragonfly,year_birth,p0996,1956
692,orchid orangutan; defiant dragonfly,year_birth,p1011,1961
693,orchid orangutan; defiant dragonfly,year_birth,p1017,1992
694,orchid orangutan; defiant dragonfly,year_birth,p1020,1953
695,orchid orangutan; defiant dragonfly,year_birth,p1022,1995
696,orchid orangutan; defiant dragonfly,year_birth,p1024,1972
697,orchid orangutan; defiant dragonfly,year_birth,p1027,1996
698,orchid orangutan; defiant dragonfly,year_birth,p1028,1985
699,orchid orangutan; defiant dragonfly,year_birth,p1029,1986
700,orchid orangutan; defiant dragonfly,year_birth,p1032,1972
701,orchid orangutan; defiant dragonfly,year_birth,p1040,1990
702,orchid orangutan; defiant dragonfly,year_birth,p1047,1997
703,orchid orangutan; defiant dragonfly,year_birth,p1048,1985
704,orchid orangutan; defiant dragonfly,year_birth,p1053,1987
705,orchid orangutan; defiant dragonfly,year_birth,p1057,1986
706,orchid orangutan; defiant dragonfly,year_birth,p1058,1988
707,orchid orangutan; defiant dragonfly,year_birth,p1063,1960
708,orchid orangutan; defiant dragonfly,year_birth,p1064,1955
709,orchid orangutan; defiant dragonfly,year_birth,p1065,1955
710,orchid orangutan; defiant dragonfly,year_birth,p1069,1981
711,orchid orangutan; defiant dragonfly,year_birth,p1072,1986
712,orchid orangutan; defiant dragonfly,year_birth,p1073,1980
713,orchid orangutan; defiant dragonfly,year_birth,p1075,1965
714,orchid orangutan; defiant dragonfly,year_birth,p1076,1997
715,orchid orangutan; defiant dragonfly,year_birth,p1083,1950
716,orchid orangutan; defiant dragonfly,year_birth,p1089,1992
717,orchid orangutan; defiant dragonfly,year_birth,p1093,1995
718,orchid orangutan; defiant dragonfly,year_birth,p1096,1988
719,orchid orangutan; defiant dragonfly,year_birth,p1100,1972
720,orchid orangutan; defiant dragonfly,year_birth,p1106,1988
721,orchid orangutan; defiant dragonfly,year_birth,p1107,1955
722,orchid orangutan; defiant dragonfly,year_birth,p1113,1984
723,orchid orangutan; defiant dragonfly,year_birth,p1117,1940
724,orchid orangutan; defiant dragonfly,year_birth,p1120,1956
725,orchid orangutan; defiant dragonfly,year_birth,p1134,1951
726,orchid orangutan; defiant dragonfly,year_birth,p1136,1967
727,orchid orangutan; defiant dragonfly,year_birth,p1138,1969
728,orchid orangutan; defiant dragonfly,year_birth,p1144,1962
729,orchid orangutan; defiant dragonfly,year_birth,p1145,1952
730,orchid orangutan; defiant dragonfly,year_birth,p1147,1989
731,orchid orangutan; defiant dragonfly,year_birth,p1148,1982
732,orchid orangutan; defiant dragonfly,year_birth,p1154,1985
733,orchid orangutan; defiant dragonfly,year_birth,p1159,1957
734,orchid orangutan; defiant dragonfly,year_birth,p1167,1965
735,orchid orangutan; defiant dragonfly,year_birth,p1175,1989
736,orchid orangutan; defiant dragonfly,year_birth,p1178,1989
737,orchid orangutan; defiant dragonfly,year_birth,p1184,1979
738,orchid orangutan; defiant dragonfly,year_birth,p1186,1970
739,orchid orangutan; defiant dragonfly,year_birth,p1196,1996
740,orchid orangutan; defiant dragonfly,year_birth,p1197,1974
741,orchid orangutan; defiant dragonfly,year_birth,p1203,1954
742,orchid orangutan; defiant dragonfly,year_birth,p1219,1994
743,orchid orangutan; defiant dragonfly,year_birth,p1225,1952
744,orchid orangutan; defiant dragonfly,year_birth,p1234,1996
745,orchid orangutan; defiant dragonfly,year_birth,p1242,1954
746,orchid orangutan; defiant dragonfly,year_birth,p1244,1976
747,orchid orangutan; defiant dragonfly,year_birth,p1249,1972
748,orchid orangutan; defiant dragonfly,year_birth,p1250,1960
749,orchid orangutan; defiant dragonfly,year_birth,p1256,1979
750,orchid orangutan; defiant dragonfly,year_birth,p1258,1986
751,orchid orangutan; defiant dragonfly,year_birth,p1260,1982
752,orchid orangutan; defiant dragonfly,year_birth,p1262,1972
753,orchid orangutan; defiant dragonfly,year_birth,p1264,1997
754,orchid orangutan; defiant dragonfly,year_birth,p1265,1987
755,orchid orangutan; defiant dragonfly,year_birth,p1269,1983
756,orchid orangutan; defiant dragonfly,year_birth,p1272,1998
757,orchid orangutan; defiant dragonfly,year_birth,p1278,1988
758,orchid orangutan; defiant dragonfly,year_birth,p1281,1989
759,orchid orangutan; defiant dragonfly,year_birth,p1292,1990
760,orchid orangutan; defiant dragonfly,year_birth,p1299,1964
761,orchid orangutan; defiant dragonfly,year_birth,p1312,1984
762,orchid orangutan; defiant dragonfly,year_birth,p1322,1986
763,orchid orangutan; defiant dragonfly,year_birth,p1326,1985
764,orchid orangutan; defiant dragonfly,year_birth,p1330,1962
765,orchid orangutan; defiant dragonfly,year_birth,p1335,1991
766,orchid orangutan; defiant dragonfly,year_birth,p1337,1965
767,orchid orangutan; defiant dragonfly,year_birth,p1340,1983
768,orchid orangutan; defiant dragonfly,year_birth,p1345,1960
769,orchid orangutan; defiant dragonfly,year_birth,p1351,1932
770,orchid orangutan; defiant dragonfly,year_birth,p1355,1991
771,orchid orangutan; defiant dragonfly,year_birth,p1362,1941
772,orchid orangutan; defiant dragonfly,year_birth,p1365,1961
773,orchid orangutan; defiant dragonfly,year_birth,p1366,1958
774,orchid orangutan; defiant dragonfly,year_birth,p1367,1984
775,orchid orangutan; defiant dragonfly,year_birth,p1370,1936
776,orchid orangutan; defiant dragonfly,year_birth,p1371,1969
777,orchid orangutan; defiant dragonfly,year_birth,p1373,1991
778,orchid orangutan; defiant dragonfly,year_birth,p1375,1980
779,orchid orangutan; defiant dragonfly,year_birth,p1376,1986
780,orchid orangutan; defiant dragonfly,year_birth,p1379,1977
781,orchid orangutan; defiant dragonfly,year_birth,p1381,1952
782,orchid orangutan; defiant dragonfly,year_birth,p1393,1974
783,orchid orangutan; defiant dragonfly,year_birth,p1396,1970
784,orchid orangutan; defiant dragonfly,year_birth,p1398,1978
785,orchid orangutan; defiant dragonfly,year_birth,p1404,1960
786,orchid orangutan; defiant dragonfly,year_birth,p1406,1961
787,orchid orangutan; defiant dragonfly,year_birth,p1407,1987
788,orchid orangutan; defiant dragonfly,year_birth,p1409,1954
789,orchid orangutan; defiant dragonfly,year_birth,p1412,1966
790,orchid orangutan; defiant dragonfly,year_birth,p1414,1981
791,orchid orangutan; defiant dragonfly,year_birth,p1424,1968
792,orchid orangutan; defiant dragonfly,year_birth,p1425,1968
793,orchid orangutan; defiant dragonfly,year_birth,p1429,1971
794,orchid orangutan; defiant dragonfly,year_birth,p1434,1976
795,orchid orangutan; defiant dragonfly,year_birth,p1441,1975
796,orchid orangutan; defiant dragonfly,year_birth,p1445,1956
797,orchid orangutan; defiant dragonfly,year_birth,p1450,1993
798,orchid orangutan; defiant dragonfly,year_birth,p1454,1967
799,orchid orangutan; defiant dragonfly,year_birth,p1456,1978
800,orchid orangutan; defiant dragonfly,year_birth,p1457,1987
801,orchid orangutan; defiant dragonfly,year_birth,p1458,1966
802,orchid orangutan; defiant dragonfly,year_birth,p1469,1979
803,orchid orangutan; defiant dragonfly,year_birth,p1470,1961
804,orchid orangutan; defiant dragonfly,year_birth,p1481,1958
805,orchid orangutan; defiant dragonfly,year_birth,p1488,1973
806,orchid orangutan; defiant dragonfly,year_birth,p1492,1976
807,orchid orangutan; defiant dragonfly,year_birth,p1495,1943
808,orchid orangutan; defiant dragonfly,year_birth,p1497,1965
809,orchid orangutan; defiant dragonfly,year_birth,p1499,1993
810,orchid orangutan; defiant dragonfly,year_birth,p1503,1963
811,orchid orangutan; defiant dragonfly,year_birth,p1511,1960
812,orchid orangutan; defiant dragonfly,year_birth,p1512,1989
813,orchid orangutan; defiant dragonfly,year_birth,p1518,1992
814,orchid orangutan; defiant dragonfly,year_birth,p1519,1995
815,orchid orangutan; defiant dragonfly,year_birth,p1520,1988
816,orchid orangutan; defiant dragonfly,year_birth,p1524,1968
817,orchid orangutan; defiant dragonfly,year_birth,p1526,1982
818,orchid orangutan; defiant dragonfly,year_birth,p1537,1937
819,orchid orangutan; defiant dragonfly,year_birth,p1545,1975
820,orchid orangutan; defiant dragonfly,year_birth,p1547,1968
821,orchid orangutan; defiant dragonfly,year_birth,p1552,1989
822,orchid orangutan; defiant dragonfly,year_birth,p1567,1949
823,orchid orangutan; defiant dragonfly,year_birth,p1568,1950
824,orchid orangutan; defiant dragonfly,year_birth,p1579,1951
825,orchid orangutan; defiant dragonfly,year_birth,p1587,1965
826,orchid orangutan; defiant dragonfly,year_birth,p1596,1953
827,orchid orangutan; defiant dragonfly,year_birth,p1600,1974
828,orchid orangutan; defiant dragonfly,year_birth,p1603,1990
829,orchid orangutan; defiant dragonfly,year_birth,p1604,1955
830,orchid orangutan; defiant dragonfly,year_birth,p1610,1978
831,orchid orangutan; defiant dragonfly,year_birth,p1618,1971
832,orchid orangutan; defiant dragonfly,year_birth,p1619,1948
833,orchid orangutan; defiant dragonfly,year_birth,p1622,1956
834,orchid orangutan; defiant dragonfly,year_birth,p1623,1971
835,orchid orangutan; defiant dragonfly,year_birth,p1630,1999
836,orchid orangutan; defiant dragonfly,year_birth,p1641,1944
837,orchid orangutan; defiant dragonfly,year_birth,p1649,1943
838,orchid orangutan; defiant dragonfly,year_birth,p1652,1971
839,orchid orangutan; defiant dragonfly,year_birth,p1665,1980
840,orchid orangutan; defiant dragonfly,year_birth,p1669,1968
841,orchid orangutan; defiant dragonfly,year_birth,p1685,1956
842,orchid orangutan; defiant dragonfly,year_birth,p1693,1986
843,orchid orangutan; defiant dragonfly,year_birth,p1698,1973
844,orchid orangutan; defiant dragonfly,year_birth,p1704,1976
845,orchid orangutan; defiant dragonfly,year_birth,p1711,1969
846,orchid orangutan; defiant dragonfly,year_birth,p1718,1975
847,orchid orangutan; defiant dragonfly,year_birth,p1732,1971
848,orchid orangutan; defiant dragonfly,year_birth,p1739,1943
849,orchid orangutan; defiant dragonfly,year_birth,p1741,1942
850,orchid orangutan; defiant dragonfly,year_birth,p1746,1975
851,orchid orangutan; defiant dragonfly,year_birth,p1751,1987
852,orchid orangutan; defiant dragonfly,year_birth,p1754,1959
853,orchid orangutan; defiant dragonfly,year_birth,p1769,1971
854,orchid orangutan; defiant dragonfly,year_birth,p1771,1968
855,orchid orangutan; defiant dragonfly,year_birth,p1776,1953
856,orchid orangutan; defiant dragonfly,year_birth,p1780,1969
857,orchid orangutan; defiant dragonfly,year_birth,p1785,1979
858,orchid orangutan; defiant dragonfly,year_birth,p1791,1986
859,orchid orangutan; defiant dragonfly,year_birth,p1793,1957
860,orchid orangutan; defiant dragonfly,year_birth,p1796,1952
861,orchid orangutan; defiant dragonfly,year_birth,p1805,1981
862,orchid orangutan; defiant dragonfly,year_birth,p1812,1979
863,orchid orangutan; defiant dragonfly,year_birth,p1816,1972
864,orchid orangutan; defiant dragonfly,year_birth,p1819,1972
865,orchid orangutan; defiant dragonfly,year_birth,p1825,1951
866,orchid orangutan; defiant dragonfly,year_birth,p1836,1995
867,orchid orangutan; defiant dragonfly,year_birth,p1839,1940
868,orchid orangutan; defiant dragonfly,year_birth,p1861,1961
869,orchid orangutan; defiant dragonfly,year_birth,p1863,1930
870,orchid orangutan; defiant dragonfly,year_birth,p1873,1979
871,orchid orangutan; defiant dragonfly,year_birth,p1875,1955
872,orchid orangutan; defiant dragonfly,year_birth,p1876,1971
873,orchid orangutan; defiant dragonfly,year_birth,p1877,1996
874,orchid orangutan; defiant dragonfly,year_birth,p1880,1977
875,orchid orangutan; defiant dragonfly,year_birth,p1883,1970
876,orchid orangutan; defiant dragonfly,year_birth,p1889,1978
877,orchid orangutan; defiant dragonfly,year_birth,p1893,1982
878,orchid orangutan; defiant dragonfly,year_birth,p1896,1991
879,orchid orangutan; defiant dragonfly,year_birth,p1913,1969
880,orchid orangutan; defiant dragonfly,year_birth,p1922,1942
881,orchid orangutan; defiant dragonfly,year_birth,p1930,1970
882,orchid orangutan; defiant dragonfly,year_birth,p1935,1946
883,orchid orangutan; defiant dragonfly,year_birth,p1940,1977
884,orchid orangutan; defiant dragonfly,year_birth,p1948,1994
885,orchid orangutan; defiant dragonfly,year_birth,p1950,1963
886,orchid orangutan; defiant dragonfly,year_birth,p1954,1972
887,orchid orangutan; defiant dragonfly,year_birth,p1956,1959
888,orchid orangutan; defiant dragonfly,year_birth,p1958,1978
889,orchid orangutan; defiant dragonfly,year_birth,p1967,1979
890,orchid orangutan; defiant dragonfly,year_birth,p1973,1995
891,orchid orangutan; defiant dragonfly,year_birth,p1978,1953
892,orchid orangutan; defiant dragonfly,year_birth,p1983,1976
893,orchid orangutan; defiant dragonfly,year_birth,p1984,1956
894,orchid orangutan; defiant dragonfly,year_birth,p1995,1942
895,orchid orangutan; defiant dragonfly,year_birth,p1996,1977
896,orchid orangutan; defiant dragonfly,year_birth,p1997,1972
897,orchid orangutan; defiant dragonfly,year_birth,p2001,1977
898,orchid orangutan; defiant dragonfly,year_birth,p2002,1968
899,orchid orangutan; defiant dragonfly,year_birth,p2013,1980
900,orchid orangutan; defiant dragonfly,year_birth,p2014,1968
901,orchid orangutan; defiant dragonfly,year_birth,p2016,1962
902,orchid orangutan; defiant dragonfly,year_birth,p2018,1980
903,orchid orangutan; defiant dragonfly,year_birth,p2023,1969
904,orchid orangutan; defiant dragonfly,year_birth,p2025,1937
905,orchid orangutan; defiant dragonfly,year_birth,p2028,1953
906,orchid orangutan; defiant dragonfly,year_birth,p2030,1973
907,orchid orangutan; defiant dragonfly,year_birth,p2033,1978
908,orchid orangutan; defiant dragonfly,year_birth,p2040,1947
909,orchid orangutan; defiant dragonfly,year_birth,p2051,1991
910,orchid orangutan; defiant dragonfly,year_birth,p2052,1971
911,orchid orangutan; defiant dragonfly,year_birth,p2066,1942
912,orchid orangutan; defiant dragonfly,year_birth,p2067,1953
913,orchid orangutan; defiant dragonfly,year_birth,p2073,1994
914,orchid orangutan; defiant dragonfly,year_birth,p2077,1994
915,orchid orangutan; defiant dragonfly,year_birth,p2078,1988
916,orchid orangutan; defiant dragonfly,year_birth,p2086,1964
917,orchid orangutan; defiant dragonfly,year_birth,p2089,1981
918,orchid orangutan; defiant dragonfly,year_birth,p2093,1956
919,orchid orangutan; defiant dragonfly,year_birth,p2094,1945
920,orchid orangutan; defiant dragonfly,year_birth,p2111,1997
921,orchid orangutan; defiant dragonfly,year_birth,p2117,1979
922,orchid orangutan; defiant dragonfly,year_birth,p2121,1958
923,orchid orangutan; defiant dragonfly,year_birth,p2127,1969
924,orchid orangutan; defiant dragonfly,year_birth,p2141,1996
925,orchid orangutan; defiant dragonfly,year_birth,p2142,1999
926,orchid orangutan; defiant dragonfly,year_birth,p2143,1971
927,orchid orangutan; defiant dragonfly,year_birth,p2153,1984
928,orchid orangutan; defiant dragonfly,year_birth,p2155,1973
929,orchid orangutan; defiant dragonfly,year_birth,p2169,1961
930,orchid orangutan; defiant dragonfly,year_birth,p2187,1991
931,orchid orangutan; defiant dragonfly,year_birth,p2188,1974
932,orchid orangutan; defiant dragonfly,year_birth,p2197,1986
933,orchid orangutan; defiant dragonfly,year_birth,p2213,1997
934,orchid orangutan; defiant dragonfly,year_birth,p2214,1989
935,orchid orangutan; defiant dragonfly,year_birth,p2215,1992
936,orchid orangutan; defiant dragonfly,year_birth,p2220,1971
937,orchid orangutan; defiant dragonfly,year_birth,p2223,1990
938,orchid orangutan; defiant dragonfly,year_birth,p2229,1985
939,orchid orangutan; defiant dragonfly,year_birth,p2234,1991
940,orchid orangutan; defiant dragonfly,year_birth,p2237,1960
941,orchid orangutan; defiant dragonfly,year_birth,p2238,1957
942,orchid orangutan; defiant dragonfly,year_birth,p2244,1987
943,orchid orangutan; defiant dragonfly,year_birth,p2248,1966
944,orchid orangutan; defiant dragonfly,year_birth,p2252,1999
945,orchid orangutan; defiant dragonfly,year_birth,p2255,1950
946,orchid orangutan; defiant dragonfly,year_birth,p2261,1960
947,orchid orangutan; defiant dragonfly,year_birth,p2263,1974
