,condition,outcome,persona,response
0,limping llama; friendly frog,gender,p0016,2
618,limping llama; friendly frog,year_birth,p0602,1952
619,limping llama; friendly frog,year_birth,p0605,1987
620,limping llama; friendly frog,year_birth,p0615,1966
621,limping llama; friendly frog,year_birth,p0620,1994
622,limping llama; friendly frog,year_birth,p0626,1980
623,limping llama; friendly frog,year_birth,p0629,1995
624,limping llama; friendly frog,year_birth,p0633,1996
625,limping llama; friendly frog,year_birth,p0638,1989
626,limping llama; friendly frog,year_birth,p0639,1976
627,limping llama; friendly frog,year_birth,p0640,1951
628,limping llama; friendly frog,year_birth,p0655,1998
629,limping llama; friendly frog,year_birth,p0656,1991
630,limping llama; friendly frog,year_birth,p0658,1968
631,limping llama; friendly frog,year_birth,p0661,1988
632,limping llama; friendly frog,year_birth,p0669,1960
633,limping llama; friendly frog,year_birth,p0670,1980
634,limping llama; friendly frog,year_birth,p0672,1973
635,limping llama; friendly frog,year_birth,p0674,1985
636,limping llama; friendly frog,year_birth,p0678,1978
637,limping llama; friendly frog,year_birth,p0683,1949
638,limping llama; friendly frog,year_birth,p0686,1977
639,limping llama; friendly frog,year_birth,p0687,1953
640,limping llama; friendly frog,year_birth,p0698,1963
641,limping llama; friendly frog,year_birth,p0700,1981
642,limping llama; friendly frog,year_birth,p0703,1970
643,limping llama; friendly frog,year_birth,p0718,1984
644,limping llama; friendly frog,year_birth,p0744,1987
645,limping llama; friendly frog,year_birth,p0745,1987
646,limping llama; friendly frog,year_birth,p0753,1992
647,limping llama; friendly frog,year_birth,p0770,1985
648,limping llama; friendly frog,year_birth,p0771,1964
649,limping llama; friendly frog,year_birth,p0777,1982
650,limping llama; friendly frog,year_birth,p0779,1964
651,limping llama; friendly frog,year_birth,p0780,1970
652,limping llama; friendly frog,year_birth,p0783,1947
653,limping llama; friendly frog,year_birth,p0785,1994
654,limping llama; friendly frog,year_birth,p0786,1970
655,limping llama; friendly frog,year_birth,p0794,1952
656,limping llama; friendly frog,year_birth,p0798,1947
657,limping llama; friendly frog,year_birth,p0800,1967
658,limping llama; friendly frog,year_birth,p0820,1982
659,limping llama; friendly frog,year_birth,p0841,1985
660,limping llama; friendly frog,year_birth,p0849,1970
661,limping llama; friendly frog,year_birth,p0862,1989
662,limping llama; friendly frog,year_birth,p0867,1969
663,limping llama; friendly frog,year_birth,p0869,1955
664,limping llama; friendly frog,year_birth,p0872,1972
665,limping llama; friendly frog,year_birth,p0880,1993
666,limping llama; friendly frog,year_birth,p0891,1984
667,limping llama; friendly frog,year_birth,p0916,1989
668,limping llama; friendly frog,year_birth,p0917,1987
669,limping llama; friendly frog,year_birth,p0919,1991
670,limping llama; friendly frog,year_birth,p0922,1957
671,limping llama; friendly frog,year_birth,p0925,1966
672,limping llama; friendly frog,year_birth,p0927,1990
673,limping llama; friendly frog,year_birth,p0929,1991
674,limping llama; friendly frog,year_birth,p0930,1984
675,limping llama; friendly frog,year_birth,p0931,1958
676,limping llama; friendly frog,year_birth,p0933,1986
677,limping llama; friendly frog,year_birth,p0934,1978
678,limping llama; friendly frog,year_birth,p0936,1976
679,limping llama; friendly frog,year_birth,p0938,1982
680,limping llama; friendly frog,year_birth,p0939,1984
681,limping llama; friendly frog,year_birth,p0946,1980
682,limping llama; friendly frog,year_birth,p0951,1963
683,limping llama; friendly frog,year_birth,p0956,1988
684,limping llama; friendly frog,year_birth,p0962,1942
685,limping llama; friendly frog,year_birth,p0963,1990
686,limping llama; friendly frog,year_birth,p0969,1960
687,limping llama; friendly frog,year_birth,p0972,1956
688,limping llama; friendly frog,year_birth,p0975,1952
689,limping llama; friendly frog,year_birth,p0985,1994
690,limping llama; friendly frog,year_birth,p0993,1983
691,limping llama; friendly frog,year_birth,p0996,1956
692,limping llama; friendly frog,year_birth,p1011,1961
693,limping llama; friendly frog,year_birth,p1017,1992
694,limping llama; friendly frog,year_birth,p1020,1953
695,limping llama; friendly frog,year_birth,p1022,1995
696,limping llama; friendly frog,year_birth,p1024,1972
697,limping llama; friendly frog,year_birth,p1027,1996
698,limping llama; friendly frog,year_birth,p1028,1985
699,limping llama; friendly frog,year_birth,p1029,1986
700,limping llama; friendly frog,year_birth,p1032,1972
701,limping llama; friendly frog,year_birth,p1040,1990
702,limping llama; friendly frog,year_birth,p1047,1997
703,limping llama; friendly frog,year_birth,p1048,1985
704,limping llama; friendly frog,year_birth,p1053,1987
705,limping llama; friendly frog,year_birth,p1057,1986
706,limping llama; friendly frog,year_birth,p1058,1988
707,limping llama; friendly frog,year_birth,p1063,1960
708,limping llama; friendly frog,year_birth,p1064,1955
709,limping llama; friendly frog,year_birth,p1065,1955
710,limping llama; friendly frog,year_birth,p1069,1981
711,limping llama; friendly frog,year_birth,p1072,1986
712,limping llama; friendly frog,year_birth,p1073,1980
713,limping llama; friendly frog,year_birth,p1075,1965
714,limping llama; friendly frog,year_birth,p1076,1997
715,limping llama; friendly frog,year_birth,p1083,1950
716,limping llama; friendly frog,year_birth,p1089,1992
717,limping llama; friendly frog,year_birth,p1093,1995
718,limping llama; friendly frog,year_birth,p1096,1988
719,limping llama; friendly frog,year_birth,p1100,1972
720,limping llama; friendly frog,year_birth,p1106,1988
721,limping llama; friendly frog,year_birth,p1107,1955
722,limping llama; friendly frog,year_birth,p1113,1984
723,limping llama; friendly frog,year_birth,p1117,1940
724,limping llama; friendly frog,year_birth,p1120,1956
725,limping llama; friendly frog,year_birth,p1134,1951
726,limping llama; friendly frog,year_birth,p1136,1967
727,limping llama; friendly frog,year_birth,p1138,1969
728,limping llama; friendly frog,year_birth,p1144,1962
729,limping llama; friendly frog,year_birth,p1145,1952
730,limping llama; friendly frog,year_birth,p1147,1989
731,limping llama; friendly frog,year_birth,p1148,1982
732,limping llama; friendly frog,year_birth,p1154,1985
733,limping llama; friendly frog,year_birth,p1159,1957
734,limping llama; friendly frog,year_birth,p1167,1965
735,limping llama; friendly frog,year_birth,p1175,1989
736,limping llama; friendly frog,year_birth,p1178,1989
737,limping llama; friendly frog,year_birth,p1184,1979
738,limping llama; friendly frog,year_birth,p1186,1970
739,limping llama; friendly frog,year_birth,p1196,1996
740,limping llama; friendly frog,year_birth,p1197,1974
741,limping llama; friendly frog,year_birth,p1203,1954
742,limping llama; friendly frog,year_birth,p1219,1994
743,limping llama; friendly frog,year_birth,p1225,1952
744,limping llama; friendly frog,year_birth,p1234,1996
745,limping llama; friendly frog,year_birth,p1242,1954
746,limping llama; friendly frog,year_birth,p1244,1976
747,limping llama; friendly frog,year_birth,p1249,1972
748,limping llama; friendly frog,year_birth,p1250,1960
749,limping llama; friendly frog,year_birth,p1256,1979
750,limping llama; friendly frog,year_birth,p1258,1986
751,limping llama; friendly frog,year_birth,p1260,1982
752,limping llama; friendly frog,year_birth,p1262,1972
753,limping llama; friendly frog,year_birth,p1264,1997
754,limping llama; friendly frog,year_birth,p1265,1987
755,limping llama; friendly frog,year_birth,p1269,1983
756,limping llama; friendly frog,year_birth,p1272,1998
757,limping llama; friendly frog,year_birth,p1278,1988
758,limping llama; friendly frog,year_birth,p1281,1989
759,limping llama; friendly frog,year_birth,p1292,1990
760,limping llama; friendly frog,year_birth,p1299,1964
761,limping llama; friendly frog,year_birth,p1312,1984
762,limping llama; friendly frog,year_birth,p1322,1986
763,limping llama; friendly frog,year_birth,p1326,1985
764,limping llama; friendly frog,year_birth,p1330,1962
765,limping llama; friendly frog,year_birth,p1335,1991
766,limping llama; friendly frog,year_birth,p1337,1965
767,limping llama; friendly frog,year_birth,p1340,1983
768,limping llama; friendly frog,year_birth,p1345,1960
769,limping llama; friendly frog,year_birth,p1351,1932
770,limping llama; friendly frog,year_birth,p1355,1991
771,limping llama; friendly frog,year_birth,p1362,1941
772,limping llama; friendly frog,year_birth,p1365,1961
773,limping llama; friendly frog,year_birth,p1366,1958
774,limping llama; friendly frog,year_birth,p1367,1984
775,limping llama; friendly frog,year_birth,p1370,1936
776,limping llama; friendly frog,year_birth,p1371,1969
777,limping llama; friendly frog,year_birth,p1373,1991
778,limping llama; friendly frog,year_birth,p1375,1980
779,limping llama; friendly frog,year_birth,p1376,1986
780,limping llama; friendly frog,year_birth,p1379,1977
781,limping llama; friendly frog,year_birth,p1381,1952
782,limping llama; friendly frog,year_birth,p1393,1974
783,limping llama; friendly frog,year_birth,p1396,1970
784,limping llama; friendly frog,year_birth,p1398,1978
785,limping llama; friendly frog,year_birth,p1404,1960
786,limping llama; friendly frog,year_birth,p1406,1961
787,limping llama; friendly frog,year_birth,p1407,1987
788,limping llama; friendly frog,year_birth,p1409,1954
789,limping llama; friendly frog,year_birth,p1412,1966
790,limping llama; friendly frog,year_birth,p1414,1981
791,limping llama; friendly frog,year_birth,p1424,1968
792,limping llama; friendly frog,year_birth,p1425,1968
793,limping llama; friendly frog,year_birth,p1429,1971
794,limping llama; friendly frog,year_birth,p1434,1976
795,limping llama; friendly frog,year_birth,p1441,1975
796,limping llama; friendly frog,year_birth,p1445,1956
797,limping llama; friendly frog,year_birth,p1450,1993
798,limping llama; friendly frog,year_birth,p1454,1967
799,limping llama; friendly frog,year_birth,p1456,1978
800,limping llama; friendly frog,year_birth,p1457,1987
801,limping llama; friendly frog,year_birth,p1458,1966
802,limping llama; friendly frog,year_birth,p1469,1979
803,limping llama; friendly frog,year_birth,p1470,1961
804,limping llama; friendly frog,year_birth,p1481,1958
805,limping llama; friendly frog,year_birth,p1488,1973
806,limping llama; friendly frog,year_birth,p1492,1976
807,limping llama; friendly frog,year_birth,p1495,1943
808,limping llama; friendly frog,year_birth,p1497,1965
809,limping llama; friendly frog,year_birth,p1499,1993
810,limping llama; friendly frog,year_birth,p1503,1963
811,limping llama; friendly frog,year_birth,p1511,1960
812,limping llama; friendly frog,year_birth,p1512,1989
813,limping llama; friendly frog,year_birth,p1518,1992
814,limping llama; friendly frog,year_birth,p1519,1995
815,limping llama; friendly frog,year_birth,p1520,1988
816,limping llama; friendly frog,year_birth,p1524,1968
817,limping llama; friendly frog,year_birth,p1526,1982
818,limping llama; friendly frog,year_birth,p1537,1937
819,limping llama; friendly frog,year_birth,p1545,1975
820,limping llama; friendly frog,year_birth,p1547,1968
821,limping llama; friendly frog,year_birth,p1552,1989
822,limping llama; friendly frog,year_birth,p1567,1949
823,limping llama; friendly frog,year_birth,p1568,1950
824,limping llama; friendly frog,year_birth,p1579,1951
825,limping llama; friendly frog,year_birth,p1587,1965
826,limping llama; friendly frog,year_birth,p1596,1953
827,limping llama; friendly frog,year_birth,p1600,1974
828,limping llama; friendly frog,year_birth,p1603,1990
829,limping llama; friendly frog,year_birth,p1604,1955
830,limping llama; friendly frog,year_birth,p1610,1978
831,limping llama; friendly frog,year_birth,p1618,1971
832,limping llama; friendly frog,year_birth,p1619,1948
833,limping llama; friendly frog,year_birth,p1622,1956
834,limping llama; friendly frog,year_birth,p1623,1971
835,limping llama; friendly frog,year_birth,p1630,1999
836,limping llama; friendly frog,year_birth,p1641,1944
837,limping llama; friendly frog,year_birth,p1649,1943
838,limping llama; friendly frog,year_birth,p1652,1971
839,limping llama; friendly frog,year_birth,p1665,1980
840,limping llama; friendly frog,year_birth,p1669,1968
841,limping llama; friendly frog,year_birth,p1685,1956
842,limping llama; friendly frog,year_birth,p1693,1986
843,limping llama; friendly frog,year_birth,p1698,1973
844,limping llama; friendly frog,year_birth,p1704,1976
845,limping llama; friendly frog,year_birth,p1711,1969
846,limping llama; friendly frog,year_birth,p1718,1975
847,limping llama; friendly frog,year_birth,p1732,1971
848,limping llama; friendly frog,year_birth,p1739,1943
849,limping llama; friendly frog,year_birth,p1741,1942
850,limping llama; friendly frog,year_birth,p1746,1975
851,limping llama; friendly frog,year_birth,p1751,1987
852,limping llama; friendly frog,year_birth,p1754,1959
853,limping llama; friendly frog,year_birth,p1769,1971
854,limping llama; friendly frog,year_birth,p1771,1968
855,limping llama; friendly frog,year_birth,p1776,1953
856,limping llama; friendly frog,year_birth,p1780,1969
857,limping llama; friendly frog,year_birth,p1785,1979
858,limping llama; friendly frog,year_birth,p1791,1986
859,limping llama; friendly frog,year_birth,p1793,1957
860,limping llama; friendly frog,year_birth,p1796,1952
861,limping llama; friendly frog,year_birth,p1805,1981
862,limping llama; friendly frog,year_birth,p1812,1979
863,limping llama; friendly frog,year_birth,p1816,1972
864,limping llama; friendly frog,year_birth,p1819,1972
865,limping llama; friendly frog,year_birth,p1825,1951
866,limping llama; friendly frog,year_birth,p1836,1995
867,limping llama; friendly frog,year_birth,p1839,1940
868,limping llama; friendly frog,year_birth,p1861,1961
869,limping llama; friendly frog,year_birth,p1863,1930
870,limping llama; friendly frog,year_birth,p1873,1979
871,limping llama; friendly frog,year_birth,p1875,1955
872,limping llama; friendly frog,year_birth,p1876,1971
873,limping llama; friendly frog,year_birth,p1877,1996
874,limping llama; friendly frog,year_birth,p1880,1977
875,limping llama; friendly frog,year_birth,p1883,1970
876,limping llama; friendly frog,year_birth,p1889,1978
877,limping llama; friendly frog,year_birth,p1893,1982
878,limping llama; friendly frog,year_birth,p1896,1991
879,limping llama; friendly frog,year_birth,p1913,1969
880,limping llama; friendly frog,year_birth,p1922,1942
881,limping llama; friendly frog,year_birth,p1930,1970
882,limping llama; friendly frog,year_birth,p1935,1946
883,limping llama; friendly frog,year_birth,p1940,1977
884,limping llama; friendly frog,year_birth,p1948,1994
885,limping llama; friendly frog,year_birth,p1950,1963
886,limping llama; friendly frog,year_birth,p1954,1972
887,limping llama; friendly frog,year_birth,p1956,1959
888,limping llama; friendly frog,year_birth,p1958,1978
889,limping llama; friendly frog,year_birth,p1967,1979
890,limping llama; friendly frog,year_birth,p1973,1995
891,limping llama; friendly frog,year_birth,p1978,1953
892,limping llama; friendly frog,year_birth,p1983,1976
893,limping llama; friendly frog,year_birth,p1984,1956
894,limping llama; friendly frog,year_birth,p1995,1942
895,limping llama; friendly frog,year_birth,p1996,1977
896,limping llama; friendly frog,year_birth,p1997,1972
897,limping llama; friendly frog,year_birth,p2001,1977
898,limping llama; friendly frog,year_birth,p2002,1968
899,limping llama; friendly frog,year_birth,p2013,1980
900,limping llama; friendly frog,year_birth,p2014,1968
901,limping llama; friendly frog,year_birth,p2016,1962
902,limping llama; friendly frog,year_birth,p2018,1980
903,limping llama; friendly frog,year_birth,p2023,1969
904,limping llama; friendly frog,year_birth,p2025,1937
905,limping llama; friendly frog,year_birth,p2028,1953
906,limping llama; friendly frog,year_birth,p2030,1973
907,limping llama; friendly frog,year_birth,p2033,1978
908,limping llama; friendly frog,year_birth,p2040,1947
909,limping llama; friendly frog,year_birth,p2051,1991
910,limping llama; friendly frog,year_birth,p2052,1971
911,limping llama; friendly frog,year_birth,p2066,1942
912,limping llama; friendly frog,year_birth,p2067,1953
913,limping llama; friendly frog,year_birth,p2073,1994
914,limping llama; friendly frog,year_birth,p2077,1994
915,limping llama; friendly frog,year_birth,p2078,1988
916,limping llama; friendly frog,year_birth,p2086,1964
917,limping llama; friendly frog,year_birth,p2089,1981
918,limping llama; friendly frog,year_birth,p2093,1956
919,limping llama; friendly frog,year_birth,p2094,1945
920,limping llama; friendly frog,year_birth,p2111,1997
921,limping llama; friendly frog,year_birth,p2117,1979
922,limping llama; friendly frog,year_birth,p2121,1958
923,limping llama; friendly frog,year_birth,p2127,1969
924,limping llama; friendly frog,year_birth,p2141,1996
925,limping llama; friendly frog,year_birth,p2142,1999
926,limping llama; friendly frog,year_birth,p2143,1971
927,limping llama; friendly frog,year_birth,p2153,1984
928,limping llama; friendly frog,year_birth,p2155,1973
929,limping llama; friendly frog,year_birth,p2169,1961
930,limping llama; friendly frog,year_birth,p2187,1991
931,limping llama; friendly frog,year_birth,p2188,1974
932,limping llama; friendly frog,year_birth,p2197,1986
933,limping llama; friendly frog,year_birth,p2213,1997
934,limping llama; friendly frog,year_birth,p2214,1989
935,limping llama; friendly frog,year_birth,p2215,1992
936,limping llama; friendly frog,year_birth,p2220,1971
937,limping llama; friendly frog,year_birth,p2223,1990
938,limping llama; friendly frog,year_birth,p2229,1985
939,limping llama; friendly frog,year_birth,p2234,1991
940,limping llama; friendly frog,year_birth,p2237,1960
941,limping llama; friendly frog,year_birth,p2238,1957
942,limping llama; friendly frog,year_birth,p2244,1987
943,limping llama; friendly frog,year_birth,p2248,1966
944,limping llama; friendly frog,year_birth,p2252,1999
945,limping llama; friendly frog,year_birth,p2255,1950
946,limping llama; friendly frog,year_birth,p2261,1960
947,limping llama; friendly frog,year_birth,p2263,1974
948,limping llama; friendly frog,year_birth,p2273,1993
949,limping llama; friendly frog,year_birth,p2275,1984
950,limping llama; friendly frog,year_birth,p2276,1985
951,limping llama; friendly frog,year_birth,p2283,1964
952,limping llama; friendly frog,year_birth,p2287,1957
953,limping llama; friendly frog,year_birth,p2296,1992
954,limping llama; friendly frog,year_birth,p2298,1994
955,limping llama; friendly frog,year_birth,p2304,1995
956,limping llama; friendly frog,year_birth,p2310,1986
957,limping llama; friendly frog,year_birth,p2322,1988
958,limping llama; friendly frog,year_birth,p2326,1990
959,limping llama; friendly frog,year_birth,p2330,1996
960,limping llama; friendly frog,year_birth,p2331,1997
961,limping llama; friendly frog,year_birth,p2333,1967
962,limping llama; friendly frog,year_birth,p2347,1972
963,limping llama; friendly frog,year_birth,p2350,1989
964,limping llama; friendly frog,year_birth,p2351,1986
965,limping llama; friendly frog,year_birth,p2353,1998
966,limping llama; friendly frog,year_birth,p2355,1988
967,limping llama; friendly frog,year_birth,p2363,1982
968,limping llama; friendly frog,year_birth,p2378,1994
969,limping llama; friendly frog,year_birth,p2380,1994
970,limping llama; friendly frog,year_birth,p2387,1986
971,limping llama; friendly frog,year_birth,p2398,1990
972,limping llama; friendly frog,year_birth,p2400,1961
973,limping llama; friendly frog,year_birth,p2403,1971
974,limping llama; friendly frog,year_birth,p2408,1980
975,limping llama; friendly frog,year_birth,p2418,1987
976,limping llama; friendly frog,year_birth,p2426,1951
977,limping llama; friendly frog,year_birth,p2428,1989
978,limping llama; friendly frog,year_birth,p2434,1968
979,limping llama; friendly frog,year_birth,p2446,1983
980,limping llama; friendly frog,year_birth,p2452,1975
981,limping llama; friendly frog,year_birth,p2454,1978
982,limping llama; friendly frog,year_birth,p2462,1993
983,limping llama; friendly frog,year_birth,p2467,1972
984,limping llama; friendly frog,year_birth,p2482,1967
985,limping llama; friendly frog,year_birth,p2489,1952
986,limping llama; friendly frog,year_birth,p2490,1998
987,limping llama; friendly frog,year_birth,p2494,1947
988,limping llama; friendly frog,year_birth,p2502,1955
989,limping llama; friendly frog,year_birth,p2503,1987
990,limping llama; friendly frog,year_birth,p2522,1945
991,limping llama; friendly frog,year_birth,p2524,1946
992,limping llama; friendly frog,year_birth,p2533,1951
993,limping llama; friendly frog,year_birth,p2566,1968
994,limping llama; friendly frog,year_birth,p2571,1952
995,limping llama; friendly frog,year_birth,p2573,1969
996,limping llama; friendly frog,year_birth,p2582,1985
997,limping llama; friendly frog,year_birth,p2591,1986
998,limping llama; friendly frog,year_birth,p2592,1981
999,limping llama; friendly frog,year_birth,p2595,1973
1000,limping llama; friendly frog,race,p0016,1
1001,limping llama; friendly frog,race,p0022,1
1002,limping llama; friendly frog,race,p0023,1
1003,limping llama; friendly frog,race,p0026,1
1004,limping llama; friendly frog,race,p0034,1
1005,limping llama; friendly frog,race,p0036,1
1006,limping llama; friendly frog,race,p0037,1
1007,limping llama; friendly frog,race,p0042,1
1008,limping llama; friendly frog,race,p0057,1
1009,limping llama; friendly frog,race,p0066,1
1010,limping llama; friendly frog,race,p0069,1
1011,limping llama; friendly frog,race,p0072,1
1012,limping llama; friendly frog,race,p0073,1
1013,limping llama; friendly frog,race,p0082,1
1014,limping llama; friendly frog,race,p0091,1
1015,limping llama; friendly frog,race,p0092,2
1016,limping llama; friendly frog,race,p0093,1
1017,limping llama; friendly frog,race,p0095,1
1018,limping llama; friendly frog,race,p0107,1
1019,limping llama; friendly frog,race,p0114,1
1020,limping llama; friendly frog,race,p0116,1
1021,limping llama; friendly frog,race,p0118,1
1022,limping llama; friendly frog,race,p0119,1
1023,limping llama; friendly frog,race,p0126,1
1024,limping llama; friendly frog,race,p0129,1
1025,limping llama; friendly frog,race,p0136,1
1026,limping llama; friendly frog,race,p0138,1
1027,limping llama; friendly frog,race,p0144,5
1028,limping llama; friendly frog,race,p0150,2
1029,limping llama; friendly frog,race,p0152,1
1030,limping llama; friendly frog,race,p0158,1
1031,limping llama; friendly frog,race,p0161,1
1032,limping llama; friendly frog,race,p0164,1
1033,limping llama; friendly frog,race,p0175,1
1034,limping llama; friendly frog,race,p0177,5
1035,limping llama; friendly frog,race,p0178,1
1036,limping llama; friendly frog,race,p0181,1
1037,limping llama; friendly frog,race,p0186,1
1038,limping llama; friendly frog,race,p0196,1
1039,limping llama; friendly frog,race,p0198,1
1040,limping llama; friendly frog,race,p0202,1
1041,limping llama; friendly frog,race,p0205,1
1042,limping llama; friendly frog,race,p0207,1
1043,limping llama; friendly frog,race,p0211,1
1044,limping llama; friendly frog,race,p0227,5
1045,limping llama; friendly frog,race,p0229,2
1046,limping llama; friendly frog,race,p0232,1
1047,limping llama; friendly frog,race,p0233,1
1048,limping llama; friendly frog,race,p0237,1
1049,limping llama; friendly frog,race,p0258,1
1050,limping llama; friendly frog,race,p0268,1
1051,limping llama; friendly frog,race,p0274,2
1052,limping llama; friendly frog,race,p0275,2
1053,limping llama; friendly frog,race,p0277,2
1054,limping llama; friendly frog,race,p0288,2
1055,limping llama; friendly frog,race,p0291,1
1056,limping llama; friendly frog,race,p0307,1
1057,limping llama; friendly frog,race,p0308,1
1058,limping llama; friendly frog,race,p0317,1
1059,limping llama; friendly frog,race,p0325,1
1060,limping llama; friendly frog,race,p0327,1
1061,limping llama; friendly frog,race,p0334,1
1062,limping llama; friendly frog,race,p0336,1
1063,limping llama; friendly frog,race,p0338,1
1064,limping llama; friendly frog,race,p0342,2
1065,limping llama; friendly frog,race,p0349,1
1066,limping llama; friendly frog,race,p0356,1
1067,limping llama; friendly frog,race,p0358,1
1068,limping llama; friendly frog,race,p0363,1
1069,limping llama; friendly frog,race,p0364,1
1070,limping llama; friendly frog,race,p0369,1
1071,limping llama; friendly frog,race,p0370,1
1072,limping llama; friendly frog,race,p0371,1
1073,limping llama; friendly frog,race,p0379,1
1074,limping llama; friendly frog,race,p0386,1
1075,limping llama; friendly frog,race,p0396,1
1076,limping llama; friendly frog,race,p0403,2
1077,limping llama; friendly frog,race,p0405,1
1078,limping llama; friendly frog,race,p0412,1
1079,limping llama; friendly frog,race,p0415,1
1080,limping llama; friendly frog,race,p0416,1
1081,limping llama; friendly frog,race,p0417,1
1082,limping llama; friendly frog,race,p0418,1
1083,limping llama; friendly frog,race,p0430,1
1084,limping llama; friendly frog,race,p0431,1
1085,limping llama; friendly frog,race,p0434,1
1086,limping llama; friendly frog,race,p0438,1
1087,limping llama; friendly frog,race,p0441,5
1088,limping llama; friendly frog,race,p0442,2
1089,limping llama; friendly frog,race,p0449,1
1090,limping llama; friendly frog,race,p0450,1
1091,limping llama; friendly frog,race,p0465,1
1092,limping llama; friendly frog,race,p0471,1
1093,limping llama; friendly frog,race,p0477,1
1094,limping llama; friendly frog,race,p0483,2
1095,limping llama; friendly frog,race,p0486,1
1096,limping llama; friendly frog,race,p0487,1
1097,limping llama; friendly frog,race,p0489,1
1098,limping llama; friendly frog,race,p0497,1
1099,limping llama; friendly frog,race,p0502,1
1100,limping llama; friendly frog,race,p0503,1
1101,limping llama; friendly frog,race,p0506,1
1102,limping llama; friendly frog,race,p0511,1
1103,limping llama; friendly frog,race,p0523,1
1104,limping llama; friendly frog,race,p0534,1
1105,limping llama; friendly frog,race,p0536,1
1106,limping llama; friendly frog,race,p0542,1
1107,limping llama; friendly frog,race,p0547,1
1108,limping llama; friendly frog,race,p0553,1
1109,limping llama; friendly frog,race,p0559,1
1110,limping llama; friendly frog,race,p0566,1
1111,limping llama; friendly frog,race,p0568,5
1112,limping llama; friendly frog,race,p0570,2
1113,limping llama; friendly frog,race,p0573,1
1114,limping llama; friendly frog,race,p0578,1
1115,limping llama; friendly frog,race,p0594,1
1116,limping llama; friendly frog,race,p0597,1
1117,limping llama; friendly frog,race,p0601,1
1118,limping llama; friendly frog,race,p0602,1
1119,limping llama; friendly frog,race,p0605,1
1120,limping llama; friendly frog,race,p0615,1
1121,limping llama; friendly frog,race,p0620,1
1122,limping llama; friendly frog,race,p0626,1
1123,limping llama; friendly frog,race,p0629,1
1124,limping llama; friendly frog,race,p0633,1
1125,limping llama; friendly frog,race,p0638,1
1126,limping llama; friendly frog,race,p0639,1
1127,limping llama; friendly frog,race,p0640,1
1128,limping llama; friendly frog,race,p0655,1
1129,limping llama; friendly frog,race,p0656,2
1130,limping llama; friendly frog,race,p0658,1
1131,limping llama; friendly frog,race,p0661,1
1132,limping llama; friendly frog,race,p0669,1
1133,limping llama; friendly frog,race,p0670,2
1134,limping llama; friendly frog,race,p0672,5
1135,limping llama; friendly frog,race,p0674,1
1136,limping llama; friendly frog,race,p0678,1
1137,limping llama; friendly frog,race,p0683,1
1138,limping llama; friendly frog,race,p0686,1
1139,limping llama; friendly frog,race,p0687,5
1140,limping llama; friendly frog,race,p0698,1
1141,limping llama; friendly frog,race,p0700,1
1142,limping llama; friendly frog,race,p0703,1
1143,limping llama; friendly frog,race,p0718,2
1144,limping llama; friendly frog,race,p0744,1
1145,limping llama; friendly frog,race,p0745,1
1146,limping llama; friendly frog,race,p0753,1
1147,limping llama; friendly frog,race,p0770,1
1148,limping llama; friendly frog,race,p0771,5
1149,limping llama; friendly frog,race,p0777,1
1150,limping llama; friendly frog,race,p0779,1
1151,limping llama; friendly frog,race,p0780,1
1152,limping llama; friendly frog,race,p0783,1
1153,limping llama; friendly frog,race,p0785,1
1154,limping llama; friendly frog,race,p0786,2
1155,limping llama; friendly frog,race,p0794,1
1156,limping llama; friendly frog,race,p0798,1
1157,limping llama; friendly frog,race,p0800,1
1158,limping llama; friendly frog,race,p0820,1
1159,limping llama; friendly frog,race,p0841,1
1160,limping llama; friendly frog,race,p0849,1
1161,limping llama; friendly frog,race,p0862,5
1162,limping llama; friendly frog,race,p0867,2
1163,limping llama; friendly frog,race,p0869,1
1164,limping llama; friendly frog,race,p0872,1
1165,limping llama; friendly frog,race,p0880,5
1166,limping llama; friendly frog,race,p0891,1
1167,limping llama; friendly frog,race,p0916,1
1168,limping llama; friendly frog,race,p0917,1
1169,limping llama; friendly frog,race,p0919,1
1170,limping llama; friendly frog,race,p0922,1
1171,limping llama; friendly frog,race,p0925,1
1172,limping llama; friendly frog,race,p0927,1
1173,limping llama; friendly frog,race,p0929,1
1174,limping llama; friendly frog,race,p0930,1
1175,limping llama; friendly frog,race,p0931,1
1176,limping llama; friendly frog,race,p0933,5
1177,limping llama; friendly frog,race,p0934,1
1178,limping llama; friendly frog,race,p0936,1
1179,limping llama; friendly frog,race,p0938,1
1180,limping llama; friendly frog,race,p0939,1
1181,limping llama; friendly frog,race,p0946,1
1182,limping llama; friendly frog,race,p0951,2
1183,limping llama; friendly frog,race,p0956,1
1184,limping llama; friendly frog,race,p0962,1
1185,limping llama; friendly frog,race,p0963,1
1186,limping llama; friendly frog,race,p0969,1
1187,limping llama; friendly frog,race,p0972,1
1188,limping llama; friendly frog,race,p0975,1
1189,limping llama; friendly frog,race,p0985,2
1190,limping llama; friendly frog,race,p0993,2
1191,limping llama; friendly frog,race,p0996,1
1192,limping llama; friendly frog,race,p1011,1
1193,limping llama; friendly frog,race,p1017,1
1194,limping llama; friendly frog,race,p1020,1
1195,limping llama; friendly frog,race,p1022,1
1196,limping llama; friendly frog,race,p1024,1
1197,limping llama; friendly frog,race,p1027,5
1198,limping llama; friendly frog,race,p1028,1
1199,limping llama; friendly frog,race,p1029,2
