,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,gender,p0016,2
636,crushing chicken; gross grasshopper; homely halibut,year_birth,p0678,1978
637,crushing chicken; gross grasshopper; homely halibut,year_birth,p0683,1949
638,crushing chicken; gross grasshopper; homely halibut,year_birth,p0686,1977
639,crushing chicken; gross grasshopper; homely halibut,year_birth,p0687,1953
640,crushing chicken; gross grasshopper; homely halibut,year_birth,p0698,1963
641,crushing chicken; gross grasshopper; homely halibut,year_birth,p0700,1981
642,crushing chicken; gross grasshopper; homely halibut,year_birth,p0703,1970
643,crushing chicken; gross grasshopper; homely halibut,year_birth,p0718,1984
644,crushing chicken; gross grasshopper; homely halibut,year_birth,p0744,1987
645,crushing chicken; gross grasshopper; homely halibut,year_birth,p0745,1987
646,crushing chicken; gross grasshopper; homely halibut,year_birth,p0753,1992
647,crushing chicken; gross grasshopper; homely halibut,year_birth,p0770,1985
648,crushing chicken; gross grasshopper; homely halibut,year_birth,p0771,1964
649,crushing chicken; gross grasshopper; homely halibut,year_birth,p0777,1982
650,crushing chicken; gross grasshopper; homely halibut,year_birth,p0779,1964
651,crushing chicken; gross grasshopper; homely halibut,year_birth,p0780,1970
652,crushing chicken; gross grasshopper; homely halibut,year_birth,p0783,1947
653,crushing chicken; gross grasshopper; homely halibut,year_birth,p0785,1994
654,crushing chicken; gross grasshopper; homely halibut,year_birth,p0786,1970
655,crushing chicken; gross grasshopper; homely halibut,year_birth,p0794,1952
656,crushing chicken; gross grasshopper; homely halibut,year_birth,p0798,1947
657,crushing chicken; gross grasshopper; homely halibut,year_birth,p0800,1967
658,crushing chicken; gross grasshopper; homely halibut,year_birth,p0820,1982
659,crushing chicken; gross grasshopper; homely halibut,year_birth,p0841,1985
660,crushing chicken; gross grasshopper; homely halibut,year_birth,p0849,1970
661,crushing chicken; gross grasshopper; homely halibut,year_birth,p0862,1989
662,crushing chicken; gross grasshopper; homely halibut,year_birth,p0867,1969
663,crushing chicken; gross grasshopper; homely halibut,year_birth,p0869,1955
664,crushing chicken; gross grasshopper; homely halibut,year_birth,p0872,1972
665,crushing chicken; gross grasshopper; homely halibut,year_birth,p0880,1993
666,crushing chicken; gross grasshopper; homely halibut,year_birth,p0891,1984
667,crushing chicken; gross grasshopper; homely halibut,year_birth,p0916,1989
668,crushing chicken; gross grasshopper; homely halibut,year_birth,p0917,1987
669,crushing chicken; gross grasshopper; homely halibut,year_birth,p0919,1991
670,crushing chicken; gross grasshopper; homely halibut,year_birth,p0922,1957
671,crushing chicken; gross grasshopper; homely halibut,year_birth,p0925,1966
672,crushing chicken; gross grasshopper; homely halibut,year_birth,p0927,1990
673,crushing chicken; gross grasshopper; homely halibut,year_birth,p0929,1991
674,crushing chicken; gross grasshopper; homely halibut,year_birth,p0930,1984
675,crushing chicken; gross grasshopper; homely halibut,year_birth,p0931,1958
676,crushing chicken; gross grasshopper; homely halibut,year_birth,p0933,1986
677,crushing chicken; gross grasshopper; homely halibut,year_birth,p0934,1978
678,crushing chicken; gross grasshopper; homely halibut,year_birth,p0936,1976
679,crushing chicken; gross grasshopper; homely halibut,year_birth,p0938,1982
680,crushing chicken; gross grasshopper; homely halibut,year_birth,p0939,1984
681,crushing chicken; gross grasshopper; homely halibut,year_birth,p0946,1980
682,crushing chicken; gross grasshopper; homely halibut,year_birth,p0951,1963
683,crushing chicken; gross grasshopper; homely halibut,year_birth,p0956,1988
684,crushing chicken; gross grasshopper; homely halibut,year_birth,p0962,1942
685,crushing chicken; gross grasshopper; homely halibut,year_birth,p0963,1990
686,crushing chicken; gross grasshopper; homely halibut,year_birth,p0969,1960
687,crushing chicken; gross grasshopper; homely halibut,year_birth,p0972,1956
688,crushing chicken; gross grasshopper; homely halibut,year_birth,p0975,1952
689,crushing chicken; gross grasshopper; homely halibut,year_birth,p0985,1994
690,crushing chicken; gross grasshopper; homely halibut,year_birth,p0993,1983
691,crushing chicken; gross grasshopper; homely halibut,year_birth,p0996,1956
692,crushing chicken; gross grasshopper; homely halibut,year_birth,p1011,1961
693,crushing chicken; gross grasshopper; homely halibut,year_birth,p1017,1992
694,crushing chicken; gross grasshopper; homely halibut,year_birth,p1020,1953
695,crushing chicken; gross grasshopper; homely halibut,year_birth,p1022,1995
696,crushing chicken; gross grasshopper; homely halibut,year_birth,p1024,1972
697,crushing chicken; gross grasshopper; homely halibut,year_birth,p1027,1996
698,crushing chicken; gross grasshopper; homely halibut,year_birth,p1028,1985
699,crushing chicken; gross grasshopper; homely halibut,year_birth,p1029,1986
700,crushing chicken; gross grasshopper; homely halibut,year_birth,p1032,1972
701,crushing chicken; gross grasshopper; homely halibut,year_birth,p1040,1990
702,crushing chicken; gross grasshopper; homely halibut,year_birth,p1047,1997
703,crushing chicken; gross grasshopper; homely halibut,year_birth,p1048,1985
704,crushing chicken; gross grasshopper; homely halibut,year_birth,p1053,1987
705,crushing chicken; gross grasshopper; homely halibut,year_birth,p1057,1986
706,crushing chicken; gross grasshopper; homely halibut,year_birth,p1058,1988
707,crushing chicken; gross grasshopper; homely halibut,year_birth,p1063,1960
708,crushing chicken; gross grasshopper; homely halibut,year_birth,p1064,1955
709,crushing chicken; gross grasshopper; homely halibut,year_birth,p1065,1955
710,crushing chicken; gross grasshopper; homely halibut,year_birth,p1069,1981
711,crushing chicken; gross grasshopper; homely halibut,year_birth,p1072,1986
712,crushing chicken; gross grasshopper; homely halibut,year_birth,p1073,1980
713,crushing chicken; gross grasshopper; homely halibut,year_birth,p1075,1965
714,crushing chicken; gross grasshopper; homely halibut,year_birth,p1076,1997
715,crushing chicken; gross grasshopper; homely halibut,year_birth,p1083,1950
716,crushing chicken; gross grasshopper; homely halibut,year_birth,p1089,1992
717,crushing chicken; gross grasshopper; homely halibut,year_birth,p1093,1995
718,crushing chicken; gross grasshopper; homely halibut,year_birth,p1096,1988
719,crushing chicken; gross grasshopper; homely halibut,year_birth,p1100,1972
720,crushing chicken; gross grasshopper; homely halibut,year_birth,p1106,1988
721,crushing chicken; gross grasshopper; homely halibut,year_birth,p1107,1955
722,crushing chicken; gross grasshopper; homely halibut,year_birth,p1113,1984
723,crushing chicken; gross grasshopper; homely halibut,year_birth,p1117,1940
724,crushing chicken; gross grasshopper; homely halibut,year_birth,p1120,1956
725,crushing chicken; gross grasshopper; homely halibut,year_birth,p1134,1951
726,crushing chicken; gross grasshopper; homely halibut,year_birth,p1136,1967
727,crushing chicken; gross grasshopper; homely halibut,year_birth,p1138,1969
728,crushing chicken; gross grasshopper; homely halibut,year_birth,p1144,1962
729,crushing chicken; gross grasshopper; homely halibut,year_birth,p1145,1952
730,crushing chicken; gross grasshopper; homely halibut,year_birth,p1147,1989
731,crushing chicken; gross grasshopper; homely halibut,year_birth,p1148,1982
732,crushing chicken; gross grasshopper; homely halibut,year_birth,p1154,1985
733,crushing chicken; gross grasshopper; homely halibut,year_birth,p1159,1957
734,crushing chicken; gross grasshopper; homely halibut,year_birth,p1167,1965
735,crushing chicken; gross grasshopper; homely halibut,year_birth,p1175,1989
736,crushing chicken; gross grasshopper; homely halibut,year_birth,p1178,1989
737,crushing chicken; gross grasshopper; homely halibut,year_birth,p1184,1979
738,crushing chicken; gross grasshopper; homely halibut,year_birth,p1186,1970
739,crushing chicken; gross grasshopper; homely halibut,year_birth,p1196,1996
740,crushing chicken; gross grasshopper; homely halibut,year_birth,p1197,1974
741,crushing chicken; gross grasshopper; homely halibut,year_birth,p1203,1954
742,crushing chicken; gross grasshopper; homely halibut,year_birth,p1219,1994
743,crushing chicken; gross grasshopper; homely halibut,year_birth,p1225,1952
744,crushing chicken; gross grasshopper; homely halibut,year_birth,p1234,1996
745,crushing chicken; gross grasshopper; homely halibut,year_birth,p1242,1954
746,crushing chicken; gross grasshopper; homely halibut,year_birth,p1244,1976
747,crushing chicken; gross grasshopper; homely halibut,year_birth,p1249,1972
748,crushing chicken; gross grasshopper; homely halibut,year_birth,p1250,1960
749,crushing chicken; gross grasshopper; homely halibut,year_birth,p1256,1979
750,crushing chicken; gross grasshopper; homely halibut,year_birth,p1258,1986
751,crushing chicken; gross grasshopper; homely halibut,year_birth,p1260,1982
752,crushing chicken; gross grasshopper; homely halibut,year_birth,p1262,1972
753,crushing chicken; gross grasshopper; homely halibut,year_birth,p1264,1997
754,crushing chicken; gross grasshopper; homely halibut,year_birth,p1265,1987
755,crushing chicken; gross grasshopper; homely halibut,year_birth,p1269,1983
756,crushing chicken; gross grasshopper; homely halibut,year_birth,p1272,1998
757,crushing chicken; gross grasshopper; homely halibut,year_birth,p1278,1988
758,crushing chicken; gross grasshopper; homely halibut,year_birth,p1281,1989
759,crushing chicken; gross grasshopper; homely halibut,year_birth,p1292,1990
760,crushing chicken; gross grasshopper; homely halibut,year_birth,p1299,1964
761,crushing chicken; gross grasshopper; homely halibut,year_birth,p1312,1984
762,crushing chicken; gross grasshopper; homely halibut,year_birth,p1322,1986
763,crushing chicken; gross grasshopper; homely halibut,year_birth,p1326,1985
764,crushing chicken; gross grasshopper; homely halibut,year_birth,p1330,1962
765,crushing chicken; gross grasshopper; homely halibut,year_birth,p1335,1991
766,crushing chicken; gross grasshopper; homely halibut,year_birth,p1337,1965
767,crushing chicken; gross grasshopper; homely halibut,year_birth,p1340,1983
768,crushing chicken; gross grasshopper; homely halibut,year_birth,p1345,1960
769,crushing chicken; gross grasshopper; homely halibut,year_birth,p1351,1932
770,crushing chicken; gross grasshopper; homely halibut,year_birth,p1355,1991
771,crushing chicken; gross grasshopper; homely halibut,year_birth,p1362,1941
772,crushing chicken; gross grasshopper; homely halibut,year_birth,p1365,1961
773,crushing chicken; gross grasshopper; homely halibut,year_birth,p1366,1958
774,crushing chicken; gross grasshopper; homely halibut,year_birth,p1367,1984
775,crushing chicken; gross grasshopper; homely halibut,year_birth,p1370,1936
776,crushing chicken; gross grasshopper; homely halibut,year_birth,p1371,1969
777,crushing chicken; gross grasshopper; homely halibut,year_birth,p1373,1991
778,crushing chicken; gross grasshopper; homely halibut,year_birth,p1375,1980
779,crushing chicken; gross grasshopper; homely halibut,year_birth,p1376,1986
780,crushing chicken; gross grasshopper; homely halibut,year_birth,p1379,1977
781,crushing chicken; gross grasshopper; homely halibut,year_birth,p1381,1952
782,crushing chicken; gross grasshopper; homely halibut,year_birth,p1393,1974
783,crushing chicken; gross grasshopper; homely halibut,year_birth,p1396,1970
784,crushing chicken; gross grasshopper; homely halibut,year_birth,p1398,1978
785,crushing chicken; gross grasshopper; homely halibut,year_birth,p1404,1960
786,crushing chicken; gross grasshopper; homely halibut,year_birth,p1406,1961
787,crushing chicken; gross grasshopper; homely halibut,year_birth,p1407,1987
788,crushing chicken; gross grasshopper; homely halibut,year_birth,p1409,1954
789,crushing chicken; gross grasshopper; homely halibut,year_birth,p1412,1966
790,crushing chicken; gross grasshopper; homely halibut,year_birth,p1414,1981
791,crushing chicken; gross grasshopper; homely halibut,year_birth,p1424,1968
792,crushing chicken; gross grasshopper; homely halibut,year_birth,p1425,1968
793,crushing chicken; gross grasshopper; homely halibut,year_birth,p1429,1971
794,crushing chicken; gross grasshopper; homely halibut,year_birth,p1434,1976
795,crushing chicken; gross grasshopper; homely halibut,year_birth,p1441,1975
796,crushing chicken; gross grasshopper; homely halibut,year_birth,p1445,1956
797,crushing chicken; gross grasshopper; homely halibut,year_birth,p1450,1993
798,crushing chicken; gross grasshopper; homely halibut,year_birth,p1454,1967
799,crushing chicken; gross grasshopper; homely halibut,year_birth,p1456,1978
800,crushing chicken; gross grasshopper; homely halibut,year_birth,p1457,1987
801,crushing chicken; gross grasshopper; homely halibut,year_birth,p1458,1966
802,crushing chicken; gross grasshopper; homely halibut,year_birth,p1469,1979
803,crushing chicken; gross grasshopper; homely halibut,year_birth,p1470,1961
804,crushing chicken; gross grasshopper; homely halibut,year_birth,p1481,1958
805,crushing chicken; gross grasshopper; homely halibut,year_birth,p1488,1973
806,crushing chicken; gross grasshopper; homely halibut,year_birth,p1492,1976
807,crushing chicken; gross grasshopper; homely halibut,year_birth,p1495,1943
808,crushing chicken; gross grasshopper; homely halibut,year_birth,p1497,1965
809,crushing chicken; gross grasshopper; homely halibut,year_birth,p1499,1993
810,crushing chicken; gross grasshopper; homely halibut,year_birth,p1503,1963
811,crushing chicken; gross grasshopper; homely halibut,year_birth,p1511,1960
812,crushing chicken; gross grasshopper; homely halibut,year_birth,p1512,1989
813,crushing chicken; gross grasshopper; homely halibut,year_birth,p1518,1992
814,crushing chicken; gross grasshopper; homely halibut,year_birth,p1519,1995
815,crushing chicken; gross grasshopper; homely halibut,year_birth,p1520,1988
816,crushing chicken; gross grasshopper; homely halibut,year_birth,p1524,1968
817,crushing chicken; gross grasshopper; homely halibut,year_birth,p1526,1982
818,crushing chicken; gross grasshopper; homely halibut,year_birth,p1537,1937
819,crushing chicken; gross grasshopper; homely halibut,year_birth,p1545,1975
820,crushing chicken; gross grasshopper; homely halibut,year_birth,p1547,1968
821,crushing chicken; gross grasshopper; homely halibut,year_birth,p1552,1989
822,crushing chicken; gross grasshopper; homely halibut,year_birth,p1567,1949
823,crushing chicken; gross grasshopper; homely halibut,year_birth,p1568,1950
824,crushing chicken; gross grasshopper; homely halibut,year_birth,p1579,1951
825,crushing chicken; gross grasshopper; homely halibut,year_birth,p1587,1965
826,crushing chicken; gross grasshopper; homely halibut,year_birth,p1596,1953
827,crushing chicken; gross grasshopper; homely halibut,year_birth,p1600,1974
828,crushing chicken; gross grasshopper; homely halibut,year_birth,p1603,1990
829,crushing chicken; gross grasshopper; homely halibut,year_birth,p1604,1955
830,crushing chicken; gross grasshopper; homely halibut,year_birth,p1610,1978
831,crushing chicken; gross grasshopper; homely halibut,year_birth,p1618,1971
832,crushing chicken; gross grasshopper; homely halibut,year_birth,p1619,1948
833,crushing chicken; gross grasshopper; homely halibut,year_birth,p1622,1956
834,crushing chicken; gross grasshopper; homely halibut,year_birth,p1623,1971
835,crushing chicken; gross grasshopper; homely halibut,year_birth,p1630,1999
836,crushing chicken; gross grasshopper; homely halibut,year_birth,p1641,1944
837,crushing chicken; gross grasshopper; homely halibut,year_birth,p1649,1943
838,crushing chicken; gross grasshopper; homely halibut,year_birth,p1652,1971
839,crushing chicken; gross grasshopper; homely halibut,year_birth,p1665,1980
840,crushing chicken; gross grasshopper; homely halibut,year_birth,p1669,1968
841,crushing chicken; gross grasshopper; homely halibut,year_birth,p1685,1956
842,crushing chicken; gross grasshopper; homely halibut,year_birth,p1693,1986
843,crushing chicken; gross grasshopper; homely halibut,year_birth,p1698,1973
844,crushing chicken; gross grasshopper; homely halibut,year_birth,p1704,1976
845,crushing chicken; gross grasshopper; homely halibut,year_birth,p1711,1969
846,crushing chicken; gross grasshopper; homely halibut,year_birth,p1718,1975
847,crushing chicken; gross grasshopper; homely halibut,year_birth,p1732,1971
848,crushing chicken; gross grasshopper; homely halibut,year_birth,p1739,1943
849,crushing chicken; gross grasshopper; homely halibut,year_birth,p1741,1942
850,crushing chicken; gross grasshopper; homely halibut,year_birth,p1746,1975
851,crushing chicken; gross grasshopper; homely halibut,year_birth,p1751,1987
852,crushing chicken; gross grasshopper; homely halibut,year_birth,p1754,1959
853,crushing chicken; gross grasshopper; homely halibut,year_birth,p1769,1971
854,crushing chicken; gross grasshopper; homely halibut,year_birth,p1771,1968
855,crushing chicken; gross grasshopper; homely halibut,year_birth,p1776,1953
856,crushing chicken; gross grasshopper; homely halibut,year_birth,p1780,1969
857,crushing chicken; gross grasshopper; homely halibut,year_birth,p1785,1979
858,crushing chicken; gross grasshopper; homely halibut,year_birth,p1791,1986
859,crushing chicken; gross grasshopper; homely halibut,year_birth,p1793,1957
860,crushing chicken; gross grasshopper; homely halibut,year_birth,p1796,1952
861,crushing chicken; gross grasshopper; homely halibut,year_birth,p1805,1981
862,crushing chicken; gross grasshopper; homely halibut,year_birth,p1812,1979
863,crushing chicken; gross grasshopper; homely halibut,year_birth,p1816,1972
864,crushing chicken; gross grasshopper; homely halibut,year_birth,p1819,1972
865,crushing chicken; gross grasshopper; homely halibut,year_birth,p1825,1951
866,crushing chicken; gross grasshopper; homely halibut,year_birth,p1836,1995
867,crushing chicken; gross grasshopper; homely halibut,year_birth,p1839,1940
868,crushing chicken; gross grasshopper; homely halibut,year_birth,p1861,1961
869,crushing chicken; gross grasshopper; homely halibut,year_birth,p1863,1930
870,crushing chicken; gross grasshopper; homely halibut,year_birth,p1873,1979
871,crushing chicken; gross grasshopper; homely halibut,year_birth,p1875,1955
872,crushing chicken; gross grasshopper; homely halibut,year_birth,p1876,1971
873,crushing chicken; gross grasshopper; homely halibut,year_birth,p1877,1996
874,crushing chicken; gross grasshopper; homely halibut,year_birth,p1880,1977
875,crushing chicken; gross grasshopper; homely halibut,year_birth,p1883,1970
876,crushing chicken; gross grasshopper; homely halibut,year_birth,p1889,1978
877,crushing chicken; gross grasshopper; homely halibut,year_birth,p1893,1982
878,crushing chicken; gross grasshopper; homely halibut,year_birth,p1896,1991
879,crushing chicken; gross grasshopper; homely halibut,year_birth,p1913,1969
880,crushing chicken; gross grasshopper; homely halibut,year_birth,p1922,1942
881,crushing chicken; gross grasshopper; homely halibut,year_birth,p1930,1970
882,crushing chicken; gross grasshopper; homely halibut,year_birth,p1935,1946
883,crushing chicken; gross grasshopper; homely halibut,year_birth,p1940,1977
884,crushing chicken; gross grasshopper; homely halibut,year_birth,p1948,1994
885,crushing chicken; gross grasshopper; homely halibut,year_birth,p1950,1963
886,crushing chicken; gross grasshopper; homely halibut,year_birth,p1954,1972
887,crushing chicken; gross grasshopper; homely halibut,year_birth,p1956,1959
888,crushing chicken; gross grasshopper; homely halibut,year_birth,p1958,1978
889,crushing chicken; gross grasshopper; homely halibut,year_birth,p1967,1979
890,crushing chicken; gross grasshopper; homely halibut,year_birth,p1973,1995
891,crushing chicken; gross grasshopper; homely halibut,year_birth,p1978,1953
892,crushing chicken; gross grasshopper; homely halibut,year_birth,p1983,1976
893,crushing chicken; gross grasshopper; homely halibut,year_birth,p1984,1956
894,crushing chicken; gross grasshopper; homely halibut,year_birth,p1995,1942
895,crushing chicken; gross grasshopper; homely halibut,year_birth,p1996,1977
896,crushing chicken; gross grasshopper; homely halibut,year_birth,p1997,1972
897,crushing chicken; gross grasshopper; homely halibut,year_birth,p2001,1977
898,crushing chicken; gross grasshopper; homely halibut,year_birth,p2002,1968
899,crushing chicken; gross grasshopper; homely halibut,year_birth,p2013,1980
900,crushing chicken; gross grasshopper; homely halibut,year_birth,p2014,1968
901,crushing chicken; gross grasshopper; homely halibut,year_birth,p2016,1962
902,crushing chicken; gross grasshopper; homely halibut,year_birth,p2018,1980
903,crushing chicken; gross grasshopper; homely halibut,year_birth,p2023,1969
904,crushing chicken; gross grasshopper; homely halibut,year_birth,p2025,1937
905,crushing chicken; gross grasshopper; homely halibut,year_birth,p2028,1953
906,crushing chicken; gross grasshopper; homely halibut,year_birth,p2030,1973
907,crushing chicken; gross grasshopper; homely halibut,year_birth,p2033,1978
908,crushing chicken; gross grasshopper; homely halibut,year_birth,p2040,1947
909,crushing chicken; gross grasshopper; homely halibut,year_birth,p2051,1991
910,crushing chicken; gross grasshopper; homely halibut,year_birth,p2052,1971
911,crushing chicken; gross grasshopper; homely halibut,year_birth,p2066,1942
912,crushing chicken; gross grasshopper; homely halibut,year_birth,p2067,1953
913,crushing chicken; gross grasshopper; homely halibut,year_birth,p2073,1994
914,crushing chicken; gross grasshopper; homely halibut,year_birth,p2077,1994
915,crushing chicken; gross grasshopper; homely halibut,year_birth,p2078,1988
916,crushing chicken; gross grasshopper; homely halibut,year_birth,p2086,1964
917,crushing chicken; gross grasshopper; homely halibut,year_birth,p2089,1981
918,crushing chicken; gross grasshopper; homely halibut,year_birth,p2093,1956
919,crushing chicken; gross grasshopper; homely halibut,year_birth,p2094,1945
920,crushing chicken; gross grasshopper; homely halibut,year_birth,p2111,1997
921,crushing chicken; gross grasshopper; homely halibut,year_birth,p2117,1979
922,crushing chicken; gross grasshopper; homely halibut,year_birth,p2121,1958
923,crushing chicken; gross grasshopper; homely halibut,year_birth,p2127,1969
924,crushing chicken; gross grasshopper; homely halibut,year_birth,p2141,1996
925,crushing chicken; gross grasshopper; homely halibut,year_birth,p2142,1999
926,crushing chicken; gross grasshopper; homely halibut,year_birth,p2143,1971
927,crushing chicken; gross grasshopper; homely halibut,year_birth,p2153,1984
928,crushing chicken; gross grasshopper; homely halibut,year_birth,p2155,1973
929,crushing chicken; gross grasshopper; homely halibut,year_birth,p2169,1961
930,crushing chicken; gross grasshopper; homely halibut,year_birth,p2187,1991
931,crushing chicken; gross grasshopper; homely halibut,year_birth,p2188,1974
932,crushing chicken; gross grasshopper; homely halibut,year_birth,p2197,1986
933,crushing chicken; gross grasshopper; homely halibut,year_birth,p2213,1997
934,crushing chicken; gross grasshopper; homely halibut,year_birth,p2214,1989
935,crushing chicken; gross grasshopper; homely halibut,year_birth,p2215,1992
936,crushing chicken; gross grasshopper; homely halibut,year_birth,p2220,1971
937,crushing chicken; gross grasshopper; homely halibut,year_birth,p2223,1990
938,crushing chicken; gross grasshopper; homely halibut,year_birth,p2229,1985
939,crushing chicken; gross grasshopper; homely halibut,year_birth,p2234,1991
940,crushing chicken; gross grasshopper; homely halibut,year_birth,p2237,1960
941,crushing chicken; gross grasshopper; homely halibut,year_birth,p2238,1957
942,crushing chicken; gross grasshopper; homely halibut,year_birth,p2244,1987
943,crushing chicken; gross grasshopper; homely halibut,year_birth,p2248,1966
944,crushing chicken; gross grasshopper; homely halibut,year_birth,p2252,1999
945,crushing chicken; gross grasshopper; homely halibut,year_birth,p2255,1950
946,crushing chicken; gross grasshopper; homely halibut,year_birth,p2261,1960
947,crushing chicken; gross grasshopper; homely halibut,year_birth,p2263,1974
948,crushing chicken; gross grasshopper; homely halibut,year_birth,p2273,1993
949,crushing chicken; gross grasshopper; homely halibut,year_birth,p2275,1984
950,crushing chicken; gross grasshopper; homely halibut,year_birth,p2276,1985
951,crushing chicken; gross grasshopper; homely halibut,year_birth,p2283,1964
952,crushing chicken; gross grasshopper; homely halibut,year_birth,p2287,1957
953,crushing chicken; gross grasshopper; homely halibut,year_birth,p2296,1992
954,crushing chicken; gross grasshopper; homely halibut,year_birth,p2298,1994
955,crushing chicken; gross grasshopper; homely halibut,year_birth,p2304,1995
956,crushing chicken; gross grasshopper; homely halibut,year_birth,p2310,1986
957,crushing chicken; gross grasshopper; homely halibut,year_birth,p2322,1988
958,crushing chicken; gross grasshopper; homely halibut,year_birth,p2326,1990
959,crushing chicken; gross grasshopper; homely halibut,year_birth,p2330,1996
960,crushing chicken; gross grasshopper; homely halibut,year_birth,p2331,1997
961,crushing chicken; gross grasshopper; homely halibut,year_birth,p2333,1967
962,crushing chicken; gross grasshopper; homely halibut,year_birth,p2347,1972
963,crushing chicken; gross grasshopper; homely halibut,year_birth,p2350,1989
964,crushing chicken; gross grasshopper; homely halibut,year_birth,p2351,1986
965,crushing chicken; gross grasshopper; homely halibut,year_birth,p2353,1998
966,crushing chicken; gross grasshopper; homely halibut,year_birth,p2355,1988
967,crushing chicken; gross grasshopper; homely halibut,year_birth,p2363,1982
968,crushing chicken; gross grasshopper; homely halibut,year_birth,p2378,1994
969,crushing chicken; gross grasshopper; homely halibut,year_birth,p2380,1994
970,crushing chicken; gross grasshopper; homely halibut,year_birth,p2387,1986
971,crushing chicken; gross grasshopper; homely halibut,year_birth,p2398,1990
972,crushing chicken; gross grasshopper; homely halibut,year_birth,p2400,1961
973,crushing chicken; gross grasshopper; homely halibut,year_birth,p2403,1971
974,crushing chicken; gross grasshopper; homely halibut,year_birth,p2408,1980
975,crushing chicken; gross grasshopper; homely halibut,year_birth,p2418,1987
976,crushing chicken; gross grasshopper; homely halibut,year_birth,p2426,1951
977,crushing chicken; gross grasshopper; homely halibut,year_birth,p2428,1989
978,crushing chicken; gross grasshopper; homely halibut,year_birth,p2434,1968
979,crushing chicken; gross grasshopper; homely halibut,year_birth,p2446,1983
980,crushing chicken; gross grasshopper; homely halibut,year_birth,p2452,1975
981,crushing chicken; gross grasshopper; homely halibut,year_birth,p2454,1978
982,crushing chicken; gross grasshopper; homely halibut,year_birth,p2462,1993
983,crushing chicken; gross grasshopper; homely halibut,year_birth,p2467,1972
984,crushing chicken; gross grasshopper; homely halibut,year_birth,p2482,1967
985,crushing chicken; gross grasshopper; homely halibut,year_birth,p2489,1952
986,crushing chicken; gross grasshopper; homely halibut,year_birth,p2490,1998
987,crushing chicken; gross grasshopper; homely halibut,year_birth,p2494,1947
988,crushing chicken; gross grasshopper; homely halibut,year_birth,p2502,1955
989,crushing chicken; gross grasshopper; homely halibut,year_birth,p2503,1987
990,crushing chicken; gross grasshopper; homely halibut,year_birth,p2522,1945
991,crushing chicken; gross grasshopper; homely halibut,year_birth,p2524,1946
992,crushing chicken; gross grasshopper; homely halibut,year_birth,p2533,1951
993,crushing chicken; gross grasshopper; homely halibut,year_birth,p2566,1968
994,crushing chicken; gross grasshopper; homely halibut,year_birth,p2571,1952
995,crushing chicken; gross grasshopper; homely halibut,year_birth,p2573,1969
996,crushing chicken; gross grasshopper; homely halibut,year_birth,p2582,1985
997,crushing chicken; gross grasshopper; homely halibut,year_birth,p2591,1986
998,crushing chicken; gross grasshopper; homely halibut,year_birth,p2592,1981
999,crushing chicken; gross grasshopper; homely halibut,year_birth,p2595,1973
1000,crushing chicken; gross grasshopper; homely halibut,race,p0016,1
1001,crushing chicken; gross grasshopper; homely halibut,race,p0022,1
1002,crushing chicken; gross grasshopper; homely halibut,race,p0023,1
1003,crushing chicken; gross grasshopper; homely halibut,race,p0026,1
1004,crushing chicken; gross grasshopper; homely halibut,race,p0034,1
1005,crushing chicken; gross grasshopper; homely halibut,race,p0036,1
1006,crushing chicken; gross grasshopper; homely halibut,race,p0037,1
1007,crushing chicken; gross grasshopper; homely halibut,race,p0042,1
1008,crushing chicken; gross grasshopper; homely halibut,race,p0057,1
1009,crushing chicken; gross grasshopper; homely halibut,race,p0066,1
1010,crushing chicken; gross grasshopper; homely halibut,race,p0069,1
1011,crushing chicken; gross grasshopper; homely halibut,race,p0072,1
1012,crushing chicken; gross grasshopper; homely halibut,race,p0073,1
1013,crushing chicken; gross grasshopper; homely halibut,race,p0082,1
1014,crushing chicken; gross grasshopper; homely halibut,race,p0091,1
1015,crushing chicken; gross grasshopper; homely halibut,race,p0092,2
1016,crushing chicken; gross grasshopper; homely halibut,race,p0093,1
1017,crushing chicken; gross grasshopper; homely halibut,race,p0095,1
1018,crushing chicken; gross grasshopper; homely halibut,race,p0107,1
1019,crushing chicken; gross grasshopper; homely halibut,race,p0114,1
1020,crushing chicken; gross grasshopper; homely halibut,race,p0116,1
1021,crushing chicken; gross grasshopper; homely halibut,race,p0118,1
1022,crushing chicken; gross grasshopper; homely halibut,race,p0119,1
1023,crushing chicken; gross grasshopper; homely halibut,race,p0126,1
1024,crushing chicken; gross grasshopper; homely halibut,race,p0129,1
1025,crushing chicken; gross grasshopper; homely halibut,race,p0136,1
1026,crushing chicken; gross grasshopper; homely halibut,race,p0138,1
1027,crushing chicken; gross grasshopper; homely halibut,race,p0144,5
1028,crushing chicken; gross grasshopper; homely halibut,race,p0150,2
1029,crushing chicken; gross grasshopper; homely halibut,race,p0152,1
1030,crushing chicken; gross grasshopper; homely halibut,race,p0158,1
1031,crushing chicken; gross grasshopper; homely halibut,race,p0161,1
1032,crushing chicken; gross grasshopper; homely halibut,race,p0164,1
1033,crushing chicken; gross grasshopper; homely halibut,race,p0175,1
1034,crushing chicken; gross grasshopper; homely halibut,race,p0177,5
1035,crushing chicken; gross grasshopper; homely halibut,race,p0178,1
1036,crushing chicken; gross grasshopper; homely halibut,race,p0181,1
