,condition,outcome,persona,response
0,giant gibbon; brick bobcat,gender,p0016,2
551,giant gibbon; brick bobcat,year_birth,p0274,1981
552,giant gibbon; brick bobcat,year_birth,p0275,1970
553,giant gibbon; brick bobcat,year_birth,p0277,1975
554,giant gibbon; brick bobcat,year_birth,p0288,1970
555,giant gibbon; brick bobcat,year_birth,p0291,1936
556,giant gibbon; brick bobcat,year_birth,p0307,1996
557,giant gibbon; brick bobcat,year_birth,p0308,1998
558,giant gibbon; brick bobcat,year_birth,p0317,1960
559,giant gibbon; brick bobcat,year_birth,p0325,1989
560,giant gibbon; brick bobcat,year_birth,p0327,1958
561,giant gibbon; brick bobcat,year_birth,p0334,1956
562,giant gibbon; brick bobcat,year_birth,p0336,1987
563,giant gibbon; brick bobcat,year_birth,p0338,1977
564,giant gibbon; brick bobcat,year_birth,p0342,1981
565,giant gibbon; brick bobcat,year_birth,p0349,1975
566,giant gibbon; brick bobcat,year_birth,p0356,1991
567,giant gibbon; brick bobcat,year_birth,p0358,1956
568,giant gibbon; brick bobcat,year_birth,p0363,1956
569,giant gibbon; brick bobcat,year_birth,p0364,1981
570,giant gibbon; brick bobcat,year_birth,p0369,1989
571,giant gibbon; brick bobcat,year_birth,p0370,1983
572,giant gibbon; brick bobcat,year_birth,p0371,1959
573,giant gibbon; brick bobcat,year_birth,p0379,1962
574,giant gibbon; brick bobcat,year_birth,p0386,1986
575,giant gibbon; brick bobcat,year_birth,p0396,1987
576,giant gibbon; brick bobcat,year_birth,p0403,1988
577,giant gibbon; brick bobcat,year_birth,p0405,1990
578,giant gibbon; brick bobcat,year_birth,p0412,1963
579,giant gibbon; brick bobcat,year_birth,p0415,1992
580,giant gibbon; brick bobcat,year_birth,p0416,1982
581,giant gibbon; brick bobcat,year_birth,p0417,1983
582,giant gibbon; brick bobcat,year_birth,p0418,1952
583,giant gibbon; brick bobcat,year_birth,p0430,1944
584,giant gibbon; brick bobcat,year_birth,p0431,1998
585,giant gibbon; brick bobcat,year_birth,p0434,1964
586,giant gibbon; brick bobcat,year_birth,p0438,1977
587,giant gibbon; brick bobcat,year_birth,p0441,1988
588,giant gibbon; brick bobcat,year_birth,p0442,1994
589,giant gibbon; brick bobcat,year_birth,p0449,1957
590,giant gibbon; brick bobcat,year_birth,p0450,1951
591,giant gibbon; brick bobcat,year_birth,p0465,1965
592,giant gibbon; brick bobcat,year_birth,p0471,1987
593,giant gibbon; brick bobcat,year_birth,p0477,1970
594,giant gibbon; brick bobcat,year_birth,p0483,1993
595,giant gibbon; brick bobcat,year_birth,p0486,1990
596,giant gibbon; brick bobcat,year_birth,p0487,1983
597,giant gibbon; brick bobcat,year_birth,p0489,1959
598,giant gibbon; brick bobcat,year_birth,p0497,1946
599,giant gibbon; brick bobcat,year_birth,p0502,1953
600,giant gibbon; brick bobcat,year_birth,p0503,1991
601,giant gibbon; brick bobcat,year_birth,p0506,1987
602,giant gibbon; brick bobcat,year_birth,p0511,1989
603,giant gibbon; brick bobcat,year_birth,p0523,1993
604,giant gibbon; brick bobcat,year_birth,p0534,1954
605,giant gibbon; brick bobcat,year_birth,p0536,1982
606,giant gibbon; brick bobcat,year_birth,p0542,1948
607,giant gibbon; brick bobcat,year_birth,p0547,1954
608,giant gibbon; brick bobcat,year_birth,p0553,1966
609,giant gibbon; brick bobcat,year_birth,p0559,1991
610,giant gibbon; brick bobcat,year_birth,p0566,1984
611,giant gibbon; brick bobcat,year_birth,p0568,1972
612,giant gibbon; brick bobcat,year_birth,p0570,1977
613,giant gibbon; brick bobcat,year_birth,p0573,1987
614,giant gibbon; brick bobcat,year_birth,p0578,1967
615,giant gibbon; brick bobcat,year_birth,p0594,1984
616,giant gibbon; brick bobcat,year_birth,p0597,1958
617,giant gibbon; brick bobcat,year_birth,p0601,1996
618,giant gibbon; brick bobcat,year_birth,p0602,1952
619,giant gibbon; brick bobcat,year_birth,p0605,1987
620,giant gibbon; brick bobcat,year_birth,p0615,1966
621,giant gibbon; brick bobcat,year_birth,p0620,1994
622,giant gibbon; brick bobcat,year_birth,p0626,1980
623,giant gibbon; brick bobcat,year_birth,p0629,1995
624,giant gibbon; brick bobcat,year_birth,p0633,1996
625,giant gibbon; brick bobcat,year_birth,p0638,1989
626,giant gibbon; brick bobcat,year_birth,p0639,1976
627,giant gibbon; brick bobcat,year_birth,p0640,1951
628,giant gibbon; brick bobcat,year_birth,p0655,1998
629,giant gibbon; brick bobcat,year_birth,p0656,1991
630,giant gibbon; brick bobcat,year_birth,p0658,1968
631,giant gibbon; brick bobcat,year_birth,p0661,1988
632,giant gibbon; brick bobcat,year_birth,p0669,1960
633,giant gibbon; brick bobcat,year_birth,p0670,1980
634,giant gibbon; brick bobcat,year_birth,p0672,1973
635,giant gibbon; brick bobcat,year_birth,p0674,1985
636,giant gibbon; brick bobcat,year_birth,p0678,1978
637,giant gibbon; brick bobcat,year_birth,p0683,1949
638,giant gibbon; brick bobcat,year_birth,p0686,1977
639,giant gibbon; brick bobcat,year_birth,p0687,1953
640,giant gibbon; brick bobcat,year_birth,p0698,1963
641,giant gibbon; brick bobcat,year_birth,p0700,1981
642,giant gibbon; brick bobcat,year_birth,p0703,1970
643,giant gibbon; brick bobcat,year_birth,p0718,1984
644,giant gibbon; brick bobcat,year_birth,p0744,1987
645,giant gibbon; brick bobcat,year_birth,p0745,1987
646,giant gibbon; brick bobcat,year_birth,p0753,1992
647,giant gibbon; brick bobcat,year_birth,p0770,1985
648,giant gibbon; brick bobcat,year_birth,p0771,1964
649,giant gibbon; brick bobcat,year_birth,p0777,1982
650,giant gibbon; brick bobcat,year_birth,p0779,1964
651,giant gibbon; brick bobcat,year_birth,p0780,1970
652,giant gibbon; brick bobcat,year_birth,p0783,1947
653,giant gibbon; brick bobcat,year_birth,p0785,1994
654,giant gibbon; brick bobcat,year_birth,p0786,1970
655,giant gibbon; brick bobcat,year_birth,p0794,1952
656,giant gibbon; brick bobcat,year_birth,p0798,1947
657,giant gibbon; brick bobcat,year_birth,p0800,1967
658,giant gibbon; brick bobcat,year_birth,p0820,1982
659,giant gibbon; brick bobcat,year_birth,p0841,1985
660,giant gibbon; brick bobcat,year_birth,p0849,1970
661,giant gibbon; brick bobcat,year_birth,p0862,1989
662,giant gibbon; brick bobcat,year_birth,p0867,1969
663,giant gibbon; brick bobcat,year_birth,p0869,1955
664,giant gibbon; brick bobcat,year_birth,p0872,1972
665,giant gibbon; brick bobcat,year_birth,p0880,1993
666,giant gibbon; brick bobcat,year_birth,p0891,1984
667,giant gibbon; brick bobcat,year_birth,p0916,1989
668,giant gibbon; brick bobcat,year_birth,p0917,1987
669,giant gibbon; brick bobcat,year_birth,p0919,1991
670,giant gibbon; brick bobcat,year_birth,p0922,1957
671,giant gibbon; brick bobcat,year_birth,p0925,1966
672,giant gibbon; brick bobcat,year_birth,p0927,1990
673,giant gibbon; brick bobcat,year_birth,p0929,1991
674,giant gibbon; brick bobcat,year_birth,p0930,1984
675,giant gibbon; brick bobcat,year_birth,p0931,1958
676,giant gibbon; brick bobcat,year_birth,p0933,1986
677,giant gibbon; brick bobcat,year_birth,p0934,1978
678,giant gibbon; brick bobcat,year_birth,p0936,1976
679,giant gibbon; brick bobcat,year_birth,p0938,1982
680,giant gibbon; brick bobcat,year_birth,p0939,1984
681,giant gibbon; brick bobcat,year_birth,p0946,1980
682,giant gibbon; brick bobcat,year_birth,p0951,1963
683,giant gibbon; brick bobcat,year_birth,p0956,1988
684,giant gibbon; brick bobcat,year_birth,p0962,1942
685,giant gibbon; brick bobcat,year_birth,p0963,1990
686,giant gibbon; brick bobcat,year_birth,p0969,1960
687,giant gibbon; brick bobcat,year_birth,p0972,1956
688,giant gibbon; brick bobcat,year_birth,p0975,1952
689,giant gibbon; brick bobcat,year_birth,p0985,1994
690,giant gibbon; brick bobcat,year_birth,p0993,1983
691,giant gibbon; brick bobcat,year_birth,p0996,1956
692,giant gibbon; brick bobcat,year_birth,p1011,1961
693,giant gibbon; brick bobcat,year_birth,p1017,1992
694,giant gibbon; brick bobcat,year_birth,p1020,1953
695,giant gibbon; brick bobcat,year_birth,p1022,1995
696,giant gibbon; brick bobcat,year_birth,p1024,1972
697,giant gibbon; brick bobcat,year_birth,p1027,1996
698,giant gibbon; brick bobcat,year_birth,p1028,1985
699,giant gibbon; brick bobcat,year_birth,p1029,1986
700,giant gibbon; brick bobcat,year_birth,p1032,1972
701,giant gibbon; brick bobcat,year_birth,p1040,1990
702,giant gibbon; brick bobcat,year_birth,p1047,1997
703,giant gibbon; brick bobcat,year_birth,p1048,1985
704,giant gibbon; brick bobcat,year_birth,p1053,1987
705,giant gibbon; brick bobcat,year_birth,p1057,1986
706,giant gibbon; brick bobcat,year_birth,p1058,1988
707,giant gibbon; brick bobcat,year_birth,p1063,1960
708,giant gibbon; brick bobcat,year_birth,p1064,1955
709,giant gibbon; brick bobcat,year_birth,p1065,1955
710,giant gibbon; brick bobcat,year_birth,p1069,1981
711,giant gibbon; brick bobcat,year_birth,p1072,1986
712,giant gibbon; brick bobcat,year_birth,p1073,1980
713,giant gibbon; brick bobcat,year_birth,p1075,1965
714,giant gibbon; brick bobcat,year_birth,p1076,1997
715,giant gibbon; brick bobcat,year_birth,p1083,1950
716,giant gibbon; brick bobcat,year_birth,p1089,1992
717,giant gibbon; brick bobcat,year_birth,p1093,1995
718,giant gibbon; brick bobcat,year_birth,p1096,1988
719,giant gibbon; brick bobcat,year_birth,p1100,1972
720,giant gibbon; brick bobcat,year_birth,p1106,1988
721,giant gibbon; brick bobcat,year_birth,p1107,1955
722,giant gibbon; brick bobcat,year_birth,p1113,1984
723,giant gibbon; brick bobcat,year_birth,p1117,1940
724,giant gibbon; brick bobcat,year_birth,p1120,1956
725,giant gibbon; brick bobcat,year_birth,p1134,1951
726,giant gibbon; brick bobcat,year_birth,p1136,1967
727,giant gibbon; brick bobcat,year_birth,p1138,1969
728,giant gibbon; brick bobcat,year_birth,p1144,1962
729,giant gibbon; brick bobcat,year_birth,p1145,1952
730,giant gibbon; brick bobcat,year_birth,p1147,1989
731,giant gibbon; brick bobcat,year_birth,p1148,1982
732,giant gibbon; brick bobcat,year_birth,p1154,1985
733,giant gibbon; brick bobcat,year_birth,p1159,1957
734,giant gibbon; brick bobcat,year_birth,p1167,1965
735,giant gibbon; brick bobcat,year_birth,p1175,1989
736,giant gibbon; brick bobcat,year_birth,p1178,1989
737,giant gibbon; brick bobcat,year_birth,p1184,1979
738,giant gibbon; brick bobcat,year_birth,p1186,1970
739,giant gibbon; brick bobcat,year_birth,p1196,1996
740,giant gibbon; brick bobcat,year_birth,p1197,1974
741,giant gibbon; brick bobcat,year_birth,p1203,1954
742,giant gibbon; brick bobcat,year_birth,p1219,1994
743,giant gibbon; brick bobcat,year_birth,p1225,1952
744,giant gibbon; brick bobcat,year_birth,p1234,1996
745,giant gibbon; brick bobcat,year_birth,p1242,1954
746,giant gibbon; brick bobcat,year_birth,p1244,1976
747,giant gibbon; brick bobcat,year_birth,p1249,1972
748,giant gibbon; brick bobcat,year_birth,p1250,1960
749,giant gibbon; brick bobcat,year_birth,p1256,1979
750,giant gibbon; brick bobcat,year_birth,p1258,1986
751,giant gibbon; brick bobcat,year_birth,p1260,1982
752,giant gibbon; brick bobcat,year_birth,p1262,1972
753,giant gibbon; brick bobcat,year_birth,p1264,1997
754,giant gibbon; brick bobcat,year_birth,p1265,1987
755,giant gibbon; brick bobcat,year_birth,p1269,1983
756,giant gibbon; brick bobcat,year_birth,p1272,1998
757,giant gibbon; brick bobcat,year_birth,p1278,1988
758,giant gibbon; brick bobcat,year_birth,p1281,1989
759,giant gibbon; brick bobcat,year_birth,p1292,1990
760,giant gibbon; brick bobcat,year_birth,p1299,1964
761,giant gibbon; brick bobcat,year_birth,p1312,1984
762,giant gibbon; brick bobcat,year_birth,p1322,1986
763,giant gibbon; brick bobcat,year_birth,p1326,1985
764,giant gibbon; brick bobcat,year_birth,p1330,1962
765,giant gibbon; brick bobcat,year_birth,p1335,1991
766,giant gibbon; brick bobcat,year_birth,p1337,1965
767,giant gibbon; brick bobcat,year_birth,p1340,1983
768,giant gibbon; brick bobcat,year_birth,p1345,1960
769,giant gibbon; brick bobcat,year_birth,p1351,1932
770,giant gibbon; brick bobcat,year_birth,p1355,1991
771,giant gibbon; brick bobcat,year_birth,p1362,1941
772,giant gibbon; brick bobcat,year_birth,p1365,1961
773,giant gibbon; brick bobcat,year_birth,p1366,1958
774,giant gibbon; brick bobcat,year_birth,p1367,1984
775,giant gibbon; brick bobcat,year_birth,p1370,1936
776,giant gibbon; brick bobcat,year_birth,p1371,1969
777,giant gibbon; brick bobcat,year_birth,p1373,1991
778,giant gibbon; brick bobcat,year_birth,p1375,1980
779,giant gibbon; brick bobcat,year_birth,p1376,1986
780,giant gibbon; brick bobcat,year_birth,p1379,1977
781,giant gibbon; brick bobcat,year_birth,p1381,1952
782,giant gibbon; brick bobcat,year_birth,p1393,1974
783,giant gibbon; brick bobcat,year_birth,p1396,1970
784,giant gibbon; brick bobcat,year_birth,p1398,1978
785,giant gibbon; brick bobcat,year_birth,p1404,1960
786,giant gibbon; brick bobcat,year_birth,p1406,1961
787,giant gibbon; brick bobcat,year_birth,p1407,1987
788,giant gibbon; brick bobcat,year_birth,p1409,1954
789,giant gibbon; brick bobcat,year_birth,p1412,1966
790,giant gibbon; brick bobcat,year_birth,p1414,1981
791,giant gibbon; brick bobcat,year_birth,p1424,1968
792,giant gibbon; brick bobcat,year_birth,p1425,1968
793,giant gibbon; brick bobcat,year_birth,p1429,1971
794,giant gibbon; brick bobcat,year_birth,p1434,1976
795,giant gibbon; brick bobcat,year_birth,p1441,1975
796,giant gibbon; brick bobcat,year_birth,p1445,1956
797,giant gibbon; brick bobcat,year_birth,p1450,1993
798,giant gibbon; brick bobcat,year_birth,p1454,1967
799,giant gibbon; brick bobcat,year_birth,p1456,1978
800,giant gibbon; brick bobcat,year_birth,p1457,1987
801,giant gibbon; brick bobcat,year_birth,p1458,1966
802,giant gibbon; brick bobcat,year_birth,p1469,1979
803,giant gibbon; brick bobcat,year_birth,p1470,1961
804,giant gibbon; brick bobcat,year_birth,p1481,1958
805,giant gibbon; brick bobcat,year_birth,p1488,1973
806,giant gibbon; brick bobcat,year_birth,p1492,1976
807,giant gibbon; brick bobcat,year_birth,p1495,1943
808,giant gibbon; brick bobcat,year_birth,p1497,1965
809,giant gibbon; brick bobcat,year_birth,p1499,1993
810,giant gibbon; brick bobcat,year_birth,p1503,1963
811,giant gibbon; brick bobcat,year_birth,p1511,1960
812,giant gibbon; brick bobcat,year_birth,p1512,1989
813,giant gibbon; brick bobcat,year_birth,p1518,1992
814,giant gibbon; brick bobcat,year_birth,p1519,1995
815,giant gibbon; brick bobcat,year_birth,p1520,1988
816,giant gibbon; brick bobcat,year_birth,p1524,1968
817,giant gibbon; brick bobcat,year_birth,p1526,1982
818,giant gibbon; brick bobcat,year_birth,p1537,1937
819,giant gibbon; brick bobcat,year_birth,p1545,1975
820,giant gibbon; brick bobcat,year_birth,p1547,1968
821,giant gibbon; brick bobcat,year_birth,p1552,1989
822,giant gibbon; brick bobcat,year_birth,p1567,1949
823,giant gibbon; brick bobcat,year_birth,p1568,1950
824,giant gibbon; brick bobcat,year_birth,p1579,1951
825,giant gibbon; brick bobcat,year_birth,p1587,1965
826,giant gibbon; brick bobcat,year_birth,p1596,1953
827,giant gibbon; brick bobcat,year_birth,p1600,1974
828,giant gibbon; brick bobcat,year_birth,p1603,1990
829,giant gibbon; brick bobcat,year_birth,p1604,1955
830,giant gibbon; brick bobcat,year_birth,p1610,1978
831,giant gibbon; brick bobcat,year_birth,p1618,1971
832,giant gibbon; brick bobcat,year_birth,p1619,1948
833,giant gibbon; brick bobcat,year_birth,p1622,1956
834,giant gibbon; brick bobcat,year_birth,p1623,1971
835,giant gibbon; brick bobcat,year_birth,p1630,1999
836,giant gibbon; brick bobcat,year_birth,p1641,1944
837,giant gibbon; brick bobcat,year_birth,p1649,1943
838,giant gibbon; brick bobcat,year_birth,p1652,1971
839,giant gibbon; brick bobcat,year_birth,p1665,1980
840,giant gibbon; brick bobcat,year_birth,p1669,1968
841,giant gibbon; brick bobcat,year_birth,p1685,1956
842,giant gibbon; brick bobcat,year_birth,p1693,1986
843,giant gibbon; brick bobcat,year_birth,p1698,1973
844,giant gibbon; brick bobcat,year_birth,p1704,1976
845,giant gibbon; brick bobcat,year_birth,p1711,1969
846,giant gibbon; brick bobcat,year_birth,p1718,1975
847,giant gibbon; brick bobcat,year_birth,p1732,1971
848,giant gibbon; brick bobcat,year_birth,p1739,1943
849,giant gibbon; brick bobcat,year_birth,p1741,1942
850,giant gibbon; brick bobcat,year_birth,p1746,1975
851,giant gibbon; brick bobcat,year_birth,p1751,1987
852,giant gibbon; brick bobcat,year_birth,p1754,1959
853,giant gibbon; brick bobcat,year_birth,p1769,1971
854,giant gibbon; brick bobcat,year_birth,p1771,1968
855,giant gibbon; brick bobcat,year_birth,p1776,1953
856,giant gibbon; brick bobcat,year_birth,p1780,1969
857,giant gibbon; brick bobcat,year_birth,p1785,1979
858,giant gibbon; brick bobcat,year_birth,p1791,1986
859,giant gibbon; brick bobcat,year_birth,p1793,1957
860,giant gibbon; brick bobcat,year_birth,p1796,1952
861,giant gibbon; brick bobcat,year_birth,p1805,1981
862,giant gibbon; brick bobcat,year_birth,p1812,1979
863,giant gibbon; brick bobcat,year_birth,p1816,1972
864,giant gibbon; brick bobcat,year_birth,p1819,1972
865,giant gibbon; brick bobcat,year_birth,p1825,1951
866,giant gibbon; brick bobcat,year_birth,p1836,1995
867,giant gibbon; brick bobcat,year_birth,p1839,1940
868,giant gibbon; brick bobcat,year_birth,p1861,1961
869,giant gibbon; brick bobcat,year_birth,p1863,1930
870,giant gibbon; brick bobcat,year_birth,p1873,1979
871,giant gibbon; brick bobcat,year_birth,p1875,1955
872,giant gibbon; brick bobcat,year_birth,p1876,1971
873,giant gibbon; brick bobcat,year_birth,p1877,1996
874,giant gibbon; brick bobcat,year_birth,p1880,1977
875,giant gibbon; brick bobcat,year_birth,p1883,1970
876,giant gibbon; brick bobcat,year_birth,p1889,1978
877,giant gibbon; brick bobcat,year_birth,p1893,1982
878,giant gibbon; brick bobcat,year_birth,p1896,1991
879,giant gibbon; brick bobcat,year_birth,p1913,1969
880,giant gibbon; brick bobcat,year_birth,p1922,1942
881,giant gibbon; brick bobcat,year_birth,p1930,1970
882,giant gibbon; brick bobcat,year_birth,p1935,1946
883,giant gibbon; brick bobcat,year_birth,p1940,1977
884,giant gibbon; brick bobcat,year_birth,p1948,1994
885,giant gibbon; brick bobcat,year_birth,p1950,1963
886,giant gibbon; brick bobcat,year_birth,p1954,1972
887,giant gibbon; brick bobcat,year_birth,p1956,1959
888,giant gibbon; brick bobcat,year_birth,p1958,1978
889,giant gibbon; brick bobcat,year_birth,p1967,1979
890,giant gibbon; brick bobcat,year_birth,p1973,1995
891,giant gibbon; brick bobcat,year_birth,p1978,1953
892,giant gibbon; brick bobcat,year_birth,p1983,1976
893,giant gibbon; brick bobcat,year_birth,p1984,1956
894,giant gibbon; brick bobcat,year_birth,p1995,1942
895,giant gibbon; brick bobcat,year_birth,p1996,1977
896,giant gibbon; brick bobcat,year_birth,p1997,1972
897,giant gibbon; brick bobcat,year_birth,p2001,1977
898,giant gibbon; brick bobcat,year_birth,p2002,1968
899,giant gibbon; brick bobcat,year_birth,p2013,1980
900,giant gibbon; brick bobcat,year_birth,p2014,1968
901,giant gibbon; brick bobcat,year_birth,p2016,1962
902,giant gibbon; brick bobcat,year_birth,p2018,1980
903,giant gibbon; brick bobcat,year_birth,p2023,1969
904,giant gibbon; brick bobcat,year_birth,p2025,1937
905,giant gibbon; brick bobcat,year_birth,p2028,1953
906,giant gibbon; brick bobcat,year_birth,p2030,1973
907,giant gibbon; brick bobcat,year_birth,p2033,1978
908,giant gibbon; brick bobcat,year_birth,p2040,1947
909,giant gibbon; brick bobcat,year_birth,p2051,1991
910,giant gibbon; brick bobcat,year_birth,p2052,1971
911,giant gibbon; brick bobcat,year_birth,p2066,1942
912,giant gibbon; brick bobcat,year_birth,p2067,1953
913,giant gibbon; brick bobcat,year_birth,p2073,1994
914,giant gibbon; brick bobcat,year_birth,p2077,1994
915,giant gibbon; brick bobcat,year_birth,p2078,1988
916,giant gibbon; brick bobcat,year_birth,p2086,1964
917,giant gibbon; brick bobcat,year_birth,p2089,1981
918,giant gibbon; brick bobcat,year_birth,p2093,1956
919,giant gibbon; brick bobcat,year_birth,p2094,1945
920,giant gibbon; brick bobcat,year_birth,p2111,1997
921,giant gibbon; brick bobcat,year_birth,p2117,1979
922,giant gibbon; brick bobcat,year_birth,p2121,1958
923,giant gibbon; brick bobcat,year_birth,p2127,1969
924,giant gibbon; brick bobcat,year_birth,p2141,1996
925,giant gibbon; brick bobcat,year_birth,p2142,1999
926,giant gibbon; brick bobcat,year_birth,p2143,1971
927,giant gibbon; brick bobcat,year_birth,p2153,1984
928,giant gibbon; brick bobcat,year_birth,p2155,1973
929,giant gibbon; brick bobcat,year_birth,p2169,1961
930,giant gibbon; brick bobcat,year_birth,p2187,1991
931,giant gibbon; brick bobcat,year_birth,p2188,1974
932,giant gibbon; brick bobcat,year_birth,p2197,1986
933,giant gibbon; brick bobcat,year_birth,p2213,1997
934,giant gibbon; brick bobcat,year_birth,p2214,1989
935,giant gibbon; brick bobcat,year_birth,p2215,1992
936,giant gibbon; brick bobcat,year_birth,p2220,1971
937,giant gibbon; brick bobcat,year_birth,p2223,1990
938,giant gibbon; brick bobcat,year_birth,p2229,1985
939,giant gibbon; brick bobcat,year_birth,p2234,1991
940,giant gibbon; brick bobcat,year_birth,p2237,1960
941,giant gibbon; brick bobcat,year_birth,p2238,1957
942,giant gibbon; brick bobcat,year_birth,p2244,1987
943,giant gibbon; brick bobcat,year_birth,p2248,1966
944,giant gibbon; brick bobcat,year_birth,p2252,1999
945,giant gibbon; brick bobcat,year_birth,p2255,1950
946,giant gibbon; brick bobcat,year_birth,p2261,1960
947,giant gibbon; brick bobcat,year_birth,p2263,1974
948,giant gibbon; brick bobcat,year_birth,p2273,1993
949,giant gibbon; brick bobcat,year_birth,p2275,1984
950,giant gibbon; brick bobcat,year_birth,p2276,1985
951,giant gibbon; brick bobcat,year_birth,p2283,1964
952,giant gibbon; brick bobcat,year_birth,p2287,1957
953,giant gibbon; brick bobcat,year_birth,p2296,1992
954,giant gibbon; brick bobcat,year_birth,p2298,1994
955,giant gibbon; brick bobcat,year_birth,p2304,1995
956,giant gibbon; brick bobcat,year_birth,p2310,1986
957,giant gibbon; brick bobcat,year_birth,p2322,1988
958,giant gibbon; brick bobcat,year_birth,p2326,1990
959,giant gibbon; brick bobcat,year_birth,p2330,1996
960,giant gibbon; brick bobcat,year_birth,p2331,1997
961,giant gibbon; brick bobcat,year_birth,p2333,1967
962,giant gibbon; brick bobcat,year_birth,p2347,1972
963,giant gibbon; brick bobcat,year_birth,p2350,1989
964,giant gibbon; brick bobcat,year_birth,p2351,1986
965,giant gibbon; brick bobcat,year_birth,p2353,1998
966,giant gibbon; brick bobcat,year_birth,p2355,1988
967,giant gibbon; brick bobcat,year_birth,p2363,1982
968,giant gibbon; brick bobcat,year_birth,p2378,1994
969,giant gibbon; brick bobcat,year_birth,p2380,1994
970,giant gibbon; brick bobcat,year_birth,p2387,1986
971,giant gibbon; brick bobcat,year_birth,p2398,1990
972,giant gibbon; brick bobcat,year_birth,p2400,1961
973,giant gibbon; brick bobcat,year_birth,p2403,1971
974,giant gibbon; brick bobcat,year_birth,p2408,1980
975,giant gibbon; brick bobcat,year_birth,p2418,1987
976,giant gibbon; brick bobcat,year_birth,p2426,1951
977,giant gibbon; brick bobcat,year_birth,p2428,1989
978,giant gibbon; brick bobcat,year_birth,p2434,1968
979,giant gibbon; brick bobcat,year_birth,p2446,1983
980,giant gibbon; brick bobcat,year_birth,p2452,1975
981,giant gibbon; brick bobcat,year_birth,p2454,1978
982,giant gibbon; brick bobcat,year_birth,p2462,1993
983,giant gibbon; brick bobcat,year_birth,p2467,1972
984,giant gibbon; brick bobcat,year_birth,p2482,1967
985,giant gibbon; brick bobcat,year_birth,p2489,1952
986,giant gibbon; brick bobcat,year_birth,p2490,1998
987,giant gibbon; brick bobcat,year_birth,p2494,1947
988,giant gibbon; brick bobcat,year_birth,p2502,1955
989,giant gibbon; brick bobcat,year_birth,p2503,1987
990,giant gibbon; brick bobcat,year_birth,p2522,1945
991,giant gibbon; brick bobcat,year_birth,p2524,1946
992,giant gibbon; brick bobcat,year_birth,p2533,1951
993,giant gibbon; brick bobcat,year_birth,p2566,1968
994,giant gibbon; brick bobcat,year_birth,p2571,1952
995,giant gibbon; brick bobcat,year_birth,p2573,1969
996,giant gibbon; brick bobcat,year_birth,p2582,1985
997,giant gibbon; brick bobcat,year_birth,p2591,1986
998,giant gibbon; brick bobcat,year_birth,p2592,1981
999,giant gibbon; brick bobcat,year_birth,p2595,1973
1000,giant gibbon; brick bobcat,race,p0016,1
1001,giant gibbon; brick bobcat,race,p0022,1
1002,giant gibbon; brick bobcat,race,p0023,1
1003,giant gibbon; brick bobcat,race,p0026,1
1004,giant gibbon; brick bobcat,race,p0034,1
1005,giant gibbon; brick bobcat,race,p0036,1
1006,giant gibbon; brick bobcat,race,p0037,1
1007,giant gibbon; brick bobcat,race,p0042,1
1008,giant gibbon; brick bobcat,race,p0057,1
1009,giant gibbon; brick bobcat,race,p0066,1
1010,giant gibbon; brick bobcat,race,p0069,1
1011,giant gibbon; brick bobcat,race,p0072,1
1012,giant gibbon; brick bobcat,race,p0073,1
1013,giant gibbon; brick bobcat,race,p0082,1
1014,giant gibbon; brick bobcat,race,p0091,1
1015,giant gibbon; brick bobcat,race,p0092,2
1016,giant gibbon; brick bobcat,race,p0093,1
1017,giant gibbon; brick bobcat,race,p0095,1
1018,giant gibbon; brick bobcat,race,p0107,1
1019,giant gibbon; brick bobcat,race,p0114,1
1020,giant gibbon; brick bobcat,race,p0116,1
1021,giant gibbon; brick bobcat,race,p0118,1
1022,giant gibbon; brick bobcat,race,p0119,1
1023,giant gibbon; brick bobcat,race,p0126,1
1024,giant gibbon; brick bobcat,race,p0129,1
1025,giant gibbon; brick bobcat,race,p0136,1
1026,giant gibbon; brick bobcat,race,p0138,1
1027,giant gibbon; brick bobcat,race,p0144,5
1028,giant gibbon; brick bobcat,race,p0150,2
1029,giant gibbon; brick bobcat,race,p0152,1
1030,giant gibbon; brick bobcat,race,p0158,1
1031,giant gibbon; brick bobcat,race,p0161,1
1032,giant gibbon; brick bobcat,race,p0164,1
1033,giant gibbon; brick bobcat,race,p0175,1
1034,giant gibbon; brick bobcat,race,p0177,5
1035,giant gibbon; brick bobcat,race,p0178,1
1036,giant gibbon; brick bobcat,race,p0181,1
1037,giant gibbon; brick bobcat,race,p0186,1
1038,giant gibbon; brick bobcat,race,p0196,1
1039,giant gibbon; brick bobcat,race,p0198,1
1040,giant gibbon; brick bobcat,race,p0202,1
1041,giant gibbon; brick bobcat,race,p0205,1
1042,giant gibbon; brick bobcat,race,p0207,1
1043,giant gibbon; brick bobcat,race,p0211,1
1044,giant gibbon; brick bobcat,race,p0227,5
1045,giant gibbon; brick bobcat,race,p0229,2
1046,giant gibbon; brick bobcat,race,p0232,1
1047,giant gibbon; brick bobcat,race,p0233,1
1048,giant gibbon; brick bobcat,race,p0237,1
1049,giant gibbon; brick bobcat,race,p0258,1
1050,giant gibbon; brick bobcat,race,p0268,1
1051,giant gibbon; brick bobcat,race,p0274,2
1052,giant gibbon; brick bobcat,race,p0275,2
1053,giant gibbon; brick bobcat,race,p0277,2
1054,giant gibbon; brick bobcat,race,p0288,2
