,condition,outcome,persona,response
0,limping llama; friendly frog,trust_competent_1,p0016,75
1096,limping llama; friendly frog,trust_qualified_1,p0487,78
1097,limping llama; friendly frog,trust_qualified_1,p0489,78
1098,limping llama; friendly frog,trust_qualified_1,p0497,75
1099,limping llama; friendly frog,trust_qualified_1,p0502,75
1100,limping llama; friendly frog,trust_qualified_1,p0503,78
1101,limping llama; friendly frog,trust_qualified_1,p0506,65
1102,limping llama; friendly frog,trust_qualified_1,p0511,75
1103,limping llama; friendly frog,trust_qualified_1,p0523,78
1104,limping llama; friendly frog,trust_qualified_1,p0534,85
1105,limping llama; friendly frog,trust_qualified_1,p0536,78
1106,limping llama; friendly frog,trust_qualified_1,p0542,75
1107,limping llama; friendly frog,trust_qualified_1,p0547,78
1108,limping llama; friendly frog,trust_qualified_1,p0553,78
1109,limping llama; friendly frog,trust_qualified_1,p0559,75
1110,limping llama; friendly frog,trust_qualified_1,p0566,78
1111,limping llama; friendly frog,trust_qualified_1,p0568,75
1112,limping llama; friendly frog,trust_qualified_1,p0570,45
1113,limping llama; friendly frog,trust_qualified_1,p0573,75
1114,limping llama; friendly frog,trust_qualified_1,p0578,78
1115,limping llama; friendly frog,trust_qualified_1,p0594,68
1116,limping llama; friendly frog,trust_qualified_1,p0597,78
1117,limping llama; friendly frog,trust_qualified_1,p0601,78
1118,limping llama; friendly frog,trust_qualified_1,p0602,65
1119,limping llama; friendly frog,trust_qualified_1,p0605,68
1120,limping llama; friendly frog,trust_qualified_1,p0615,78
1121,limping llama; friendly frog,trust_qualified_1,p0620,75
1122,limping llama; friendly frog,trust_qualified_1,p0626,75
1123,limping llama; friendly frog,trust_qualified_1,p0629,85
1124,limping llama; friendly frog,trust_qualified_1,p0633,68
1125,limping llama; friendly frog,trust_qualified_1,p0638,78
1126,limping llama; friendly frog,trust_qualified_1,p0639,78
1127,limping llama; friendly frog,trust_qualified_1,p0640,75
1128,limping llama; friendly frog,trust_qualified_1,p0655,78
1129,limping llama; friendly frog,trust_qualified_1,p0656,75
1130,limping llama; friendly frog,trust_qualified_1,p0658,75
1131,limping llama; friendly frog,trust_qualified_1,p0661,72
1132,limping llama; friendly frog,trust_qualified_1,p0669,82
1133,limping llama; friendly frog,trust_qualified_1,p0670,68
1134,limping llama; friendly frog,trust_qualified_1,p0672,78
1135,limping llama; friendly frog,trust_qualified_1,p0674,78
1136,limping llama; friendly frog,trust_qualified_1,p0678,78
1137,limping llama; friendly frog,trust_qualified_1,p0683,78
1138,limping llama; friendly frog,trust_qualified_1,p0686,72
1139,limping llama; friendly frog,trust_qualified_1,p0687,82
1140,limping llama; friendly frog,trust_qualified_1,p0698,75
1141,limping llama; friendly frog,trust_qualified_1,p0700,75
1142,limping llama; friendly frog,trust_qualified_1,p0703,75
1143,limping llama; friendly frog,trust_qualified_1,p0718,78
1144,limping llama; friendly frog,trust_qualified_1,p0744,78
1145,limping llama; friendly frog,trust_qualified_1,p0745,78
1146,limping llama; friendly frog,trust_qualified_1,p0753,65
1147,limping llama; friendly frog,trust_qualified_1,p0770,78
1148,limping llama; friendly frog,trust_qualified_1,p0771,75
1149,limping llama; friendly frog,trust_qualified_1,p0777,88
1150,limping llama; friendly frog,trust_qualified_1,p0779,78
1151,limping llama; friendly frog,trust_qualified_1,p0780,65
1152,limping llama; friendly frog,trust_qualified_1,p0783,75
1153,limping llama; friendly frog,trust_qualified_1,p0785,78
1154,limping llama; friendly frog,trust_qualified_1,p0786,68
1155,limping llama; friendly frog,trust_qualified_1,p0794,65
1156,limping llama; friendly frog,trust_qualified_1,p0798,65
1157,limping llama; friendly frog,trust_qualified_1,p0800,78
1158,limping llama; friendly frog,trust_qualified_1,p0820,68
1159,limping llama; friendly frog,trust_qualified_1,p0841,75
1160,limping llama; friendly frog,trust_qualified_1,p0849,78
1161,limping llama; friendly frog,trust_qualified_1,p0862,85
1162,limping llama; friendly frog,trust_qualified_1,p0867,78
1163,limping llama; friendly frog,trust_qualified_1,p0869,78
1164,limping llama; friendly frog,trust_qualified_1,p0872,78
1165,limping llama; friendly frog,trust_qualified_1,p0880,75
1166,limping llama; friendly frog,trust_qualified_1,p0891,78
1167,limping llama; friendly frog,trust_qualified_1,p0916,78
1168,limping llama; friendly frog,trust_qualified_1,p0917,82
1169,limping llama; friendly frog,trust_qualified_1,p0919,78
1170,limping llama; friendly frog,trust_qualified_1,p0922,75
1171,limping llama; friendly frog,trust_qualified_1,p0925,78
1172,limping llama; friendly frog,trust_qualified_1,p0927,75
1173,limping llama; friendly frog,trust_qualified_1,p0929,75
1174,limping llama; friendly frog,trust_qualified_1,p0930,75
1175,limping llama; friendly frog,trust_qualified_1,p0931,75
1176,limping llama; friendly frog,trust_qualified_1,p0933,68
1177,limping llama; friendly frog,trust_qualified_1,p0934,75
1178,limping llama; friendly frog,trust_qualified_1,p0936,78
1179,limping llama; friendly frog,trust_qualified_1,p0938,78
1180,limping llama; friendly frog,trust_qualified_1,p0939,78
1181,limping llama; friendly frog,trust_qualified_1,p0946,72
1182,limping llama; friendly frog,trust_qualified_1,p0951,68
1183,limping llama; friendly frog,trust_qualified_1,p0956,78
1184,limping llama; friendly frog,trust_qualified_1,p0962,75
1185,limping llama; friendly frog,trust_qualified_1,p0963,78
1186,limping llama; friendly frog,trust_qualified_1,p0969,75
1187,limping llama; friendly frog,trust_qualified_1,p0972,68
1188,limping llama; friendly frog,trust_qualified_1,p0975,75
1189,limping llama; friendly frog,trust_qualified_1,p0985,65
1190,limping llama; friendly frog,trust_qualified_1,p0993,75
1191,limping llama; friendly frog,trust_qualified_1,p0996,78
1192,limping llama; friendly frog,trust_qualified_1,p1011,75
1193,limping llama; friendly frog,trust_qualified_1,p1017,78
1194,limping llama; friendly frog,trust_qualified_1,p1020,78
1195,limping llama; friendly frog,trust_qualified_1,p1022,78
1196,limping llama; friendly frog,trust_qualified_1,p1024,62
1197,limping llama; friendly frog,trust_qualified_1,p1027,82
1198,limping llama; friendly frog,trust_qualified_1,p1028,78
1199,limping llama; friendly frog,trust_qualified_1,p1029,65
1200,limping llama; friendly frog,trust_qualified_1,p1032,75
1201,limping llama; friendly frog,trust_qualified_1,p1040,78
1202,limping llama; friendly frog,trust_qualified_1,p1047,68
1203,limping llama; friendly frog,trust_qualified_1,p1048,78
1204,limping llama; friendly frog,trust_qualified_1,p1053,68
1205,limping llama; friendly frog,trust_qualified_1,p1057,75
1206,limping llama; friendly frog,trust_qualified_1,p1058,75
1207,limping llama; friendly frog,trust_qualified_1,p1063,78
1208,limping llama; friendly frog,trust_qualified_1,p1064,78
1209,limping llama; friendly frog,trust_qualified_1,p1065,68
1210,limping llama; friendly frog,trust_qualified_1,p1069,65
1211,limping llama; friendly frog,trust_qualified_1,p1072,78
1212,limping llama; friendly frog,trust_qualified_1,p1073,78
1213,limping llama; friendly frog,trust_qualified_1,p1075,78
1214,limping llama; friendly frog,trust_qualified_1,p1076,68
1215,limping llama; friendly frog,trust_qualified_1,p1083,68
1216,limping llama; friendly frog,trust_qualified_1,p1089,78
1217,limping llama; friendly frog,trust_qualified_1,p1093,78
1218,limping llama; friendly frog,trust_qualified_1,p1096,78
1219,limping llama; friendly frog,trust_qualified_1,p1100,75
1220,limping llama; friendly frog,trust_qualified_1,p1106,78
1221,limping llama; friendly frog,trust_qualified_1,p1107,65
1222,limping llama; friendly frog,trust_qualified_1,p1113,65
1223,limping llama; friendly frog,trust_qualified_1,p1117,65
1224,limping llama; friendly frog,trust_qualified_1,p1120,78
1225,limping llama; friendly frog,trust_qualified_1,p1134,78
1226,limping llama; friendly frog,trust_qualified_1,p1136,68
1227,limping llama; friendly frog,trust_qualified_1,p1138,78
1228,limping llama; friendly frog,trust_qualified_1,p1144,65
1229,limping llama; friendly frog,trust_qualified_1,p1145,82
1230,limping llama; friendly frog,trust_qualified_1,p1147,85
1231,limping llama; friendly frog,trust_qualified_1,p1148,78
1232,limping llama; friendly frog,trust_qualified_1,p1154,75
1233,limping llama; friendly frog,trust_qualified_1,p1159,75
1234,limping llama; friendly frog,trust_qualified_1,p1167,78
1235,limping llama; friendly frog,trust_qualified_1,p1175,78
1236,limping llama; friendly frog,trust_qualified_1,p1178,78
1237,limping llama; friendly frog,trust_qualified_1,p1184,75
1238,limping llama; friendly frog,trust_qualified_1,p1186,78
1239,limping llama; friendly frog,trust_qualified_1,p1196,65
1240,limping llama; friendly frog,trust_qualified_1,p1197,68
1241,limping llama; friendly frog,trust_qualified_1,p1203,78
1242,limping llama; friendly frog,trust_qualified_1,p1219,75
1243,limping llama; friendly frog,trust_qualified_1,p1225,75
1244,limping llama; friendly frog,trust_qualified_1,p1234,75
1245,limping llama; friendly frog,trust_qualified_1,p1242,75
1246,limping llama; friendly frog,trust_qualified_1,p1244,75
1247,limping llama; friendly frog,trust_qualified_1,p1249,68
1248,limping llama; friendly frog,trust_qualified_1,p1250,75
1249,limping llama; friendly frog,trust_qualified_1,p1256,78
1250,limping llama; friendly frog,trust_qualified_1,p1258,85
1251,limping llama; friendly frog,trust_qualified_1,p1260,75
1252,limping llama; friendly frog,trust_qualified_1,p1262,75
1253,limping llama; friendly frog,trust_qualified_1,p1264,75
1254,limping llama; friendly frog,trust_qualified_1,p1265,78
1255,limping llama; friendly frog,trust_qualified_1,p1269,75
1256,limping llama; friendly frog,trust_qualified_1,p1272,75
1257,limping llama; friendly frog,trust_qualified_1,p1278,78
1258,limping llama; friendly frog,trust_qualified_1,p1281,75
1259,limping llama; friendly frog,trust_qualified_1,p1292,75
1260,limping llama; friendly frog,trust_qualified_1,p1299,78
1261,limping llama; friendly frog,trust_qualified_1,p1312,75
1262,limping llama; friendly frog,trust_qualified_1,p1322,75
1263,limping llama; friendly frog,trust_qualified_1,p1326,78
1264,limping llama; friendly frog,trust_qualified_1,p1330,78
1265,limping llama; friendly frog,trust_qualified_1,p1335,78
1266,limping llama; friendly frog,trust_qualified_1,p1337,78
1267,limping llama; friendly frog,trust_qualified_1,p1340,78
1268,limping llama; friendly frog,trust_qualified_1,p1345,78
1269,limping llama; friendly frog,trust_qualified_1,p1351,75
1270,limping llama; friendly frog,trust_qualified_1,p1355,68
1271,limping llama; friendly frog,trust_qualified_1,p1362,75
1272,limping llama; friendly frog,trust_qualified_1,p1365,78
1273,limping llama; friendly frog,trust_qualified_1,p1366,68
1274,limping llama; friendly frog,trust_qualified_1,p1367,75
1275,limping llama; friendly frog,trust_qualified_1,p1370,75
1276,limping llama; friendly frog,trust_qualified_1,p1371,85
1277,limping llama; friendly frog,trust_qualified_1,p1373,75
1278,limping llama; friendly frog,trust_qualified_1,p1375,75
1279,limping llama; friendly frog,trust_qualified_1,p1376,75
1280,limping llama; friendly frog,trust_qualified_1,p1379,75
1281,limping llama; friendly frog,trust_qualified_1,p1381,68
1282,limping llama; friendly frog,trust_qualified_1,p1393,75
1283,limping llama; friendly frog,trust_qualified_1,p1396,85
1284,limping llama; friendly frog,trust_qualified_1,p1398,78
1285,limping llama; friendly frog,trust_qualified_1,p1404,75
1286,limping llama; friendly frog,trust_qualified_1,p1406,78
1287,limping llama; friendly frog,trust_qualified_1,p1407,68
1288,limping llama; friendly frog,trust_qualified_1,p1409,75
1289,limping llama; friendly frog,trust_qualified_1,p1412,75
1290,limping llama; friendly frog,trust_qualified_1,p1414,85
1291,limping llama; friendly frog,trust_qualified_1,p1424,75
1292,limping llama; friendly frog,trust_qualified_1,p1425,78
1293,limping llama; friendly frog,trust_qualified_1,p1429,75
1294,limping llama; friendly frog,trust_qualified_1,p1434,78
1295,limping llama; friendly frog,trust_qualified_1,p1441,68
1296,limping llama; friendly frog,trust_qualified_1,p1445,75
1297,limping llama; friendly frog,trust_qualified_1,p1450,78
1298,limping llama; friendly frog,trust_qualified_1,p1454,78
1299,limping llama; friendly frog,trust_qualified_1,p1456,75
1300,limping llama; friendly frog,trust_qualified_1,p1457,65
1301,limping llama; friendly frog,trust_qualified_1,p1458,88
1302,limping llama; friendly frog,trust_qualified_1,p1469,75
1303,limping llama; friendly frog,trust_qualified_1,p1470,75
1304,limping llama; friendly frog,trust_qualified_1,p1481,75
1305,limping llama; friendly frog,trust_qualified_1,p1488,78
1306,limping llama; friendly frog,trust_qualified_1,p1492,68
1307,limping llama; friendly frog,trust_qualified_1,p1495,75
1308,limping llama; friendly frog,trust_qualified_1,p1497,75
1309,limping llama; friendly frog,trust_qualified_1,p1499,78
1310,limping llama; friendly frog,trust_qualified_1,p1503,75
1311,limping llama; friendly frog,trust_qualified_1,p1511,78
1312,limping llama; friendly frog,trust_qualified_1,p1512,75
1313,limping llama; friendly frog,trust_qualified_1,p1518,75
1314,limping llama; friendly frog,trust_qualified_1,p1519,78
1315,limping llama; friendly frog,trust_qualified_1,p1520,65
1316,limping llama; friendly frog,trust_qualified_1,p1524,78
1317,limping llama; friendly frog,trust_qualified_1,p1526,75
1318,limping llama; friendly frog,trust_qualified_1,p1537,75
1319,limping llama; friendly frog,trust_qualified_1,p1545,78
1320,limping llama; friendly frog,trust_qualified_1,p1547,78
1321,limping llama; friendly frog,trust_qualified_1,p1552,75
1322,limping llama; friendly frog,trust_qualified_1,p1567,75
1323,limping llama; friendly frog,trust_qualified_1,p1568,75
1324,limping llama; friendly frog,trust_qualified_1,p1579,45
1325,limping llama; friendly frog,trust_qualified_1,p1587,45
1326,limping llama; friendly frog,trust_qualified_1,p1596,72
1327,limping llama; friendly frog,trust_qualified_1,p1600,82
1328,limping llama; friendly frog,trust_qualified_1,p1603,78
1329,limping llama; friendly frog,trust_qualified_1,p1604,78
1330,limping llama; friendly frog,trust_qualified_1,p1610,75
1331,limping llama; friendly frog,trust_qualified_1,p1618,75
1332,limping llama; friendly frog,trust_qualified_1,p1619,85
1333,limping llama; friendly frog,trust_qualified_1,p1622,78
1334,limping llama; friendly frog,trust_qualified_1,p1623,65
1335,limping llama; friendly frog,trust_qualified_1,p1630,65
1336,limping llama; friendly frog,trust_qualified_1,p1641,75
1337,limping llama; friendly frog,trust_qualified_1,p1649,65
1338,limping llama; friendly frog,trust_qualified_1,p1652,68
1339,limping llama; friendly frog,trust_qualified_1,p1665,72
1340,limping llama; friendly frog,trust_qualified_1,p1669,78
1341,limping llama; friendly frog,trust_qualified_1,p1685,75
1342,limping llama; friendly frog,trust_qualified_1,p1693,78
1343,limping llama; friendly frog,trust_qualified_1,p1698,75
1344,limping llama; friendly frog,trust_qualified_1,p1704,78
1345,limping llama; friendly frog,trust_qualified_1,p1711,78
1346,limping llama; friendly frog,trust_qualified_1,p1718,68
1347,limping llama; friendly frog,trust_qualified_1,p1732,75
1348,limping llama; friendly frog,trust_qualified_1,p1739,78
1349,limping llama; friendly frog,trust_qualified_1,p1741,78
1350,limping llama; friendly frog,trust_qualified_1,p1746,65
1351,limping llama; friendly frog,trust_qualified_1,p1751,65
1352,limping llama; friendly frog,trust_qualified_1,p1754,78
1353,limping llama; friendly frog,trust_qualified_1,p1769,78
1354,limping llama; friendly frog,trust_qualified_1,p1771,78
1355,limping llama; friendly frog,trust_qualified_1,p1776,65
1356,limping llama; friendly frog,trust_qualified_1,p1780,78
1357,limping llama; friendly frog,trust_qualified_1,p1785,65
1358,limping llama; friendly frog,trust_qualified_1,p1791,78
1359,limping llama; friendly frog,trust_qualified_1,p1793,78
1360,limping llama; friendly frog,trust_qualified_1,p1796,72
1361,limping llama; friendly frog,trust_qualified_1,p1805,78
1362,limping llama; friendly frog,trust_qualified_1,p1812,78
1363,limping llama; friendly frog,trust_qualified_1,p1816,68
1364,limping llama; friendly frog,trust_qualified_1,p1819,75
1365,limping llama; friendly frog,trust_qualified_1,p1825,78
1366,limping llama; friendly frog,trust_qualified_1,p1836,82
1367,limping llama; friendly frog,trust_qualified_1,p1839,78
1368,limping llama; friendly frog,trust_qualified_1,p1861,75
1369,limping llama; friendly frog,trust_qualified_1,p1863,75
1370,limping llama; friendly frog,trust_qualified_1,p1873,78
1371,limping llama; friendly frog,trust_qualified_1,p1875,78
1372,limping llama; friendly frog,trust_qualified_1,p1876,78
1373,limping llama; friendly frog,trust_qualified_1,p1877,75
1374,limping llama; friendly frog,trust_qualified_1,p1880,72
1375,limping llama; friendly frog,trust_qualified_1,p1883,78
1376,limping llama; friendly frog,trust_qualified_1,p1889,65
1377,limping llama; friendly frog,trust_qualified_1,p1893,82
1378,limping llama; friendly frog,trust_qualified_1,p1896,75
1379,limping llama; friendly frog,trust_qualified_1,p1913,78
1380,limping llama; friendly frog,trust_qualified_1,p1922,85
1381,limping llama; friendly frog,trust_qualified_1,p1930,78
1382,limping llama; friendly frog,trust_qualified_1,p1935,78
1383,limping llama; friendly frog,trust_qualified_1,p1940,85
1384,limping llama; friendly frog,trust_qualified_1,p1948,75
1385,limping llama; friendly frog,trust_qualified_1,p1950,78
1386,limping llama; friendly frog,trust_qualified_1,p1954,75
1387,limping llama; friendly frog,trust_qualified_1,p1956,65
1388,limping llama; friendly frog,trust_qualified_1,p1958,75
1389,limping llama; friendly frog,trust_qualified_1,p1967,78
1390,limping llama; friendly frog,trust_qualified_1,p1973,88
1391,limping llama; friendly frog,trust_qualified_1,p1978,78
1392,limping llama; friendly frog,trust_qualified_1,p1983,68
1393,limping llama; friendly frog,trust_qualified_1,p1984,65
1394,limping llama; friendly frog,trust_qualified_1,p1995,75
1395,limping llama; friendly frog,trust_qualified_1,p1996,75
1396,limping llama; friendly frog,trust_qualified_1,p1997,78
1397,limping llama; friendly frog,trust_qualified_1,p2001,78
1398,limping llama; friendly frog,trust_qualified_1,p2002,75
1399,limping llama; friendly frog,trust_qualified_1,p2013,88
1400,limping llama; friendly frog,trust_qualified_1,p2014,68
1401,limping llama; friendly frog,trust_qualified_1,p2016,78
1402,limping llama; friendly frog,trust_qualified_1,p2018,68
1403,limping llama; friendly frog,trust_qualified_1,p2023,78
1404,limping llama; friendly frog,trust_qualified_1,p2025,85
1405,limping llama; friendly frog,trust_qualified_1,p2028,75
1406,limping llama; friendly frog,trust_qualified_1,p2030,78
1407,limping llama; friendly frog,trust_qualified_1,p2033,78
1408,limping llama; friendly frog,trust_qualified_1,p2040,62
1409,limping llama; friendly frog,trust_qualified_1,p2051,65
1410,limping llama; friendly frog,trust_qualified_1,p2052,78
1411,limping llama; friendly frog,trust_qualified_1,p2066,65
1412,limping llama; friendly frog,trust_qualified_1,p2067,85
1413,limping llama; friendly frog,trust_qualified_1,p2073,78
1414,limping llama; friendly frog,trust_qualified_1,p2077,78
1415,limping llama; friendly frog,trust_qualified_1,p2078,75
1416,limping llama; friendly frog,trust_qualified_1,p2086,78
1417,limping llama; friendly frog,trust_qualified_1,p2089,82
1418,limping llama; friendly frog,trust_qualified_1,p2093,65
1419,limping llama; friendly frog,trust_qualified_1,p2094,78
1420,limping llama; friendly frog,trust_qualified_1,p2111,75
1421,limping llama; friendly frog,trust_qualified_1,p2117,78
1422,limping llama; friendly frog,trust_qualified_1,p2121,78
1423,limping llama; friendly frog,trust_qualified_1,p2127,78
1424,limping llama; friendly frog,trust_qualified_1,p2141,75
1425,limping llama; friendly frog,trust_qualified_1,p2142,45
1426,limping llama; friendly frog,trust_qualified_1,p2143,78
1427,limping llama; friendly frog,trust_qualified_1,p2153,75
1428,limping llama; friendly frog,trust_qualified_1,p2155,68
1429,limping llama; friendly frog,trust_qualified_1,p2169,75
1430,limping llama; friendly frog,trust_qualified_1,p2187,78
1431,limping llama; friendly frog,trust_qualified_1,p2188,78
1432,limping llama; friendly frog,trust_qualified_1,p2197,75
1433,limping llama; friendly frog,trust_qualified_1,p2213,65
1434,limping llama; friendly frog,trust_qualified_1,p2214,78
1435,limping llama; friendly frog,trust_qualified_1,p2215,85
1436,limping llama; friendly frog,trust_qualified_1,p2220,75
1437,limping llama; friendly frog,trust_qualified_1,p2223,68
1438,limping llama; friendly frog,trust_qualified_1,p2229,75
1439,limping llama; friendly frog,trust_qualified_1,p2234,75
1440,limping llama; friendly frog,trust_qualified_1,p2237,78
1441,limping llama; friendly frog,trust_qualified_1,p2238,78
1442,limping llama; friendly frog,trust_qualified_1,p2244,75
1443,limping llama; friendly frog,trust_qualified_1,p2248,75
1444,limping llama; friendly frog,trust_qualified_1,p2252,78
1445,limping llama; friendly frog,trust_qualified_1,p2255,65
1446,limping llama; friendly frog,trust_qualified_1,p2261,65
1447,limping llama; friendly frog,trust_qualified_1,p2263,75
1448,limping llama; friendly frog,trust_qualified_1,p2273,78
1449,limping llama; friendly frog,trust_qualified_1,p2275,78
1450,limping llama; friendly frog,trust_qualified_1,p2276,68
1451,limping llama; friendly frog,trust_qualified_1,p2283,65
1452,limping llama; friendly frog,trust_qualified_1,p2287,78
1453,limping llama; friendly frog,trust_qualified_1,p2296,62
1454,limping llama; friendly frog,trust_qualified_1,p2298,68
1455,limping llama; friendly frog,trust_qualified_1,p2304,78
1456,limping llama; friendly frog,trust_qualified_1,p2310,68
1457,limping llama; friendly frog,trust_qualified_1,p2322,62
1458,limping llama; friendly frog,trust_qualified_1,p2326,78
1459,limping llama; friendly frog,trust_qualified_1,p2330,75
1460,limping llama; friendly frog,trust_qualified_1,p2331,85
1461,limping llama; friendly frog,trust_qualified_1,p2333,75
1462,limping llama; friendly frog,trust_qualified_1,p2347,78
1463,limping llama; friendly frog,trust_qualified_1,p2350,68
1464,limping llama; friendly frog,trust_qualified_1,p2351,78
1465,limping llama; friendly frog,trust_qualified_1,p2353,78
1466,limping llama; friendly frog,trust_qualified_1,p2355,65
1467,limping llama; friendly frog,trust_qualified_1,p2363,65
1468,limping llama; friendly frog,trust_qualified_1,p2378,82
1469,limping llama; friendly frog,trust_qualified_1,p2380,75
1470,limping llama; friendly frog,trust_qualified_1,p2387,78
1471,limping llama; friendly frog,trust_qualified_1,p2398,75
1472,limping llama; friendly frog,trust_qualified_1,p2400,78
1473,limping llama; friendly frog,trust_qualified_1,p2403,85
1474,limping llama; friendly frog,trust_qualified_1,p2408,62
1475,limping llama; friendly frog,trust_qualified_1,p2418,78
1476,limping llama; friendly frog,trust_qualified_1,p2426,75
1477,limping llama; friendly frog,trust_qualified_1,p2428,65
1478,limping llama; friendly frog,trust_qualified_1,p2434,78
1479,limping llama; friendly frog,trust_qualified_1,p2446,65
1480,limping llama; friendly frog,trust_qualified_1,p2452,68
1481,limping llama; friendly frog,trust_qualified_1,p2454,72
1482,limping llama; friendly frog,trust_qualified_1,p2462,75
1483,limping llama; friendly frog,trust_qualified_1,p2467,45
1484,limping llama; friendly frog,trust_qualified_1,p2482,68
1485,limping llama; friendly frog,trust_qualified_1,p2489,68
1486,limping llama; friendly frog,trust_qualified_1,p2490,68
1487,limping llama; friendly frog,trust_qualified_1,p2494,65
1488,limping llama; friendly frog,trust_qualified_1,p2502,78
1489,limping llama; friendly frog,trust_qualified_1,p2503,78
1490,limping llama; friendly frog,trust_qualified_1,p2522,85
1491,limping llama; friendly frog,trust_qualified_1,p2524,78
1492,limping llama; friendly frog,trust_qualified_1,p2533,65
1493,limping llama; friendly frog,trust_qualified_1,p2566,65
1494,limping llama; friendly frog,trust_qualified_1,p2571,78
1495,limping llama; friendly frog,trust_qualified_1,p2573,65
1496,limping llama; friendly frog,trust_qualified_1,p2582,78
1497,limping llama; friendly frog,trust_qualified_1,p2591,78
1498,limping llama; friendly frog,trust_qualified_1,p2592,78
1499,limping llama; friendly frog,trust_qualified_1,p2595,45
1500,limping llama; friendly frog,trust_honest_1,p0016,78
1501,limping llama; friendly frog,trust_honest_1,p0022,65
1502,limping llama; friendly frog,trust_honest_1,p0023,78
1503,limping llama; friendly frog,trust_honest_1,p0026,75
1504,limping llama; friendly frog,trust_honest_1,p0034,65
1505,limping llama; friendly frog,trust_honest_1,p0036,65
1506,limping llama; friendly frog,trust_honest_1,p0037,65
1507,limping llama; friendly frog,trust_honest_1,p0042,68
1508,limping llama; friendly frog,trust_honest_1,p0057,68
1509,limping llama; friendly frog,trust_honest_1,p0066,75
1510,limping llama; friendly frog,trust_honest_1,p0069,65
1511,limping llama; friendly frog,trust_honest_1,p0072,75
1512,limping llama; friendly frog,trust_honest_1,p0073,68
1513,limping llama; friendly frog,trust_honest_1,p0082,65
1514,limping llama; friendly frog,trust_honest_1,p0091,75
1515,limping llama; friendly frog,trust_honest_1,p0092,65
1516,limping llama; friendly frog,trust_honest_1,p0093,75
1517,limping llama; friendly frog,trust_honest_1,p0095,75
1518,limping llama; friendly frog,trust_honest_1,p0107,65
1519,limping llama; friendly frog,trust_honest_1,p0114,75
1520,limping llama; friendly frog,trust_honest_1,p0116,62
1521,limping llama; friendly frog,trust_honest_1,p0118,65
1522,limping llama; friendly frog,trust_honest_1,p0119,68
1523,limping llama; friendly frog,trust_honest_1,p0126,68
1524,limping llama; friendly frog,trust_honest_1,p0129,75
1525,limping llama; friendly frog,trust_honest_1,p0136,65
1526,limping llama; friendly frog,trust_honest_1,p0138,55
1527,limping llama; friendly frog,trust_honest_1,p0144,65
1528,limping llama; friendly frog,trust_honest_1,p0150,65
1529,limping llama; friendly frog,trust_honest_1,p0152,65
1530,limping llama; friendly frog,trust_honest_1,p0158,55
1531,limping llama; friendly frog,trust_honest_1,p0161,65
1532,limping llama; friendly frog,trust_honest_1,p0164,65
1533,limping llama; friendly frog,trust_honest_1,p0175,68
1534,limping llama; friendly frog,trust_honest_1,p0177,75
1535,limping llama; friendly frog,trust_honest_1,p0178,75
1536,limping llama; friendly frog,trust_honest_1,p0181,65
1537,limping llama; friendly frog,trust_honest_1,p0186,65
1538,limping llama; friendly frog,trust_honest_1,p0196,68
1539,limping llama; friendly frog,trust_honest_1,p0198,75
1540,limping llama; friendly frog,trust_honest_1,p0202,75
1541,limping llama; friendly frog,trust_honest_1,p0205,65
1542,limping llama; friendly frog,trust_honest_1,p0207,65
1543,limping llama; friendly frog,trust_honest_1,p0211,62
1544,limping llama; friendly frog,trust_honest_1,p0227,75
1545,limping llama; friendly frog,trust_honest_1,p0229,65
1546,limping llama; friendly frog,trust_honest_1,p0232,75
1547,limping llama; friendly frog,trust_honest_1,p0233,65
1548,limping llama; friendly frog,trust_honest_1,p0237,78
1549,limping llama; friendly frog,trust_honest_1,p0258,65
1550,limping llama; friendly frog,trust_honest_1,p0268,55
1551,limping llama; friendly frog,trust_honest_1,p0274,75
1552,limping llama; friendly frog,trust_honest_1,p0275,45
1553,limping llama; friendly frog,trust_honest_1,p0277,65
1554,limping llama; friendly frog,trust_honest_1,p0288,65
1555,limping llama; friendly frog,trust_honest_1,p0291,75
1556,limping llama; friendly frog,trust_honest_1,p0307,65
1557,limping llama; friendly frog,trust_honest_1,p0308,68
1558,limping llama; friendly frog,trust_honest_1,p0317,65
1559,limping llama; friendly frog,trust_honest_1,p0325,75
1560,limping llama; friendly frog,trust_honest_1,p0327,78
1561,limping llama; friendly frog,trust_honest_1,p0334,75
1562,limping llama; friendly frog,trust_honest_1,p0336,75
1563,limping llama; friendly frog,trust_honest_1,p0338,55
1564,limping llama; friendly frog,trust_honest_1,p0342,78
1565,limping llama; friendly frog,trust_honest_1,p0349,65
1566,limping llama; friendly frog,trust_honest_1,p0356,65
1567,limping llama; friendly frog,trust_honest_1,p0358,72
1568,limping llama; friendly frog,trust_honest_1,p0363,75
1569,limping llama; friendly frog,trust_honest_1,p0364,78
1570,limping llama; friendly frog,trust_honest_1,p0369,75
1571,limping llama; friendly frog,trust_honest_1,p0370,62
1572,limping llama; friendly frog,trust_honest_1,p0371,65
1573,limping llama; friendly frog,trust_honest_1,p0379,65
1574,limping llama; friendly frog,trust_honest_1,p0386,75
1575,limping llama; friendly frog,trust_honest_1,p0396,75
1576,limping llama; friendly frog,trust_honest_1,p0403,75
1577,limping llama; friendly frog,trust_honest_1,p0405,75
1578,limping llama; friendly frog,trust_honest_1,p0412,75
1579,limping llama; friendly frog,trust_honest_1,p0415,65
