,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0016,75
6483,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2467,68
6484,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2482,76
6485,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2489,76
6486,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2490,76
6487,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2494,68
6488,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2502,76
6489,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2503,76
6490,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2522,85
6491,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2524,82
6492,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2533,76
6493,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2566,76
6494,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2571,76
6495,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2573,76
6496,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2582,78
6497,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2591,76
6498,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2592,76
6499,crushing chicken; gross grasshopper; homely halibut,trust_post_1,p2595,68
6500,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0016,17
6501,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0022,18
6502,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0023,15
6503,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0026,17
6504,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0034,18
6505,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0036,20
6506,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0037,17
6507,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0042,18
6508,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0057,18
6509,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0066,11
6510,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0069,15
6511,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0072,10
6512,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0073,20
6513,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0082,15
6514,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0091,15
6515,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0092,20
6516,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0093,18
6517,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0095,18
6518,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0107,20
6519,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0114,18
6520,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0116,20
6521,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0118,20
6522,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0119,15
6523,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0126,17
6524,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0129,15
6525,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0136,18
6526,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0138,20
6527,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0144,18
6528,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0150,20
6529,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0152,23
6530,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0158,20
6531,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0161,15
6532,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0164,18
6533,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0175,23
6534,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0177,17
6535,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0178,15
6536,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0181,18
6537,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0186,20
6538,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0196,20
6539,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0198,16
6540,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0202,15
6541,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0205,18
6542,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0207,15
6543,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0211,18
6544,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0227,12
6545,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0229,18
6546,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0232,15
6547,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0233,18
6548,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0237,15
6549,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0258,18
6550,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0268,20
6551,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0274,18
6552,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0275,25
6553,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0277,20
6554,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0288,17
6555,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0291,15
6556,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0307,20
6557,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0308,19
6558,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0317,18
6559,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0325,15
6560,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0327,15
6561,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0334,15
6562,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0336,18
6563,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0338,20
6564,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0342,18
6565,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0349,20
6566,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0356,18
6567,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0358,17
6568,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0363,15
6569,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0364,18
6570,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0369,15
6571,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0370,18
6572,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0371,18
6573,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0379,20
6574,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0386,18
6575,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0396,18
6576,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0403,18
6577,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0405,15
6578,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0412,17
6579,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0415,25
6580,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0416,20
6581,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0417,18
6582,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0418,18
6583,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0430,15
6584,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0431,15
6585,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0434,18
6586,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0438,15
6587,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0441,15
6588,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0442,25
6589,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0449,20
6590,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0450,15
6591,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0465,18
6592,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0471,19
6593,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0477,19
6594,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0483,18
6595,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0486,11
6596,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0487,15
6597,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0489,15
6598,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0497,20
6599,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0502,18
6600,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0503,15
6601,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0506,20
6602,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0511,18
6603,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0523,18
6604,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0534,12
6605,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0536,19
6606,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0542,17
6607,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0547,20
6608,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0553,18
6609,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0559,18
6610,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0566,20
6611,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0568,23
6612,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0570,23
6613,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0573,20
6614,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0578,20
6615,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0594,20
6616,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0597,15
6617,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0601,20
6618,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0602,18
6619,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0605,20
6620,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0615,17
6621,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0620,18
6622,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0626,18
6623,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0629,15
6624,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0633,19
6625,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0638,18
6626,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0639,18
6627,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0640,18
6628,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0655,15
6629,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0656,23
6630,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0658,15
6631,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0661,20
6632,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0669,15
6633,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0670,20
6634,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0672,16
6635,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0674,18
6636,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0678,18
6637,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0683,18
6638,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0686,18
6639,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0687,17
6640,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0698,18
6641,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0700,18
6642,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0703,18
6643,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0718,18
6644,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0744,15
6645,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0745,18
6646,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0753,18
6647,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0770,18
6648,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0771,18
6649,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0777,10
6650,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0779,18
6651,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0780,20
6652,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0783,19
6653,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0785,20
6654,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0786,23
6655,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0794,18
6656,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0798,15
6657,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0800,17
6658,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0820,20
6659,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0841,15
6660,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0849,24
6661,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0862,15
6662,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0867,18
6663,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0869,15
6664,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0872,15
6665,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0880,20
6666,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0891,20
6667,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0916,15
6668,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0917,17
6669,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0919,15
6670,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0922,18
6671,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0925,20
6672,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0927,18
6673,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0929,23
6674,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0930,15
6675,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0931,20
6676,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0933,20
6677,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0934,17
6678,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0936,17
6679,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0938,18
6680,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0939,20
6681,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0946,20
6682,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0951,20
6683,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0956,17
6684,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0962,15
6685,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0963,23
6686,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0969,20
6687,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0972,24
6688,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0975,20
6689,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0985,25
6690,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0993,15
6691,crushing chicken; gross grasshopper; homely halibut,distrust_1,p0996,20
6692,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1011,18
6693,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1017,20
6694,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1020,15
6695,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1022,15
6696,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1024,23
6697,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1027,15
6698,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1028,10
6699,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1029,25
6700,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1032,18
6701,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1040,18
6702,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1047,18
6703,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1048,20
6704,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1053,19
6705,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1057,17
6706,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1058,19
6707,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1063,20
6708,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1064,20
6709,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1065,20
6710,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1069,18
6711,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1072,17
6712,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1073,20
6713,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1075,15
6714,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1076,20
6715,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1083,18
6716,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1089,15
6717,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1093,15
6718,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1096,18
6719,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1100,15
6720,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1106,20
6721,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1107,20
6722,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1113,17
6723,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1117,15
6724,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1120,19
6725,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1134,20
6726,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1136,20
6727,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1138,17
6728,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1144,18
6729,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1145,15
6730,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1147,15
6731,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1148,15
6732,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1154,15
6733,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1159,15
6734,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1167,18
6735,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1175,17
6736,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1178,20
6737,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1184,18
6738,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1186,15
6739,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1196,20
6740,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1197,18
6741,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1203,18
6742,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1219,20
6743,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1225,20
6744,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1234,23
6745,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1242,18
6746,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1244,15
6747,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1249,20
6748,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1250,18
6749,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1256,18
6750,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1258,15
6751,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1260,18
6752,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1262,18
6753,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1264,18
6754,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1265,18
6755,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1269,18
6756,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1272,17
6757,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1278,15
6758,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1281,20
6759,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1292,18
6760,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1299,20
6761,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1312,20
6762,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1322,17
6763,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1326,15
6764,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1330,20
6765,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1335,17
6766,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1337,18
6767,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1340,15
6768,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1345,20
6769,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1351,15
6770,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1355,20
6771,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1362,15
6772,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1365,18
6773,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1366,20
6774,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1367,20
6775,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1370,18
6776,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1371,10
6777,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1373,18
6778,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1375,15
6779,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1376,18
6780,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1379,18
6781,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1381,20
6782,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1393,20
6783,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1396,15
6784,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1398,20
6785,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1404,15
6786,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1406,18
6787,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1407,18
6788,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1409,18
6789,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1412,20
6790,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1414,15
6791,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1424,18
6792,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1425,19
6793,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1429,18
6794,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1434,20
6795,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1441,18
6796,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1445,18
6797,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1450,18
6798,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1454,18
6799,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1456,20
6800,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1457,23
6801,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1458,15
6802,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1469,23
6803,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1470,17
6804,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1481,15
6805,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1488,20
6806,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1492,18
6807,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1495,18
6808,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1497,18
6809,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1499,18
6810,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1503,17
6811,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1511,15
6812,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1512,18
6813,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1518,18
6814,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1519,20
6815,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1520,23
6816,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1524,20
6817,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1526,18
6818,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1537,18
6819,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1545,15
6820,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1547,20
6821,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1552,15
6822,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1567,20
6823,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1568,15
6824,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1579,23
6825,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1587,25
6826,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1596,20
6827,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1600,16
6828,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1603,19
6829,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1604,18
6830,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1610,18
6831,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1618,15
6832,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1619,12
6833,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1622,18
6834,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1623,18
6835,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1630,15
6836,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1641,20
6837,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1649,19
6838,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1652,18
6839,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1665,20
6840,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1669,20
6841,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1685,18
6842,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1693,20
6843,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1698,20
6844,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1704,20
6845,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1711,18
6846,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1718,18
6847,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1732,20
6848,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1739,20
6849,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1741,11
6850,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1746,20
6851,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1751,20
6852,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1754,15
6853,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1769,18
6854,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1771,18
6855,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1776,18
6856,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1780,18
6857,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1785,20
6858,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1791,15
6859,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1793,18
6860,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1796,24
6861,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1805,19
6862,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1812,15
6863,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1816,20
6864,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1819,15
6865,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1825,15
6866,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1836,15
6867,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1839,15
6868,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1861,18
6869,crushing chicken; gross grasshopper; homely halibut,distrust_1,p1863,18
