,condition,outcome,persona,response
0,giant gibbon; brick bobcat,trust_competent_1,p0016,78
3458,giant gibbon; brick bobcat,trust_concerned_1,p2326,78
3459,giant gibbon; brick bobcat,trust_concerned_1,p2330,75
3460,giant gibbon; brick bobcat,trust_concerned_1,p2331,85
3461,giant gibbon; brick bobcat,trust_concerned_1,p2333,75
3462,giant gibbon; brick bobcat,trust_concerned_1,p2347,85
3463,giant gibbon; brick bobcat,trust_concerned_1,p2350,75
3464,giant gibbon; brick bobcat,trust_concerned_1,p2351,78
3465,giant gibbon; brick bobcat,trust_concerned_1,p2353,78
3466,giant gibbon; brick bobcat,trust_concerned_1,p2355,75
3467,giant gibbon; brick bobcat,trust_concerned_1,p2363,75
3468,giant gibbon; brick bobcat,trust_concerned_1,p2378,82
3469,giant gibbon; brick bobcat,trust_concerned_1,p2380,85
3470,giant gibbon; brick bobcat,trust_concerned_1,p2387,75
3471,giant gibbon; brick bobcat,trust_concerned_1,p2398,78
3472,giant gibbon; brick bobcat,trust_concerned_1,p2400,85
3473,giant gibbon; brick bobcat,trust_concerned_1,p2403,85
3474,giant gibbon; brick bobcat,trust_concerned_1,p2408,65
3475,giant gibbon; brick bobcat,trust_concerned_1,p2418,78
3476,giant gibbon; brick bobcat,trust_concerned_1,p2426,78
3477,giant gibbon; brick bobcat,trust_concerned_1,p2428,65
3478,giant gibbon; brick bobcat,trust_concerned_1,p2434,78
3479,giant gibbon; brick bobcat,trust_concerned_1,p2446,65
3480,giant gibbon; brick bobcat,trust_concerned_1,p2452,78
3481,giant gibbon; brick bobcat,trust_concerned_1,p2454,78
3482,giant gibbon; brick bobcat,trust_concerned_1,p2462,75
3483,giant gibbon; brick bobcat,trust_concerned_1,p2467,65
3484,giant gibbon; brick bobcat,trust_concerned_1,p2482,75
3485,giant gibbon; brick bobcat,trust_concerned_1,p2489,75
3486,giant gibbon; brick bobcat,trust_concerned_1,p2490,75
3487,giant gibbon; brick bobcat,trust_concerned_1,p2494,65
3488,giant gibbon; brick bobcat,trust_concerned_1,p2502,78
3489,giant gibbon; brick bobcat,trust_concerned_1,p2503,78
3490,giant gibbon; brick bobcat,trust_concerned_1,p2522,85
3491,giant gibbon; brick bobcat,trust_concerned_1,p2524,85
3492,giant gibbon; brick bobcat,trust_concerned_1,p2533,65
3493,giant gibbon; brick bobcat,trust_concerned_1,p2566,75
3494,giant gibbon; brick bobcat,trust_concerned_1,p2571,75
3495,giant gibbon; brick bobcat,trust_concerned_1,p2573,68
3496,giant gibbon; brick bobcat,trust_concerned_1,p2582,78
3497,giant gibbon; brick bobcat,trust_concerned_1,p2591,78
3498,giant gibbon; brick bobcat,trust_concerned_1,p2592,78
3499,giant gibbon; brick bobcat,trust_concerned_1,p2595,65
3500,giant gibbon; brick bobcat,trust_improve_1,p0016,82
3501,giant gibbon; brick bobcat,trust_improve_1,p0022,78
3502,giant gibbon; brick bobcat,trust_improve_1,p0023,85
3503,giant gibbon; brick bobcat,trust_improve_1,p0026,78
3504,giant gibbon; brick bobcat,trust_improve_1,p0034,75
3505,giant gibbon; brick bobcat,trust_improve_1,p0036,78
3506,giant gibbon; brick bobcat,trust_improve_1,p0037,78
3507,giant gibbon; brick bobcat,trust_improve_1,p0042,78
3508,giant gibbon; brick bobcat,trust_improve_1,p0057,78
3509,giant gibbon; brick bobcat,trust_improve_1,p0066,82
3510,giant gibbon; brick bobcat,trust_improve_1,p0069,75
3511,giant gibbon; brick bobcat,trust_improve_1,p0072,85
3512,giant gibbon; brick bobcat,trust_improve_1,p0073,78
3513,giant gibbon; brick bobcat,trust_improve_1,p0082,85
3514,giant gibbon; brick bobcat,trust_improve_1,p0091,85
3515,giant gibbon; brick bobcat,trust_improve_1,p0092,75
3516,giant gibbon; brick bobcat,trust_improve_1,p0093,82
3517,giant gibbon; brick bobcat,trust_improve_1,p0095,78
3518,giant gibbon; brick bobcat,trust_improve_1,p0107,75
3519,giant gibbon; brick bobcat,trust_improve_1,p0114,85
3520,giant gibbon; brick bobcat,trust_improve_1,p0116,72
3521,giant gibbon; brick bobcat,trust_improve_1,p0118,75
3522,giant gibbon; brick bobcat,trust_improve_1,p0119,82
3523,giant gibbon; brick bobcat,trust_improve_1,p0126,78
3524,giant gibbon; brick bobcat,trust_improve_1,p0129,85
3525,giant gibbon; brick bobcat,trust_improve_1,p0136,68
3526,giant gibbon; brick bobcat,trust_improve_1,p0138,72
3527,giant gibbon; brick bobcat,trust_improve_1,p0144,78
3528,giant gibbon; brick bobcat,trust_improve_1,p0150,75
3529,giant gibbon; brick bobcat,trust_improve_1,p0152,75
3530,giant gibbon; brick bobcat,trust_improve_1,p0158,68
3531,giant gibbon; brick bobcat,trust_improve_1,p0161,78
3532,giant gibbon; brick bobcat,trust_improve_1,p0164,75
3533,giant gibbon; brick bobcat,trust_improve_1,p0175,78
3534,giant gibbon; brick bobcat,trust_improve_1,p0177,78
3535,giant gibbon; brick bobcat,trust_improve_1,p0178,85
3536,giant gibbon; brick bobcat,trust_improve_1,p0181,68
3537,giant gibbon; brick bobcat,trust_improve_1,p0186,75
3538,giant gibbon; brick bobcat,trust_improve_1,p0196,78
3539,giant gibbon; brick bobcat,trust_improve_1,p0198,85
3540,giant gibbon; brick bobcat,trust_improve_1,p0202,82
3541,giant gibbon; brick bobcat,trust_improve_1,p0205,75
3542,giant gibbon; brick bobcat,trust_improve_1,p0207,75
3543,giant gibbon; brick bobcat,trust_improve_1,p0211,68
3544,giant gibbon; brick bobcat,trust_improve_1,p0227,85
3545,giant gibbon; brick bobcat,trust_improve_1,p0229,78
3546,giant gibbon; brick bobcat,trust_improve_1,p0232,85
3547,giant gibbon; brick bobcat,trust_improve_1,p0233,75
3548,giant gibbon; brick bobcat,trust_improve_1,p0237,88
3549,giant gibbon; brick bobcat,trust_improve_1,p0258,78
3550,giant gibbon; brick bobcat,trust_improve_1,p0268,65
3551,giant gibbon; brick bobcat,trust_improve_1,p0274,82
3552,giant gibbon; brick bobcat,trust_improve_1,p0275,45
3553,giant gibbon; brick bobcat,trust_improve_1,p0277,75
3554,giant gibbon; brick bobcat,trust_improve_1,p0288,85
3555,giant gibbon; brick bobcat,trust_improve_1,p0291,85
3556,giant gibbon; brick bobcat,trust_improve_1,p0307,75
3557,giant gibbon; brick bobcat,trust_improve_1,p0308,78
3558,giant gibbon; brick bobcat,trust_improve_1,p0317,75
3559,giant gibbon; brick bobcat,trust_improve_1,p0325,85
3560,giant gibbon; brick bobcat,trust_improve_1,p0327,88
3561,giant gibbon; brick bobcat,trust_improve_1,p0334,85
3562,giant gibbon; brick bobcat,trust_improve_1,p0336,85
3563,giant gibbon; brick bobcat,trust_improve_1,p0338,65
3564,giant gibbon; brick bobcat,trust_improve_1,p0342,82
3565,giant gibbon; brick bobcat,trust_improve_1,p0349,78
3566,giant gibbon; brick bobcat,trust_improve_1,p0356,78
3567,giant gibbon; brick bobcat,trust_improve_1,p0358,78
3568,giant gibbon; brick bobcat,trust_improve_1,p0363,78
3569,giant gibbon; brick bobcat,trust_improve_1,p0364,82
3570,giant gibbon; brick bobcat,trust_improve_1,p0369,88
3571,giant gibbon; brick bobcat,trust_improve_1,p0370,68
3572,giant gibbon; brick bobcat,trust_improve_1,p0371,78
3573,giant gibbon; brick bobcat,trust_improve_1,p0379,75
3574,giant gibbon; brick bobcat,trust_improve_1,p0386,85
3575,giant gibbon; brick bobcat,trust_improve_1,p0396,85
3576,giant gibbon; brick bobcat,trust_improve_1,p0403,78
3577,giant gibbon; brick bobcat,trust_improve_1,p0405,85
3578,giant gibbon; brick bobcat,trust_improve_1,p0412,82
3579,giant gibbon; brick bobcat,trust_improve_1,p0415,68
3580,giant gibbon; brick bobcat,trust_improve_1,p0416,78
3581,giant gibbon; brick bobcat,trust_improve_1,p0417,82
3582,giant gibbon; brick bobcat,trust_improve_1,p0418,75
3583,giant gibbon; brick bobcat,trust_improve_1,p0430,85
3584,giant gibbon; brick bobcat,trust_improve_1,p0431,85
3585,giant gibbon; brick bobcat,trust_improve_1,p0434,45
3586,giant gibbon; brick bobcat,trust_improve_1,p0438,88
3587,giant gibbon; brick bobcat,trust_improve_1,p0441,85
3588,giant gibbon; brick bobcat,trust_improve_1,p0442,65
3589,giant gibbon; brick bobcat,trust_improve_1,p0449,75
3590,giant gibbon; brick bobcat,trust_improve_1,p0450,85
3591,giant gibbon; brick bobcat,trust_improve_1,p0465,75
3592,giant gibbon; brick bobcat,trust_improve_1,p0471,78
3593,giant gibbon; brick bobcat,trust_improve_1,p0477,78
3594,giant gibbon; brick bobcat,trust_improve_1,p0483,78
3595,giant gibbon; brick bobcat,trust_improve_1,p0486,85
3596,giant gibbon; brick bobcat,trust_improve_1,p0487,85
3597,giant gibbon; brick bobcat,trust_improve_1,p0489,85
3598,giant gibbon; brick bobcat,trust_improve_1,p0497,75
3599,giant gibbon; brick bobcat,trust_improve_1,p0502,78
3600,giant gibbon; brick bobcat,trust_improve_1,p0503,82
3601,giant gibbon; brick bobcat,trust_improve_1,p0506,65
3602,giant gibbon; brick bobcat,trust_improve_1,p0511,78
3603,giant gibbon; brick bobcat,trust_improve_1,p0523,78
3604,giant gibbon; brick bobcat,trust_improve_1,p0534,85
3605,giant gibbon; brick bobcat,trust_improve_1,p0536,78
3606,giant gibbon; brick bobcat,trust_improve_1,p0542,75
3607,giant gibbon; brick bobcat,trust_improve_1,p0547,85
3608,giant gibbon; brick bobcat,trust_improve_1,p0553,82
3609,giant gibbon; brick bobcat,trust_improve_1,p0559,82
3610,giant gibbon; brick bobcat,trust_improve_1,p0566,78
3611,giant gibbon; brick bobcat,trust_improve_1,p0568,75
3612,giant gibbon; brick bobcat,trust_improve_1,p0570,65
3613,giant gibbon; brick bobcat,trust_improve_1,p0573,75
3614,giant gibbon; brick bobcat,trust_improve_1,p0578,78
3615,giant gibbon; brick bobcat,trust_improve_1,p0594,68
3616,giant gibbon; brick bobcat,trust_improve_1,p0597,78
3617,giant gibbon; brick bobcat,trust_improve_1,p0601,78
3618,giant gibbon; brick bobcat,trust_improve_1,p0602,68
3619,giant gibbon; brick bobcat,trust_improve_1,p0605,75
3620,giant gibbon; brick bobcat,trust_improve_1,p0615,78
3621,giant gibbon; brick bobcat,trust_improve_1,p0620,78
3622,giant gibbon; brick bobcat,trust_improve_1,p0626,78
3623,giant gibbon; brick bobcat,trust_improve_1,p0629,85
3624,giant gibbon; brick bobcat,trust_improve_1,p0633,78
3625,giant gibbon; brick bobcat,trust_improve_1,p0638,78
3626,giant gibbon; brick bobcat,trust_improve_1,p0639,78
3627,giant gibbon; brick bobcat,trust_improve_1,p0640,75
3628,giant gibbon; brick bobcat,trust_improve_1,p0655,78
3629,giant gibbon; brick bobcat,trust_improve_1,p0656,78
3630,giant gibbon; brick bobcat,trust_improve_1,p0658,75
3631,giant gibbon; brick bobcat,trust_improve_1,p0661,78
3632,giant gibbon; brick bobcat,trust_improve_1,p0669,85
3633,giant gibbon; brick bobcat,trust_improve_1,p0670,68
3634,giant gibbon; brick bobcat,trust_improve_1,p0672,78
3635,giant gibbon; brick bobcat,trust_improve_1,p0674,82
3636,giant gibbon; brick bobcat,trust_improve_1,p0678,82
3637,giant gibbon; brick bobcat,trust_improve_1,p0683,78
3638,giant gibbon; brick bobcat,trust_improve_1,p0686,75
3639,giant gibbon; brick bobcat,trust_improve_1,p0687,85
3640,giant gibbon; brick bobcat,trust_improve_1,p0698,78
3641,giant gibbon; brick bobcat,trust_improve_1,p0700,78
3642,giant gibbon; brick bobcat,trust_improve_1,p0703,78
3643,giant gibbon; brick bobcat,trust_improve_1,p0718,75
3644,giant gibbon; brick bobcat,trust_improve_1,p0744,82
3645,giant gibbon; brick bobcat,trust_improve_1,p0745,78
3646,giant gibbon; brick bobcat,trust_improve_1,p0753,68
3647,giant gibbon; brick bobcat,trust_improve_1,p0770,78
3648,giant gibbon; brick bobcat,trust_improve_1,p0771,78
3649,giant gibbon; brick bobcat,trust_improve_1,p0777,88
3650,giant gibbon; brick bobcat,trust_improve_1,p0779,78
3651,giant gibbon; brick bobcat,trust_improve_1,p0780,68
3652,giant gibbon; brick bobcat,trust_improve_1,p0783,75
3653,giant gibbon; brick bobcat,trust_improve_1,p0785,78
3654,giant gibbon; brick bobcat,trust_improve_1,p0786,68
3655,giant gibbon; brick bobcat,trust_improve_1,p0794,65
3656,giant gibbon; brick bobcat,trust_improve_1,p0798,65
3657,giant gibbon; brick bobcat,trust_improve_1,p0800,82
3658,giant gibbon; brick bobcat,trust_improve_1,p0820,65
3659,giant gibbon; brick bobcat,trust_improve_1,p0841,78
3660,giant gibbon; brick bobcat,trust_improve_1,p0849,78
3661,giant gibbon; brick bobcat,trust_improve_1,p0862,85
3662,giant gibbon; brick bobcat,trust_improve_1,p0867,85
3663,giant gibbon; brick bobcat,trust_improve_1,p0869,85
3664,giant gibbon; brick bobcat,trust_improve_1,p0872,82
3665,giant gibbon; brick bobcat,trust_improve_1,p0880,75
3666,giant gibbon; brick bobcat,trust_improve_1,p0891,78
3667,giant gibbon; brick bobcat,trust_improve_1,p0916,82
3668,giant gibbon; brick bobcat,trust_improve_1,p0917,85
3669,giant gibbon; brick bobcat,trust_improve_1,p0919,85
3670,giant gibbon; brick bobcat,trust_improve_1,p0922,75
3671,giant gibbon; brick bobcat,trust_improve_1,p0925,78
3672,giant gibbon; brick bobcat,trust_improve_1,p0927,82
3673,giant gibbon; brick bobcat,trust_improve_1,p0929,75
3674,giant gibbon; brick bobcat,trust_improve_1,p0930,85
3675,giant gibbon; brick bobcat,trust_improve_1,p0931,68
3676,giant gibbon; brick bobcat,trust_improve_1,p0933,75
3677,giant gibbon; brick bobcat,trust_improve_1,p0934,68
3678,giant gibbon; brick bobcat,trust_improve_1,p0936,82
3679,giant gibbon; brick bobcat,trust_improve_1,p0938,82
3680,giant gibbon; brick bobcat,trust_improve_1,p0939,78
3681,giant gibbon; brick bobcat,trust_improve_1,p0946,78
3682,giant gibbon; brick bobcat,trust_improve_1,p0951,75
3683,giant gibbon; brick bobcat,trust_improve_1,p0956,78
3684,giant gibbon; brick bobcat,trust_improve_1,p0962,85
3685,giant gibbon; brick bobcat,trust_improve_1,p0963,82
3686,giant gibbon; brick bobcat,trust_improve_1,p0969,75
3687,giant gibbon; brick bobcat,trust_improve_1,p0972,75
3688,giant gibbon; brick bobcat,trust_improve_1,p0975,75
3689,giant gibbon; brick bobcat,trust_improve_1,p0985,65
3690,giant gibbon; brick bobcat,trust_improve_1,p0993,85
3691,giant gibbon; brick bobcat,trust_improve_1,p0996,78
3692,giant gibbon; brick bobcat,trust_improve_1,p1011,72
3693,giant gibbon; brick bobcat,trust_improve_1,p1017,75
3694,giant gibbon; brick bobcat,trust_improve_1,p1020,78
3695,giant gibbon; brick bobcat,trust_improve_1,p1022,85
3696,giant gibbon; brick bobcat,trust_improve_1,p1024,65
3697,giant gibbon; brick bobcat,trust_improve_1,p1027,85
3698,giant gibbon; brick bobcat,trust_improve_1,p1028,92
3699,giant gibbon; brick bobcat,trust_improve_1,p1029,68
3700,giant gibbon; brick bobcat,trust_improve_1,p1032,78
3701,giant gibbon; brick bobcat,trust_improve_1,p1040,82
3702,giant gibbon; brick bobcat,trust_improve_1,p1047,75
3703,giant gibbon; brick bobcat,trust_improve_1,p1048,78
3704,giant gibbon; brick bobcat,trust_improve_1,p1053,72
3705,giant gibbon; brick bobcat,trust_improve_1,p1057,78
3706,giant gibbon; brick bobcat,trust_improve_1,p1058,78
3707,giant gibbon; brick bobcat,trust_improve_1,p1063,75
3708,giant gibbon; brick bobcat,trust_improve_1,p1064,85
3709,giant gibbon; brick bobcat,trust_improve_1,p1065,68
3710,giant gibbon; brick bobcat,trust_improve_1,p1069,75
3711,giant gibbon; brick bobcat,trust_improve_1,p1072,82
3712,giant gibbon; brick bobcat,trust_improve_1,p1073,78
3713,giant gibbon; brick bobcat,trust_improve_1,p1075,85
3714,giant gibbon; brick bobcat,trust_improve_1,p1076,65
3715,giant gibbon; brick bobcat,trust_improve_1,p1083,75
3716,giant gibbon; brick bobcat,trust_improve_1,p1089,85
3717,giant gibbon; brick bobcat,trust_improve_1,p1093,82
3718,giant gibbon; brick bobcat,trust_improve_1,p1096,78
3719,giant gibbon; brick bobcat,trust_improve_1,p1100,78
3720,giant gibbon; brick bobcat,trust_improve_1,p1106,78
3721,giant gibbon; brick bobcat,trust_improve_1,p1107,75
3722,giant gibbon; brick bobcat,trust_improve_1,p1113,78
3723,giant gibbon; brick bobcat,trust_improve_1,p1117,65
3724,giant gibbon; brick bobcat,trust_improve_1,p1120,75
3725,giant gibbon; brick bobcat,trust_improve_1,p1134,78
3726,giant gibbon; brick bobcat,trust_improve_1,p1136,68
3727,giant gibbon; brick bobcat,trust_improve_1,p1138,78
3728,giant gibbon; brick bobcat,trust_improve_1,p1144,75
3729,giant gibbon; brick bobcat,trust_improve_1,p1145,85
3730,giant gibbon; brick bobcat,trust_improve_1,p1147,85
3731,giant gibbon; brick bobcat,trust_improve_1,p1148,85
3732,giant gibbon; brick bobcat,trust_improve_1,p1154,85
3733,giant gibbon; brick bobcat,trust_improve_1,p1159,85
3734,giant gibbon; brick bobcat,trust_improve_1,p1167,78
3735,giant gibbon; brick bobcat,trust_improve_1,p1175,82
3736,giant gibbon; brick bobcat,trust_improve_1,p1178,78
3737,giant gibbon; brick bobcat,trust_improve_1,p1184,78
3738,giant gibbon; brick bobcat,trust_improve_1,p1186,78
3739,giant gibbon; brick bobcat,trust_improve_1,p1196,75
3740,giant gibbon; brick bobcat,trust_improve_1,p1197,68
3741,giant gibbon; brick bobcat,trust_improve_1,p1203,78
3742,giant gibbon; brick bobcat,trust_improve_1,p1219,75
3743,giant gibbon; brick bobcat,trust_improve_1,p1225,75
3744,giant gibbon; brick bobcat,trust_improve_1,p1234,75
3745,giant gibbon; brick bobcat,trust_improve_1,p1242,75
3746,giant gibbon; brick bobcat,trust_improve_1,p1244,82
3747,giant gibbon; brick bobcat,trust_improve_1,p1249,75
3748,giant gibbon; brick bobcat,trust_improve_1,p1250,78
3749,giant gibbon; brick bobcat,trust_improve_1,p1256,78
3750,giant gibbon; brick bobcat,trust_improve_1,p1258,85
3751,giant gibbon; brick bobcat,trust_improve_1,p1260,75
3752,giant gibbon; brick bobcat,trust_improve_1,p1262,75
3753,giant gibbon; brick bobcat,trust_improve_1,p1264,78
3754,giant gibbon; brick bobcat,trust_improve_1,p1265,78
3755,giant gibbon; brick bobcat,trust_improve_1,p1269,78
3756,giant gibbon; brick bobcat,trust_improve_1,p1272,78
3757,giant gibbon; brick bobcat,trust_improve_1,p1278,85
3758,giant gibbon; brick bobcat,trust_improve_1,p1281,75
3759,giant gibbon; brick bobcat,trust_improve_1,p1292,78
3760,giant gibbon; brick bobcat,trust_improve_1,p1299,78
3761,giant gibbon; brick bobcat,trust_improve_1,p1312,78
3762,giant gibbon; brick bobcat,trust_improve_1,p1322,78
3763,giant gibbon; brick bobcat,trust_improve_1,p1326,78
3764,giant gibbon; brick bobcat,trust_improve_1,p1330,78
3765,giant gibbon; brick bobcat,trust_improve_1,p1335,78
3766,giant gibbon; brick bobcat,trust_improve_1,p1337,85
3767,giant gibbon; brick bobcat,trust_improve_1,p1340,82
3768,giant gibbon; brick bobcat,trust_improve_1,p1345,78
3769,giant gibbon; brick bobcat,trust_improve_1,p1351,75
3770,giant gibbon; brick bobcat,trust_improve_1,p1355,68
3771,giant gibbon; brick bobcat,trust_improve_1,p1362,75
3772,giant gibbon; brick bobcat,trust_improve_1,p1365,75
3773,giant gibbon; brick bobcat,trust_improve_1,p1366,65
3774,giant gibbon; brick bobcat,trust_improve_1,p1367,68
3775,giant gibbon; brick bobcat,trust_improve_1,p1370,78
3776,giant gibbon; brick bobcat,trust_improve_1,p1371,88
3777,giant gibbon; brick bobcat,trust_improve_1,p1373,78
3778,giant gibbon; brick bobcat,trust_improve_1,p1375,68
3779,giant gibbon; brick bobcat,trust_improve_1,p1376,78
3780,giant gibbon; brick bobcat,trust_improve_1,p1379,78
3781,giant gibbon; brick bobcat,trust_improve_1,p1381,78
3782,giant gibbon; brick bobcat,trust_improve_1,p1393,75
3783,giant gibbon; brick bobcat,trust_improve_1,p1396,85
3784,giant gibbon; brick bobcat,trust_improve_1,p1398,78
3785,giant gibbon; brick bobcat,trust_improve_1,p1404,85
3786,giant gibbon; brick bobcat,trust_improve_1,p1406,78
3787,giant gibbon; brick bobcat,trust_improve_1,p1407,68
3788,giant gibbon; brick bobcat,trust_improve_1,p1409,78
3789,giant gibbon; brick bobcat,trust_improve_1,p1412,75
3790,giant gibbon; brick bobcat,trust_improve_1,p1414,88
3791,giant gibbon; brick bobcat,trust_improve_1,p1424,78
3792,giant gibbon; brick bobcat,trust_improve_1,p1425,75
3793,giant gibbon; brick bobcat,trust_improve_1,p1429,78
3794,giant gibbon; brick bobcat,trust_improve_1,p1434,78
3795,giant gibbon; brick bobcat,trust_improve_1,p1441,68
3796,giant gibbon; brick bobcat,trust_improve_1,p1445,75
3797,giant gibbon; brick bobcat,trust_improve_1,p1450,78
3798,giant gibbon; brick bobcat,trust_improve_1,p1454,82
3799,giant gibbon; brick bobcat,trust_improve_1,p1456,75
3800,giant gibbon; brick bobcat,trust_improve_1,p1457,68
3801,giant gibbon; brick bobcat,trust_improve_1,p1458,88
3802,giant gibbon; brick bobcat,trust_improve_1,p1469,75
3803,giant gibbon; brick bobcat,trust_improve_1,p1470,78
3804,giant gibbon; brick bobcat,trust_improve_1,p1481,82
3805,giant gibbon; brick bobcat,trust_improve_1,p1488,78
3806,giant gibbon; brick bobcat,trust_improve_1,p1492,68
3807,giant gibbon; brick bobcat,trust_improve_1,p1495,78
3808,giant gibbon; brick bobcat,trust_improve_1,p1497,78
3809,giant gibbon; brick bobcat,trust_improve_1,p1499,75
3810,giant gibbon; brick bobcat,trust_improve_1,p1503,78
3811,giant gibbon; brick bobcat,trust_improve_1,p1511,85
3812,giant gibbon; brick bobcat,trust_improve_1,p1512,75
3813,giant gibbon; brick bobcat,trust_improve_1,p1518,78
3814,giant gibbon; brick bobcat,trust_improve_1,p1519,75
3815,giant gibbon; brick bobcat,trust_improve_1,p1520,68
3816,giant gibbon; brick bobcat,trust_improve_1,p1524,75
3817,giant gibbon; brick bobcat,trust_improve_1,p1526,75
3818,giant gibbon; brick bobcat,trust_improve_1,p1537,78
3819,giant gibbon; brick bobcat,trust_improve_1,p1545,78
3820,giant gibbon; brick bobcat,trust_improve_1,p1547,85
3821,giant gibbon; brick bobcat,trust_improve_1,p1552,92
3822,giant gibbon; brick bobcat,trust_improve_1,p1567,75
3823,giant gibbon; brick bobcat,trust_improve_1,p1568,78
3824,giant gibbon; brick bobcat,trust_improve_1,p1579,55
3825,giant gibbon; brick bobcat,trust_improve_1,p1587,55
3826,giant gibbon; brick bobcat,trust_improve_1,p1596,72
3827,giant gibbon; brick bobcat,trust_improve_1,p1600,85
3828,giant gibbon; brick bobcat,trust_improve_1,p1603,78
3829,giant gibbon; brick bobcat,trust_improve_1,p1604,78
3830,giant gibbon; brick bobcat,trust_improve_1,p1610,78
3831,giant gibbon; brick bobcat,trust_improve_1,p1618,75
3832,giant gibbon; brick bobcat,trust_improve_1,p1619,88
3833,giant gibbon; brick bobcat,trust_improve_1,p1622,78
3834,giant gibbon; brick bobcat,trust_improve_1,p1623,65
3835,giant gibbon; brick bobcat,trust_improve_1,p1630,65
3836,giant gibbon; brick bobcat,trust_improve_1,p1641,75
3837,giant gibbon; brick bobcat,trust_improve_1,p1649,68
3838,giant gibbon; brick bobcat,trust_improve_1,p1652,78
3839,giant gibbon; brick bobcat,trust_improve_1,p1665,78
3840,giant gibbon; brick bobcat,trust_improve_1,p1669,78
3841,giant gibbon; brick bobcat,trust_improve_1,p1685,78
3842,giant gibbon; brick bobcat,trust_improve_1,p1693,78
3843,giant gibbon; brick bobcat,trust_improve_1,p1698,75
3844,giant gibbon; brick bobcat,trust_improve_1,p1704,78
3845,giant gibbon; brick bobcat,trust_improve_1,p1711,82
3846,giant gibbon; brick bobcat,trust_improve_1,p1718,68
3847,giant gibbon; brick bobcat,trust_improve_1,p1732,75
3848,giant gibbon; brick bobcat,trust_improve_1,p1739,78
3849,giant gibbon; brick bobcat,trust_improve_1,p1741,85
3850,giant gibbon; brick bobcat,trust_improve_1,p1746,65
3851,giant gibbon; brick bobcat,trust_improve_1,p1751,75
3852,giant gibbon; brick bobcat,trust_improve_1,p1754,85
3853,giant gibbon; brick bobcat,trust_improve_1,p1769,78
3854,giant gibbon; brick bobcat,trust_improve_1,p1771,78
3855,giant gibbon; brick bobcat,trust_improve_1,p1776,75
3856,giant gibbon; brick bobcat,trust_improve_1,p1780,78
3857,giant gibbon; brick bobcat,trust_improve_1,p1785,65
3858,giant gibbon; brick bobcat,trust_improve_1,p1791,82
3859,giant gibbon; brick bobcat,trust_improve_1,p1793,78
3860,giant gibbon; brick bobcat,trust_improve_1,p1796,78
3861,giant gibbon; brick bobcat,trust_improve_1,p1805,75
3862,giant gibbon; brick bobcat,trust_improve_1,p1812,85
3863,giant gibbon; brick bobcat,trust_improve_1,p1816,68
3864,giant gibbon; brick bobcat,trust_improve_1,p1819,82
3865,giant gibbon; brick bobcat,trust_improve_1,p1825,85
3866,giant gibbon; brick bobcat,trust_improve_1,p1836,85
3867,giant gibbon; brick bobcat,trust_improve_1,p1839,78
3868,giant gibbon; brick bobcat,trust_improve_1,p1861,78
3869,giant gibbon; brick bobcat,trust_improve_1,p1863,82
3870,giant gibbon; brick bobcat,trust_improve_1,p1873,78
3871,giant gibbon; brick bobcat,trust_improve_1,p1875,78
3872,giant gibbon; brick bobcat,trust_improve_1,p1876,85
3873,giant gibbon; brick bobcat,trust_improve_1,p1877,85
3874,giant gibbon; brick bobcat,trust_improve_1,p1880,72
3875,giant gibbon; brick bobcat,trust_improve_1,p1883,75
3876,giant gibbon; brick bobcat,trust_improve_1,p1889,65
3877,giant gibbon; brick bobcat,trust_improve_1,p1893,85
3878,giant gibbon; brick bobcat,trust_improve_1,p1896,82
3879,giant gibbon; brick bobcat,trust_improve_1,p1913,78
3880,giant gibbon; brick bobcat,trust_improve_1,p1922,88
3881,giant gibbon; brick bobcat,trust_improve_1,p1930,82
3882,giant gibbon; brick bobcat,trust_improve_1,p1935,78
3883,giant gibbon; brick bobcat,trust_improve_1,p1940,85
3884,giant gibbon; brick bobcat,trust_improve_1,p1948,75
3885,giant gibbon; brick bobcat,trust_improve_1,p1950,78
3886,giant gibbon; brick bobcat,trust_improve_1,p1954,75
3887,giant gibbon; brick bobcat,trust_improve_1,p1956,65
3888,giant gibbon; brick bobcat,trust_improve_1,p1958,78
3889,giant gibbon; brick bobcat,trust_improve_1,p1967,78
3890,giant gibbon; brick bobcat,trust_improve_1,p1973,88
3891,giant gibbon; brick bobcat,trust_improve_1,p1978,78
3892,giant gibbon; brick bobcat,trust_improve_1,p1983,68
3893,giant gibbon; brick bobcat,trust_improve_1,p1984,68
3894,giant gibbon; brick bobcat,trust_improve_1,p1995,78
3895,giant gibbon; brick bobcat,trust_improve_1,p1996,75
3896,giant gibbon; brick bobcat,trust_improve_1,p1997,78
3897,giant gibbon; brick bobcat,trust_improve_1,p2001,85
3898,giant gibbon; brick bobcat,trust_improve_1,p2002,75
3899,giant gibbon; brick bobcat,trust_improve_1,p2013,88
3900,giant gibbon; brick bobcat,trust_improve_1,p2014,72
3901,giant gibbon; brick bobcat,trust_improve_1,p2016,85
3902,giant gibbon; brick bobcat,trust_improve_1,p2018,68
3903,giant gibbon; brick bobcat,trust_improve_1,p2023,82
3904,giant gibbon; brick bobcat,trust_improve_1,p2025,85
3905,giant gibbon; brick bobcat,trust_improve_1,p2028,75
