,condition,outcome,persona,response
2026,orchid orangutan; defiant dragonfly,trust_ethical_1,p0138,68
2027,orchid orangutan; defiant dragonfly,trust_ethical_1,p0144,68
2028,orchid orangutan; defiant dragonfly,trust_ethical_1,p0150,68
2029,orchid orangutan; defiant dragonfly,trust_ethical_1,p0152,72
2030,orchid orangutan; defiant dragonfly,trust_ethical_1,p0158,62
2031,orchid orangutan; defiant dragonfly,trust_ethical_1,p0161,75
2032,orchid orangutan; defiant dragonfly,trust_ethical_1,p0164,68
2033,orchid orangutan; defiant dragonfly,trust_ethical_1,p0175,78
2034,orchid orangutan; defiant dragonfly,trust_ethical_1,p0177,75
2035,orchid orangutan; defiant dragonfly,trust_ethical_1,p0178,78
2036,orchid orangutan; defiant dragonfly,trust_ethical_1,p0181,45
2037,orchid orangutan; defiant dragonfly,trust_ethical_1,p0186,68
2038,orchid orangutan; defiant dragonfly,trust_ethical_1,p0196,72
2039,orchid orangutan; defiant dragonfly,trust_ethical_1,p0198,78
2040,orchid orangutan; defiant dragonfly,trust_ethical_1,p0202,82
2041,orchid orangutan; defiant dragonfly,trust_ethical_1,p0205,68
2042,orchid orangutan; defiant dragonfly,trust_ethical_1,p0207,65
2043,orchid orangutan; defiant dragonfly,trust_ethical_1,p0211,62
2044,orchid orangutan; defiant dragonfly,trust_ethical_1,p0227,85
2045,orchid orangutan; defiant dragonfly,trust_ethical_1,p0229,68
2046,orchid orangutan; defiant dragonfly,trust_ethical_1,p0232,78
2047,orchid orangutan; defiant dragonfly,trust_ethical_1,p0233,65
2048,orchid orangutan; defiant dragonfly,trust_ethical_1,p0237,82
2049,orchid orangutan; defiant dragonfly,trust_ethical_1,p0258,68
2050,orchid orangutan; defiant dragonfly,trust_ethical_1,p0268,65
2051,orchid orangutan; defiant dragonfly,trust_ethical_1,p0274,75
2052,orchid orangutan; defiant dragonfly,trust_ethical_1,p0275,45
2053,orchid orangutan; defiant dragonfly,trust_ethical_1,p0277,65
2054,orchid orangutan; defiant dragonfly,trust_ethical_1,p0288,78
2055,orchid orangutan; defiant dragonfly,trust_ethical_1,p0291,78
2056,orchid orangutan; defiant dragonfly,trust_ethical_1,p0307,68
2057,orchid orangutan; defiant dragonfly,trust_ethical_1,p0308,78
2058,orchid orangutan; defiant dragonfly,trust_ethical_1,p0317,62
2059,orchid orangutan; defiant dragonfly,trust_ethical_1,p0325,78
2060,orchid orangutan; defiant dragonfly,trust_ethical_1,p0327,85
2061,orchid orangutan; defiant dragonfly,trust_ethical_1,p0334,78
2062,orchid orangutan; defiant dragonfly,trust_ethical_1,p0336,78
2063,orchid orangutan; defiant dragonfly,trust_ethical_1,p0338,45
2064,orchid orangutan; defiant dragonfly,trust_ethical_1,p0342,78
2065,orchid orangutan; defiant dragonfly,trust_ethical_1,p0349,68
2066,orchid orangutan; defiant dragonfly,trust_ethical_1,p0356,68
2067,orchid orangutan; defiant dragonfly,trust_ethical_1,p0358,68
2068,orchid orangutan; defiant dragonfly,trust_ethical_1,p0363,78
2069,orchid orangutan; defiant dragonfly,trust_ethical_1,p0364,78
2070,orchid orangutan; defiant dragonfly,trust_ethical_1,p0369,82
2071,orchid orangutan; defiant dragonfly,trust_ethical_1,p0370,62
2072,orchid orangutan; defiant dragonfly,trust_ethical_1,p0371,68
2073,orchid orangutan; defiant dragonfly,trust_ethical_1,p0379,68
2074,orchid orangutan; defiant dragonfly,trust_ethical_1,p0386,78
2075,orchid orangutan; defiant dragonfly,trust_ethical_1,p0396,78
2076,orchid orangutan; defiant dragonfly,trust_ethical_1,p0403,68
2077,orchid orangutan; defiant dragonfly,trust_ethical_1,p0405,78
2078,orchid orangutan; defiant dragonfly,trust_ethical_1,p0412,78
2079,orchid orangutan; defiant dragonfly,trust_ethical_1,p0415,45
2080,orchid orangutan; defiant dragonfly,trust_ethical_1,p0416,78
2081,orchid orangutan; defiant dragonfly,trust_ethical_1,p0417,78
2082,orchid orangutan; defiant dragonfly,trust_ethical_1,p0418,65
2083,orchid orangutan; defiant dragonfly,trust_ethical_1,p0430,78
2084,orchid orangutan; defiant dragonfly,trust_ethical_1,p0431,82
2085,orchid orangutan; defiant dragonfly,trust_ethical_1,p0434,35
2086,orchid orangutan; defiant dragonfly,trust_ethical_1,p0438,78
2087,orchid orangutan; defiant dragonfly,trust_ethical_1,p0441,78
2088,orchid orangutan; defiant dragonfly,trust_ethical_1,p0442,45
2089,orchid orangutan; defiant dragonfly,trust_ethical_1,p0449,68
2090,orchid orangutan; defiant dragonfly,trust_ethical_1,p0450,82
2091,orchid orangutan; defiant dragonfly,trust_ethical_1,p0465,68
2092,orchid orangutan; defiant dragonfly,trust_ethical_1,p0471,78
2093,orchid orangutan; defiant dragonfly,trust_ethical_1,p0477,78
2094,orchid orangutan; defiant dragonfly,trust_ethical_1,p0483,72
2095,orchid orangutan; defiant dragonfly,trust_ethical_1,p0486,78
2096,orchid orangutan; defiant dragonfly,trust_ethical_1,p0487,78
2097,orchid orangutan; defiant dragonfly,trust_ethical_1,p0489,78
2098,orchid orangutan; defiant dragonfly,trust_ethical_1,p0497,75
2099,orchid orangutan; defiant dragonfly,trust_ethical_1,p0502,72
2100,orchid orangutan; defiant dragonfly,trust_ethical_1,p0503,78
2101,orchid orangutan; defiant dragonfly,trust_ethical_1,p0506,68
2102,orchid orangutan; defiant dragonfly,trust_ethical_1,p0511,78
2103,orchid orangutan; defiant dragonfly,trust_ethical_1,p0523,78
2104,orchid orangutan; defiant dragonfly,trust_ethical_1,p0534,85
2105,orchid orangutan; defiant dragonfly,trust_ethical_1,p0536,78
2106,orchid orangutan; defiant dragonfly,trust_ethical_1,p0542,68
2107,orchid orangutan; defiant dragonfly,trust_ethical_1,p0547,78
2108,orchid orangutan; defiant dragonfly,trust_ethical_1,p0553,78
2109,orchid orangutan; defiant dragonfly,trust_ethical_1,p0559,78
2110,orchid orangutan; defiant dragonfly,trust_ethical_1,p0566,72
2111,orchid orangutan; defiant dragonfly,trust_ethical_1,p0568,68
2112,orchid orangutan; defiant dragonfly,trust_ethical_1,p0570,45
2113,orchid orangutan; defiant dragonfly,trust_ethical_1,p0573,68
2114,orchid orangutan; defiant dragonfly,trust_ethical_1,p0578,68
2115,orchid orangutan; defiant dragonfly,trust_ethical_1,p0594,68
2116,orchid orangutan; defiant dragonfly,trust_ethical_1,p0597,78
2117,orchid orangutan; defiant dragonfly,trust_ethical_1,p0601,72
2118,orchid orangutan; defiant dragonfly,trust_ethical_1,p0602,62
2119,orchid orangutan; defiant dragonfly,trust_ethical_1,p0605,68
2120,orchid orangutan; defiant dragonfly,trust_ethical_1,p0615,68
2121,orchid orangutan; defiant dragonfly,trust_ethical_1,p0620,78
2122,orchid orangutan; defiant dragonfly,trust_ethical_1,p0626,68
2123,orchid orangutan; defiant dragonfly,trust_ethical_1,p0629,82
2124,orchid orangutan; defiant dragonfly,trust_ethical_1,p0633,68
2125,orchid orangutan; defiant dragonfly,trust_ethical_1,p0638,78
2126,orchid orangutan; defiant dragonfly,trust_ethical_1,p0639,75
2127,orchid orangutan; defiant dragonfly,trust_ethical_1,p0640,68
2128,orchid orangutan; defiant dragonfly,trust_ethical_1,p0655,78
2129,orchid orangutan; defiant dragonfly,trust_ethical_1,p0656,68
2130,orchid orangutan; defiant dragonfly,trust_ethical_1,p0658,75
2131,orchid orangutan; defiant dragonfly,trust_ethical_1,p0661,68
2132,orchid orangutan; defiant dragonfly,trust_ethical_1,p0669,78
2133,orchid orangutan; defiant dragonfly,trust_ethical_1,p0670,68
2134,orchid orangutan; defiant dragonfly,trust_ethical_1,p0672,78
2135,orchid orangutan; defiant dragonfly,trust_ethical_1,p0674,78
2136,orchid orangutan; defiant dragonfly,trust_ethical_1,p0678,78
2137,orchid orangutan; defiant dragonfly,trust_ethical_1,p0683,75
2138,orchid orangutan; defiant dragonfly,trust_ethical_1,p0686,65
2139,orchid orangutan; defiant dragonfly,trust_ethical_1,p0687,78
2140,orchid orangutan; defiant dragonfly,trust_ethical_1,p0698,68
2141,orchid orangutan; defiant dragonfly,trust_ethical_1,p0700,68
2142,orchid orangutan; defiant dragonfly,trust_ethical_1,p0703,68
2143,orchid orangutan; defiant dragonfly,trust_ethical_1,p0718,65
2144,orchid orangutan; defiant dragonfly,trust_ethical_1,p0744,78
2145,orchid orangutan; defiant dragonfly,trust_ethical_1,p0745,78
2146,orchid orangutan; defiant dragonfly,trust_ethical_1,p0753,68
2147,orchid orangutan; defiant dragonfly,trust_ethical_1,p0770,78
2148,orchid orangutan; defiant dragonfly,trust_ethical_1,p0771,68
2149,orchid orangutan; defiant dragonfly,trust_ethical_1,p0777,88
2150,orchid orangutan; defiant dragonfly,trust_ethical_1,p0779,78
2151,orchid orangutan; defiant dragonfly,trust_ethical_1,p0780,62
2152,orchid orangutan; defiant dragonfly,trust_ethical_1,p0783,68
2153,orchid orangutan; defiant dragonfly,trust_ethical_1,p0785,72
2154,orchid orangutan; defiant dragonfly,trust_ethical_1,p0786,68
2155,orchid orangutan; defiant dragonfly,trust_ethical_1,p0794,45
2156,orchid orangutan; defiant dragonfly,trust_ethical_1,p0798,75
2157,orchid orangutan; defiant dragonfly,trust_ethical_1,p0800,78
2158,orchid orangutan; defiant dragonfly,trust_ethical_1,p0820,68
2159,orchid orangutan; defiant dragonfly,trust_ethical_1,p0841,75
2160,orchid orangutan; defiant dragonfly,trust_ethical_1,p0849,72
2161,orchid orangutan; defiant dragonfly,trust_ethical_1,p0862,82
2162,orchid orangutan; defiant dragonfly,trust_ethical_1,p0867,78
2163,orchid orangutan; defiant dragonfly,trust_ethical_1,p0869,78
2164,orchid orangutan; defiant dragonfly,trust_ethical_1,p0872,78
2165,orchid orangutan; defiant dragonfly,trust_ethical_1,p0880,78
2166,orchid orangutan; defiant dragonfly,trust_ethical_1,p0891,78
2167,orchid orangutan; defiant dragonfly,trust_ethical_1,p0916,78
2168,orchid orangutan; defiant dragonfly,trust_ethical_1,p0917,78
2169,orchid orangutan; defiant dragonfly,trust_ethical_1,p0919,78
2170,orchid orangutan; defiant dragonfly,trust_ethical_1,p0922,68
2171,orchid orangutan; defiant dragonfly,trust_ethical_1,p0925,72
2172,orchid orangutan; defiant dragonfly,trust_ethical_1,p0927,78
2173,orchid orangutan; defiant dragonfly,trust_ethical_1,p0929,72
2174,orchid orangutan; defiant dragonfly,trust_ethical_1,p0930,75
2175,orchid orangutan; defiant dragonfly,trust_ethical_1,p0931,62
2176,orchid orangutan; defiant dragonfly,trust_ethical_1,p0933,68
2177,orchid orangutan; defiant dragonfly,trust_ethical_1,p0934,68
2178,orchid orangutan; defiant dragonfly,trust_ethical_1,p0936,78
2179,orchid orangutan; defiant dragonfly,trust_ethical_1,p0938,78
2180,orchid orangutan; defiant dragonfly,trust_ethical_1,p0939,68
2181,orchid orangutan; defiant dragonfly,trust_ethical_1,p0946,68
2182,orchid orangutan; defiant dragonfly,trust_ethical_1,p0951,68
2183,orchid orangutan; defiant dragonfly,trust_ethical_1,p0956,78
2184,orchid orangutan; defiant dragonfly,trust_ethical_1,p0962,75
2185,orchid orangutan; defiant dragonfly,trust_ethical_1,p0963,78
2186,orchid orangutan; defiant dragonfly,trust_ethical_1,p0969,68
2187,orchid orangutan; defiant dragonfly,trust_ethical_1,p0972,68
2188,orchid orangutan; defiant dragonfly,trust_ethical_1,p0975,68
2189,orchid orangutan; defiant dragonfly,trust_ethical_1,p0985,65
2190,orchid orangutan; defiant dragonfly,trust_ethical_1,p0993,75
2191,orchid orangutan; defiant dragonfly,trust_ethical_1,p0996,68
2192,orchid orangutan; defiant dragonfly,trust_ethical_1,p1011,62
2193,orchid orangutan; defiant dragonfly,trust_ethical_1,p1017,68
2194,orchid orangutan; defiant dragonfly,trust_ethical_1,p1020,78
2195,orchid orangutan; defiant dragonfly,trust_ethical_1,p1022,78
2196,orchid orangutan; defiant dragonfly,trust_ethical_1,p1024,45
2197,orchid orangutan; defiant dragonfly,trust_ethical_1,p1027,78
2198,orchid orangutan; defiant dragonfly,trust_ethical_1,p1028,85
2199,orchid orangutan; defiant dragonfly,trust_ethical_1,p1029,45
2200,orchid orangutan; defiant dragonfly,trust_ethical_1,p1032,68
2201,orchid orangutan; defiant dragonfly,trust_ethical_1,p1040,78
2202,orchid orangutan; defiant dragonfly,trust_ethical_1,p1047,62
2203,orchid orangutan; defiant dragonfly,trust_ethical_1,p1048,68
2204,orchid orangutan; defiant dragonfly,trust_ethical_1,p1053,68
2205,orchid orangutan; defiant dragonfly,trust_ethical_1,p1057,68
2206,orchid orangutan; defiant dragonfly,trust_ethical_1,p1058,68
2207,orchid orangutan; defiant dragonfly,trust_ethical_1,p1063,68
2208,orchid orangutan; defiant dragonfly,trust_ethical_1,p1064,78
2209,orchid orangutan; defiant dragonfly,trust_ethical_1,p1065,68
2210,orchid orangutan; defiant dragonfly,trust_ethical_1,p1069,65
2211,orchid orangutan; defiant dragonfly,trust_ethical_1,p1072,82
2212,orchid orangutan; defiant dragonfly,trust_ethical_1,p1073,68
2213,orchid orangutan; defiant dragonfly,trust_ethical_1,p1075,78
2214,orchid orangutan; defiant dragonfly,trust_ethical_1,p1076,62
2215,orchid orangutan; defiant dragonfly,trust_ethical_1,p1083,65
2216,orchid orangutan; defiant dragonfly,trust_ethical_1,p1089,78
2217,orchid orangutan; defiant dragonfly,trust_ethical_1,p1093,78
2218,orchid orangutan; defiant dragonfly,trust_ethical_1,p1096,78
2219,orchid orangutan; defiant dragonfly,trust_ethical_1,p1100,68
2220,orchid orangutan; defiant dragonfly,trust_ethical_1,p1106,78
2221,orchid orangutan; defiant dragonfly,trust_ethical_1,p1107,65
2222,orchid orangutan; defiant dragonfly,trust_ethical_1,p1113,65
2223,orchid orangutan; defiant dragonfly,trust_ethical_1,p1117,45
2224,orchid orangutan; defiant dragonfly,trust_ethical_1,p1120,68
2225,orchid orangutan; defiant dragonfly,trust_ethical_1,p1134,78
2226,orchid orangutan; defiant dragonfly,trust_ethical_1,p1136,62
2227,orchid orangutan; defiant dragonfly,trust_ethical_1,p1138,68
2228,orchid orangutan; defiant dragonfly,trust_ethical_1,p1144,68
2229,orchid orangutan; defiant dragonfly,trust_ethical_1,p1145,82
2230,orchid orangutan; defiant dragonfly,trust_ethical_1,p1147,85
2231,orchid orangutan; defiant dragonfly,trust_ethical_1,p1148,78
2232,orchid orangutan; defiant dragonfly,trust_ethical_1,p1154,78
2233,orchid orangutan; defiant dragonfly,trust_ethical_1,p1159,75
2234,orchid orangutan; defiant dragonfly,trust_ethical_1,p1167,78
2235,orchid orangutan; defiant dragonfly,trust_ethical_1,p1175,78
2236,orchid orangutan; defiant dragonfly,trust_ethical_1,p1178,68
2237,orchid orangutan; defiant dragonfly,trust_ethical_1,p1184,68
2238,orchid orangutan; defiant dragonfly,trust_ethical_1,p1186,78
2239,orchid orangutan; defiant dragonfly,trust_ethical_1,p1196,65
2240,orchid orangutan; defiant dragonfly,trust_ethical_1,p1197,58
2241,orchid orangutan; defiant dragonfly,trust_ethical_1,p1203,78
2242,orchid orangutan; defiant dragonfly,trust_ethical_1,p1219,68
2243,orchid orangutan; defiant dragonfly,trust_ethical_1,p1225,68
2244,orchid orangutan; defiant dragonfly,trust_ethical_1,p1234,75
2245,orchid orangutan; defiant dragonfly,trust_ethical_1,p1242,68
2246,orchid orangutan; defiant dragonfly,trust_ethical_1,p1244,78
2247,orchid orangutan; defiant dragonfly,trust_ethical_1,p1249,68
2248,orchid orangutan; defiant dragonfly,trust_ethical_1,p1250,72
2249,orchid orangutan; defiant dragonfly,trust_ethical_1,p1256,72
2250,orchid orangutan; defiant dragonfly,trust_ethical_1,p1258,78
2251,orchid orangutan; defiant dragonfly,trust_ethical_1,p1260,65
2252,orchid orangutan; defiant dragonfly,trust_ethical_1,p1262,62
2253,orchid orangutan; defiant dragonfly,trust_ethical_1,p1264,68
2254,orchid orangutan; defiant dragonfly,trust_ethical_1,p1265,78
2255,orchid orangutan; defiant dragonfly,trust_ethical_1,p1269,75
2256,orchid orangutan; defiant dragonfly,trust_ethical_1,p1272,68
2257,orchid orangutan; defiant dragonfly,trust_ethical_1,p1278,78
2258,orchid orangutan; defiant dragonfly,trust_ethical_1,p1281,68
2259,orchid orangutan; defiant dragonfly,trust_ethical_1,p1292,68
2260,orchid orangutan; defiant dragonfly,trust_ethical_1,p1299,68
2261,orchid orangutan; defiant dragonfly,trust_ethical_1,p1312,68
2262,orchid orangutan; defiant dragonfly,trust_ethical_1,p1322,78
2263,orchid orangutan; defiant dragonfly,trust_ethical_1,p1326,78
2264,orchid orangutan; defiant dragonfly,trust_ethical_1,p1330,78
2265,orchid orangutan; defiant dragonfly,trust_ethical_1,p1335,78
2266,orchid orangutan; defiant dragonfly,trust_ethical_1,p1337,78
2267,orchid orangutan; defiant dragonfly,trust_ethical_1,p1340,78
2268,orchid orangutan; defiant dragonfly,trust_ethical_1,p1345,78
2269,orchid orangutan; defiant dragonfly,trust_ethical_1,p1351,68
2270,orchid orangutan; defiant dragonfly,trust_ethical_1,p1355,68
2271,orchid orangutan; defiant dragonfly,trust_ethical_1,p1362,65
2272,orchid orangutan; defiant dragonfly,trust_ethical_1,p1365,68
2273,orchid orangutan; defiant dragonfly,trust_ethical_1,p1366,68
2274,orchid orangutan; defiant dragonfly,trust_ethical_1,p1367,68
2275,orchid orangutan; defiant dragonfly,trust_ethical_1,p1370,75
2276,orchid orangutan; defiant dragonfly,trust_ethical_1,p1371,85
2277,orchid orangutan; defiant dragonfly,trust_ethical_1,p1373,68
2278,orchid orangutan; defiant dragonfly,trust_ethical_1,p1375,68
2279,orchid orangutan; defiant dragonfly,trust_ethical_1,p1376,68
2280,orchid orangutan; defiant dragonfly,trust_ethical_1,p1379,68
2281,orchid orangutan; defiant dragonfly,trust_ethical_1,p1381,68
2282,orchid orangutan; defiant dragonfly,trust_ethical_1,p1393,78
2283,orchid orangutan; defiant dragonfly,trust_ethical_1,p1396,82
2284,orchid orangutan; defiant dragonfly,trust_ethical_1,p1398,78
2285,orchid orangutan; defiant dragonfly,trust_ethical_1,p1404,75
2286,orchid orangutan; defiant dragonfly,trust_ethical_1,p1406,68
2287,orchid orangutan; defiant dragonfly,trust_ethical_1,p1407,62
2288,orchid orangutan; defiant dragonfly,trust_ethical_1,p1409,68
2289,orchid orangutan; defiant dragonfly,trust_ethical_1,p1412,75
2290,orchid orangutan; defiant dragonfly,trust_ethical_1,p1414,82
2291,orchid orangutan; defiant dragonfly,trust_ethical_1,p1424,68
2292,orchid orangutan; defiant dragonfly,trust_ethical_1,p1425,62
2293,orchid orangutan; defiant dragonfly,trust_ethical_1,p1429,68
2294,orchid orangutan; defiant dragonfly,trust_ethical_1,p1434,78
2295,orchid orangutan; defiant dragonfly,trust_ethical_1,p1441,62
2296,orchid orangutan; defiant dragonfly,trust_ethical_1,p1445,68
2297,orchid orangutan; defiant dragonfly,trust_ethical_1,p1450,78
2298,orchid orangutan; defiant dragonfly,trust_ethical_1,p1454,78
2299,orchid orangutan; defiant dragonfly,trust_ethical_1,p1456,65
2300,orchid orangutan; defiant dragonfly,trust_ethical_1,p1457,62
2301,orchid orangutan; defiant dragonfly,trust_ethical_1,p1458,88
2302,orchid orangutan; defiant dragonfly,trust_ethical_1,p1469,68
2303,orchid orangutan; defiant dragonfly,trust_ethical_1,p1470,68
2304,orchid orangutan; defiant dragonfly,trust_ethical_1,p1481,78
2305,orchid orangutan; defiant dragonfly,trust_ethical_1,p1488,78
2306,orchid orangutan; defiant dragonfly,trust_ethical_1,p1492,62
2307,orchid orangutan; defiant dragonfly,trust_ethical_1,p1495,72
2308,orchid orangutan; defiant dragonfly,trust_ethical_1,p1497,68
2309,orchid orangutan; defiant dragonfly,trust_ethical_1,p1499,65
2310,orchid orangutan; defiant dragonfly,trust_ethical_1,p1503,68
2311,orchid orangutan; defiant dragonfly,trust_ethical_1,p1511,78
2312,orchid orangutan; defiant dragonfly,trust_ethical_1,p1512,68
2313,orchid orangutan; defiant dragonfly,trust_ethical_1,p1518,75
2314,orchid orangutan; defiant dragonfly,trust_ethical_1,p1519,75
2315,orchid orangutan; defiant dragonfly,trust_ethical_1,p1520,62
2316,orchid orangutan; defiant dragonfly,trust_ethical_1,p1524,78
2317,orchid orangutan; defiant dragonfly,trust_ethical_1,p1526,75
2318,orchid orangutan; defiant dragonfly,trust_ethical_1,p1537,75
2319,orchid orangutan; defiant dragonfly,trust_ethical_1,p1545,78
2320,orchid orangutan; defiant dragonfly,trust_ethical_1,p1547,75
2321,orchid orangutan; defiant dragonfly,trust_ethical_1,p1552,85
2322,orchid orangutan; defiant dragonfly,trust_ethical_1,p1567,75
2323,orchid orangutan; defiant dragonfly,trust_ethical_1,p1568,78
2324,orchid orangutan; defiant dragonfly,trust_ethical_1,p1579,45
2325,orchid orangutan; defiant dragonfly,trust_ethical_1,p1587,45
2326,orchid orangutan; defiant dragonfly,trust_ethical_1,p1596,68
2327,orchid orangutan; defiant dragonfly,trust_ethical_1,p1600,78
2328,orchid orangutan; defiant dragonfly,trust_ethical_1,p1603,68
2329,orchid orangutan; defiant dragonfly,trust_ethical_1,p1604,72
2330,orchid orangutan; defiant dragonfly,trust_ethical_1,p1610,68
2331,orchid orangutan; defiant dragonfly,trust_ethical_1,p1618,65
2332,orchid orangutan; defiant dragonfly,trust_ethical_1,p1619,85
2333,orchid orangutan; defiant dragonfly,trust_ethical_1,p1622,78
2334,orchid orangutan; defiant dragonfly,trust_ethical_1,p1623,45
2335,orchid orangutan; defiant dragonfly,trust_ethical_1,p1630,45
2336,orchid orangutan; defiant dragonfly,trust_ethical_1,p1641,75
2337,orchid orangutan; defiant dragonfly,trust_ethical_1,p1649,62
2338,orchid orangutan; defiant dragonfly,trust_ethical_1,p1652,68
2339,orchid orangutan; defiant dragonfly,trust_ethical_1,p1665,68
2340,orchid orangutan; defiant dragonfly,trust_ethical_1,p1669,68
2341,orchid orangutan; defiant dragonfly,trust_ethical_1,p1685,75
2342,orchid orangutan; defiant dragonfly,trust_ethical_1,p1693,72
2343,orchid orangutan; defiant dragonfly,trust_ethical_1,p1698,75
2344,orchid orangutan; defiant dragonfly,trust_ethical_1,p1704,72
2345,orchid orangutan; defiant dragonfly,trust_ethical_1,p1711,78
2346,orchid orangutan; defiant dragonfly,trust_ethical_1,p1718,62
2347,orchid orangutan; defiant dragonfly,trust_ethical_1,p1732,68
2348,orchid orangutan; defiant dragonfly,trust_ethical_1,p1739,78
2349,orchid orangutan; defiant dragonfly,trust_ethical_1,p1741,78
2350,orchid orangutan; defiant dragonfly,trust_ethical_1,p1746,65
2351,orchid orangutan; defiant dragonfly,trust_ethical_1,p1751,65
2352,orchid orangutan; defiant dragonfly,trust_ethical_1,p1754,75
2353,orchid orangutan; defiant dragonfly,trust_ethical_1,p1769,78
2354,orchid orangutan; defiant dragonfly,trust_ethical_1,p1771,72
2355,orchid orangutan; defiant dragonfly,trust_ethical_1,p1776,68
2356,orchid orangutan; defiant dragonfly,trust_ethical_1,p1780,78
2357,orchid orangutan; defiant dragonfly,trust_ethical_1,p1785,65
2358,orchid orangutan; defiant dragonfly,trust_ethical_1,p1791,78
2359,orchid orangutan; defiant dragonfly,trust_ethical_1,p1793,78
2360,orchid orangutan; defiant dragonfly,trust_ethical_1,p1796,65
2361,orchid orangutan; defiant dragonfly,trust_ethical_1,p1805,68
2362,orchid orangutan; defiant dragonfly,trust_ethical_1,p1812,78
2363,orchid orangutan; defiant dragonfly,trust_ethical_1,p1816,68
2364,orchid orangutan; defiant dragonfly,trust_ethical_1,p1819,78
2365,orchid orangutan; defiant dragonfly,trust_ethical_1,p1825,78
2366,orchid orangutan; defiant dragonfly,trust_ethical_1,p1836,78
2367,orchid orangutan; defiant dragonfly,trust_ethical_1,p1839,75
2368,orchid orangutan; defiant dragonfly,trust_ethical_1,p1861,68
2369,orchid orangutan; defiant dragonfly,trust_ethical_1,p1863,78
2370,orchid orangutan; defiant dragonfly,trust_ethical_1,p1873,72
2371,orchid orangutan; defiant dragonfly,trust_ethical_1,p1875,68
2372,orchid orangutan; defiant dragonfly,trust_ethical_1,p1876,78
2373,orchid orangutan; defiant dragonfly,trust_ethical_1,p1877,78
2374,orchid orangutan; defiant dragonfly,trust_ethical_1,p1880,68
2375,orchid orangutan; defiant dragonfly,trust_ethical_1,p1883,65
2376,orchid orangutan; defiant dragonfly,trust_ethical_1,p1889,45
2377,orchid orangutan; defiant dragonfly,trust_ethical_1,p1893,78
2378,orchid orangutan; defiant dragonfly,trust_ethical_1,p1896,78
2379,orchid orangutan; defiant dragonfly,trust_ethical_1,p1913,75
2380,orchid orangutan; defiant dragonfly,trust_ethical_1,p1922,85
2381,orchid orangutan; defiant dragonfly,trust_ethical_1,p1930,78
2382,orchid orangutan; defiant dragonfly,trust_ethical_1,p1935,78
2383,orchid orangutan; defiant dragonfly,trust_ethical_1,p1940,78
2384,orchid orangutan; defiant dragonfly,trust_ethical_1,p1948,68
2385,orchid orangutan; defiant dragonfly,trust_ethical_1,p1950,68
2386,orchid orangutan; defiant dragonfly,trust_ethical_1,p1954,68
2387,orchid orangutan; defiant dragonfly,trust_ethical_1,p1956,45
2388,orchid orangutan; defiant dragonfly,trust_ethical_1,p1958,68
2389,orchid orangutan; defiant dragonfly,trust_ethical_1,p1967,78
2390,orchid orangutan; defiant dragonfly,trust_ethical_1,p1973,88
2391,orchid orangutan; defiant dragonfly,trust_ethical_1,p1978,78
2392,orchid orangutan; defiant dragonfly,trust_ethical_1,p1983,62
2393,orchid orangutan; defiant dragonfly,trust_ethical_1,p1984,62
2394,orchid orangutan; defiant dragonfly,trust_ethical_1,p1995,68
2395,orchid orangutan; defiant dragonfly,trust_ethical_1,p1996,68
2396,orchid orangutan; defiant dragonfly,trust_ethical_1,p1997,68
2397,orchid orangutan; defiant dragonfly,trust_ethical_1,p2001,78
2398,orchid orangutan; defiant dragonfly,trust_ethical_1,p2002,65
2399,orchid orangutan; defiant dragonfly,trust_ethical_1,p2013,88
2400,orchid orangutan; defiant dragonfly,trust_ethical_1,p2014,68
2401,orchid orangutan; defiant dragonfly,trust_ethical_1,p2016,78
2402,orchid orangutan; defiant dragonfly,trust_ethical_1,p2018,62
2403,orchid orangutan; defiant dragonfly,trust_ethical_1,p2023,78
2404,orchid orangutan; defiant dragonfly,trust_ethical_1,p2025,82
2405,orchid orangutan; defiant dragonfly,trust_ethical_1,p2028,68
2406,orchid orangutan; defiant dragonfly,trust_ethical_1,p2030,78
2407,orchid orangutan; defiant dragonfly,trust_ethical_1,p2033,78
2408,orchid orangutan; defiant dragonfly,trust_ethical_1,p2040,45
2409,orchid orangutan; defiant dragonfly,trust_ethical_1,p2051,68
2410,orchid orangutan; defiant dragonfly,trust_ethical_1,p2052,68
2411,orchid orangutan; defiant dragonfly,trust_ethical_1,p2066,62
2412,orchid orangutan; defiant dragonfly,trust_ethical_1,p2067,78
2413,orchid orangutan; defiant dragonfly,trust_ethical_1,p2073,78
2414,orchid orangutan; defiant dragonfly,trust_ethical_1,p2077,68
2415,orchid orangutan; defiant dragonfly,trust_ethical_1,p2078,68
2416,orchid orangutan; defiant dragonfly,trust_ethical_1,p2086,78
2417,orchid orangutan; defiant dragonfly,trust_ethical_1,p2089,78
2418,orchid orangutan; defiant dragonfly,trust_ethical_1,p2093,45
2419,orchid orangutan; defiant dragonfly,trust_ethical_1,p2094,75
2420,orchid orangutan; defiant dragonfly,trust_ethical_1,p2111,68
2421,orchid orangutan; defiant dragonfly,trust_ethical_1,p2117,78
2422,orchid orangutan; defiant dragonfly,trust_ethical_1,p2121,68
2423,orchid orangutan; defiant dragonfly,trust_ethical_1,p2127,78
2424,orchid orangutan; defiant dragonfly,trust_ethical_1,p2141,68
